pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	118807.25092921512	3.483482659940147	0.1072385832642295	0.027	0.972	
Pan vs Gorilla	1	98763.29472764237	2.6498198369558135	0.05231647112439313	0.035	1	
Pan vs Alouatta	1	111605.06006467252	3.232793486631767	0.11870958035277228	0.025	0.9	
Pan vs Homo	1	305341.6751971106	6.637237164675791	0.07013346293200115	0.001	0.036000000000000004	.
Pan vs Gut	1	525908.3686152375	12.45765338168719	0.24209524848097003	0.001	0.036000000000000004	.
Pan vs Sediment	1	251061.17052549977	7.767651871546274	0.21126320219424996	0.002	0.07200000000000001	
Pan vs Skin	1	133916.1110672077	4.147082772433075	0.1251115460417535	0.01	0.36	
Pan vs Plaque	1	510577.7416668117	12.400035757014846	0.24124566402315287	0.001	0.036000000000000004	.
Control vs Gorilla	1	105635.30740592007	2.6728510568697623	0.06737229580597362	0.029	1	
Control vs Alouatta	1	60107.217632839514	1.5571695453159744	0.10696925253694126	0.135	1	
Control vs Homo	1	147239.2547145442	3.0463526188437178	0.03805735700850129	0.016	0.5760000000000001	
Control vs Gut	1	317983.57025466743	6.746799748117672	0.19417039258365554	0.002	0.07200000000000001	
Control vs Sediment	1	369612.97948975384	10.89631055737106	0.3770831067079447	0.002	0.07200000000000001	
Control vs Skin	1	287941.0627643931	8.500599660680365	0.32077008707440413	0.002	0.07200000000000001	
Control vs Plaque	1	346732.6968491178	7.590104819406649	0.2132644693776766	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	48553.38250470493	1.1935305217426428	0.03595672117374947	0.269	1	
Gorilla vs Homo	1	107903.44412276872	2.290938850392014	0.023307731894585283	0.04	1	
Gorilla vs Gut	1	319880.22644388495	7.092889670199959	0.1311242515133642	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	279645.53001396195	7.3353660952685225	0.16545179934921872	0.001	0.036000000000000004	.
Gorilla vs Skin	1	186918.01739429365	4.90603476120825	0.11707227346047278	0.002	0.07200000000000001	
Gorilla vs Plaque	1	327470.28208340873	7.4028691081746905	0.13607497599905663	0.001	0.036000000000000004	.
Alouatta vs Homo	1	42973.1866382493	0.8688485661905587	0.011923456775927212	0.484	1	
Alouatta vs Gut	1	116192.3726797841	2.3055134889215285	0.09110716089325184	0.015	0.54	
Alouatta vs Sediment	1	250738.28784452152	7.242694957540303	0.3577930197897111	0.003	0.108	
Alouatta vs Skin	1	184201.97350208653	5.330974698833304	0.29081785264656984	0.009	0.32399999999999995	
Alouatta vs Plaque	1	123902.52681757158	2.5476613492685987	0.09972190074225856	0.013	0.46799999999999997	
Homo vs Gut	1	214672.2775373277	4.265032180856135	0.0467323801782516	0.001	0.036000000000000004	.
Homo vs Sediment	1	399094.9829457033	8.373639118905936	0.09808225589685096	0.001	0.036000000000000004	.
Homo vs Skin	1	295060.33886261977	6.192283807359732	0.07443339122289995	0.001	0.036000000000000004	.
Homo vs Plaque	1	243302.8759274903	4.879054387787698	0.05310301047717583	0.001	0.036000000000000004	.
Gut vs Sediment	1	376256.81175920373	8.309048448175714	0.22884236308300135	0.001	0.036000000000000004	.
Gut vs Skin	1	323578.87874942255	7.150600430256223	0.20342754726036696	0.001	0.036000000000000004	.
Gut vs Plaque	1	55833.37615678232	1.095652477091469	0.028024918569487463	0.318	1	
Sediment vs Skin	1	53583.04648245264	1.728597702860301	0.08761888345514211	0.14	1	
Sediment vs Plaque	1	329251.17674758995	7.511326507031004	0.21151917559440683	0.001	0.036000000000000004	.
Skin vs Plaque	1	276585.47776555695	6.314280505803757	0.1840131983748221	0.002	0.07200000000000001	
