pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	248298.32433543252	7.262064293398561	0.2765229805344742	0.003	0.108	
Pan vs Gorilla	1	20305.79388790057	1.0272840591035701	0.04663689160893206	0.415	1	
Pan vs Alouatta	1	236092.71517561527	9.80512495761745	0.41189134587927834	0.002	0.07200000000000001	
Pan vs Homo	1	399457.9370837809	6.964763621866812	0.10720832700024645	0.001	0.036000000000000004	.
Pan vs Gut	1	267977.3983925461	5.735914434263785	0.16512921935936808	0.002	0.07200000000000001	
Pan vs Sediment	1	384436.77062883205	9.137047908241657	0.3247337083136328	0.001	0.036000000000000004	.
Pan vs Skin	1	33679.65809218205	1.6235024838243282	0.07872098762553513	0.211	1	
Pan vs Plaque	1	361989.1890199752	7.354580088224209	0.20230133508285153	0.001	0.036000000000000004	.
Control vs Gorilla	1	331093.94992255466	10.773542294766262	0.3500910682160418	0.002	0.07200000000000001	
Control vs Alouatta	1	92379.68230410128	2.2378567785839403	0.1468616493186324	0.05	1	
Control vs Homo	1	188885.25086028612	3.0533740916972967	0.05084433868836426	0.017	0.6120000000000001	
Control vs Gut	1	330504.3790197637	5.9534874348140265	0.175342442988924	0.001	0.036000000000000004	.
Control vs Sediment	1	620253.6366035137	11.176164914630467	0.38305805260327924	0.001	0.036000000000000004	.
Control vs Skin	1	379001.177381208	11.490635588530196	0.3896367561843684	0.001	0.036000000000000004	.
Control vs Plaque	1	562524.4201494635	9.68132691952748	0.2569263800131825	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	251190.43956609472	12.471808918722056	0.4539857188007198	0.001	0.036000000000000004	.
Gorilla vs Homo	1	449200.8405364549	8.051783460877617	0.12008306185584985	0.001	0.036000000000000004	.
Gorilla vs Gut	1	248951.5489965554	5.658555693945117	0.15868718134610119	0.005	0.18	
Gorilla vs Sediment	1	337891.15105138446	8.840383528908864	0.3065279461366209	0.001	0.036000000000000004	.
Gorilla vs Skin	1	28521.93065777445	1.5882266331323096	0.07356911061396747	0.214	1	
Gorilla vs Plaque	1	336173.0681902009	7.243142003689398	0.19448257085752524	0.001	0.036000000000000004	.
Alouatta vs Homo	1	61584.01290545247	0.9965196151045443	0.01880349166967799	0.384	1	
Alouatta vs Gut	1	122734.18802516017	2.2730917283862095	0.0899411814278789	0.025	0.9	
Alouatta vs Sediment	1	329037.6744061264	6.2315080529163165	0.32402597007837636	0.004	0.14400000000000002	
Alouatta vs Skin	1	294572.52748095617	13.619677270394215	0.5116394587376047	0.001	0.036000000000000004	.
Alouatta vs Plaque	1	277957.5401297757	4.863904610923545	0.17455933326073542	0.002	0.07200000000000001	
Homo vs Gut	1	185126.4287240789	2.931353945904395	0.04191759175965551	0.007	0.252	
Homo vs Sediment	1	559575.0124489411	8.677069296825593	0.13211718168497794	0.001	0.036000000000000004	.
Homo vs Skin	1	497907.28491040494	8.677498508989714	0.1321228534275246	0.001	0.036000000000000004	.
Homo vs Plaque	1	523773.24460485653	8.153871925171652	0.10849569977299647	0.001	0.036000000000000004	.
Gut vs Sediment	1	316949.08730949607	5.207510839457342	0.1568172593433215	0.001	0.036000000000000004	.
Gut vs Skin	1	276588.6326855786	5.962210270463407	0.17555424758819896	0.002	0.07200000000000001	
Gut vs Plaque	1	211020.86285134527	3.4383854004983703	0.08297585360208116	0.008	0.28800000000000003	
Sediment vs Skin	1	313191.53565722884	7.5824484121505025	0.29639260050453903	0.001	0.036000000000000004	.
Sediment vs Plaque	1	135479.2616514564	2.1350957728762117	0.07085080429039002	0.045	1	
Skin vs Plaque	1	306098.93543252256	6.249476689919639	0.18246926066928768	0.003	0.108	
