pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	83475.03763915035	3.118268336862373	0.046459308532991045	0.016	0.5760000000000001	
Pan vs Gorilla	1	43692.75337451944	2.319457288971496	0.046094640402249545	0.066	1	
Pan vs Alouatta	1	71246.46564825908	3.610110160973371	0.13075319656189666	0.028	1	
Pan vs Homo	1	103776.40489332023	4.508273460613328	0.048733732583743306	0.001	0.036000000000000004	.
Pan vs Gut	1	328101.68881946866	13.782060959070188	0.2611125959965352	0.001	0.036000000000000004	.
Pan vs Sediment	1	127350.45396765499	7.048468413298069	0.19552754176646048	0.001	0.036000000000000004	.
Pan vs Skin	1	78216.56805270536	4.091508876094752	0.12364225794038815	0.005	0.18	
Pan vs Plaque	1	295175.98450185393	12.474672302235419	0.2423458323151612	0.001	0.036000000000000004	.
Control vs Gorilla	1	54057.06730427018	2.0954506147594647	0.028280422041755706	0.072	1	
Control vs Alouatta	1	32390.13964843595	1.0896172958003096	0.022196491963556785	0.338	1	
Control vs Homo	1	66746.54660102364	2.5095294342696133	0.021915463688200076	0.025	0.9	
Control vs Gut	1	200936.05479105323	6.727554041645336	0.09648343662861385	0.001	0.036000000000000004	.
Control vs Sediment	1	210499.37740131997	7.552563208434201	0.12472739068760387	0.001	0.036000000000000004	.
Control vs Skin	1	161619.11714457723	5.681766760721767	0.09682337588589475	0.002	0.07200000000000001	
Control vs Plaque	1	207177.98335787148	6.957364297647095	0.09945149259834385	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	44231.69109161049	2.291070714786139	0.06681245779235002	0.052	1	
Gorilla vs Homo	1	34211.94881536742	1.5136421707891925	0.015522363200608796	0.152	1	
Gorilla vs Gut	1	216362.81259428983	9.48074557073418	0.16785801028176728	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	112743.89102048728	6.243708287817748	0.14438420142559036	0.002	0.07200000000000001	
Gorilla vs Skin	1	76936.6688496875	4.075170018959938	0.09921249302386026	0.009	0.32399999999999995	
Gorilla vs Plaque	1	187004.8537817415	8.237570000585206	0.1491298404418937	0.001	0.036000000000000004	.
Alouatta vs Homo	1	33861.43316175506	1.401744932129106	0.01909688841083041	0.197	1	
Alouatta vs Gut	1	62869.878321453325	2.2521820282759593	0.08918762052935043	0.022	0.7919999999999999	
Alouatta vs Sediment	1	148528.24787856272	8.127806028003283	0.3846971151301986	0.001	0.036000000000000004	.
Alouatta vs Skin	1	118660.76394196224	5.756283314447095	0.3068989318375937	0.005	0.18	
Alouatta vs Plaque	1	65798.67027504618	2.377958908806497	0.09370174005527739	0.019	0.6839999999999999	
Homo vs Gut	1	203788.1874579121	8.08063378271025	0.0849871678514164	0.001	0.036000000000000004	.
Homo vs Sediment	1	176795.41314497287	7.6068748794815235	0.08990847245353473	0.001	0.036000000000000004	.
Homo vs Skin	1	129231.05512891617	5.467412584246093	0.06629785527296321	0.001	0.036000000000000004	.
Homo vs Plaque	1	174143.79527571207	6.922941058420628	0.07370873378118045	0.001	0.036000000000000004	.
Gut vs Sediment	1	264901.0463876021	10.712846820832896	0.27672588560621936	0.001	0.036000000000000004	.
Gut vs Skin	1	233575.8710176215	9.04846546808351	0.24423320517495054	0.001	0.036000000000000004	.
Gut vs Plaque	1	33061.99748005434	1.1513315991384978	0.029407214317171068	0.274	1	
Sediment vs Skin	1	27463.3271155701	1.5530424418158524	0.07942715034947904	0.13	1	
Sediment vs Plaque	1	216943.51548648722	8.84534996244217	0.24006692761660733	0.001	0.036000000000000004	.
Skin vs Plaque	1	186760.09791101585	7.291691713567521	0.2066121333244081	0.001	0.036000000000000004	.
