pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	116133.99041432796	4.326940366652581	0.0741842506987806	0.005	0.18	
Pan vs Gorilla	1	8467.992669135843	0.8218126925748568	0.03766014785996622	0.398	1	
Pan vs Alouatta	1	35285.10141207023	2.7308078219899263	0.16322032092202524	0.045	1	
Pan vs Homo	1	112654.7831954644	4.963558876906618	0.07883224781830307	0.002	0.07200000000000001	
Pan vs Gut	1	170197.9327672388	6.818408804196639	0.19036046077506838	0.001	0.036000000000000004	.
Pan vs Sediment	1	164387.61635527192	8.395543846800999	0.3064565497859738	0.001	0.036000000000000004	.
Pan vs Skin	1	19385.84110102274	1.6871911511715487	0.08155728531932672	0.21	1	
Pan vs Plaque	1	186261.3985625409	7.627698039551437	0.2082494518578501	0.002	0.07200000000000001	
Control vs Gorilla	1	106218.08398906894	4.039992835227625	0.06842807123135466	0.011	0.39599999999999996	
Control vs Alouatta	1	22994.936818009624	0.7825002077836046	0.016040592516796646	0.512	1	
Control vs Homo	1	45748.672337213786	1.653103891884571	0.017651351884641796	0.14	1	
Control vs Gut	1	77301.87614608054	2.4929191212089457	0.03806394881552393	0.034	1	
Control vs Sediment	1	212151.09558343538	7.020123203853924	0.11696282561784474	0.001	0.036000000000000004	.
Control vs Skin	1	173177.22441709274	6.338817454590577	0.10682412839523468	0.001	0.036000000000000004	.
Control vs Plaque	1	237616.94586617945	7.72514970394175	0.1092277603692538	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	22767.47913891088	1.9230357704851604	0.11363420822161563	0.121	1	
Gorilla vs Homo	1	93418.94443018647	4.197536095470109	0.0664192997829702	0.004	0.14400000000000002	
Gorilla vs Gut	1	151038.91265992227	6.288232382269138	0.17328571742010898	0.003	0.108	
Gorilla vs Sediment	1	150904.27638033114	8.185284266891825	0.29040985321928314	0.001	0.036000000000000004	.
Gorilla vs Skin	1	24813.234211925548	2.30815851427529	0.10346701242947813	0.065	1	
Gorilla vs Plaque	1	166403.81538324273	7.082541829378519	0.1909939685894832	0.001	0.036000000000000004	.
Alouatta vs Homo	1	14578.305785622842	0.5933585935003216	0.011282006119564515	0.739	1	
Alouatta vs Gut	1	43430.56468326173	1.4580616202489391	0.05961476599771927	0.188	1	
Alouatta vs Sediment	1	65195.486130908655	2.5433991248611414	0.16363210546353793	0.026	0.9359999999999999	
Alouatta vs Skin	1	50674.717473570745	3.6697200482286085	0.22014287208251992	0.028	1	
Alouatta vs Plaque	1	60089.69564434056	2.064756954258883	0.08237689908690893	0.075	1	
Homo vs Gut	1	102150.56874591016	3.759282497855575	0.05312776451583583	0.005	0.18	
Homo vs Sediment	1	198689.24446253417	7.710961443436101	0.11916005065349336	0.001	0.036000000000000004	.
Homo vs Skin	1	165626.6325580312	7.179202304505724	0.11186181888710862	0.001	0.036000000000000004	.
Homo vs Plaque	1	208790.2563910659	7.750742166795794	0.10368782893822111	0.001	0.036000000000000004	.
Gut vs Sediment	1	133222.8966047279	4.257194643467441	0.13197659283522306	0.002	0.07200000000000001	
Gut vs Skin	1	187194.21362083862	7.254543778227456	0.20577613552065666	0.001	0.036000000000000004	.
Gut vs Plaque	1	98413.98061433762	3.0847026287738877	0.07508153720001615	0.013	0.46799999999999997	
Sediment vs Skin	1	145211.80847131944	7.052041994001131	0.28149569586741824	0.002	0.07200000000000001	
Sediment vs Plaque	1	55619.714524062525	1.8098443612945823	0.06071297586660678	0.088	1	
Skin vs Plaque	1	171766.75943448435	6.804827436437244	0.1955138967105826	0.006	0.216	
