Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	4.609896053986141	2.652025398887011e-4	27.006877248386495	0.001	0.7241888036579891	0.27581119634201096
2	5.17097112360656	8.371966879459322e-5	23.502277048409788	0.001	0.6955807705761348	0.3044192294238652
3	13.002076444198845	1.0836563192550056e-10	21.907129730930983	0.001	0.6804968743862434	0.31950312561375654
4	10.77281759855792	3.2959849844996093e-9	21.58366801942892	0.001	0.6772540431681245	0.32274595683187546
5	19.079071665365817	3.689054436253581e-14	20.7216872477244	0.001	0.6682819656906087	0.33171803430939123
6	20.685542107208352	5.79258804866109e-15	24.309759142312217	0.001	0.7026861243245304	0.2973138756754697
7	11.885673600677308	5.768072577734737e-10	31.50086287188776	0.001	0.7538512367997805	0.24614876320021944
8	11.35484565014244	1.311627582986344e-9	31.34108118174639	0.001	0.752906411117941	0.24709358888205898
9	4.390404481876448	4.1893956071463917e-4	20.89846692420097	0.001	0.670162438562156	0.32983756143784404
10	14.577587859597578	1.1533773427457323e-11	25.750133777196872	0.001	0.7145699396956733	0.2854300603043267
11	10.877422083216938	2.7884017022117856e-9	23.333358837960496	0.001	0.6940512236052392	0.3059487763947607
12	13.455053467036878	5.612763310121938e-11	24.016397539967745	0.001	0.7001434098872781	0.2998565901127218
13	10.759547485058889	3.366832810654622e-9	26.29508928791861	0.001	0.718822079317904	0.28117792068209607
14	11.741937704291118	7.192569488176478e-10	37.22693801019727	0.001	0.7835163101050588	0.21648368989494127
15	5.923097953897665	1.8548424928709318e-5	25.00211929502412	0.001	0.7085195308977917	0.2914804691022082
16	7.704133271536344	6.290315696665099e-7	21.601851726867185	0.001	0.677438087257711	0.322561912742289
17	4.713013296108521	2.1418561062524257e-4	24.597236497122847	0.001	0.7051363472732648	0.2948636527267352
18	5.189628544064007	8.060356549357959e-5	24.89831167546214	0.001	0.7076595413764193	0.2923404586235807
19	11.899815411333892	5.644556649586847e-10	25.487043905262745	0.001	0.7124707513241555	0.28752924867584445
20	3.6055680427493084	0.0022003968957588996	27.68538039661722	0.001	0.7291172569090989	0.2708827430909011
21	3.1962941003157472	0.005279900240358008	36.44009267239983	0.001	0.7798708046939758	0.2201291953060242
22	7.5760959595758575	7.953789897653824e-7	27.12586366740004	0.001	0.7250660130239694	0.27493398697603055
23	6.13392277949415	1.2258251577289764e-5	31.321909942750008	0.001	0.7527925596223373	0.24720744037766285
24	5.9234742138881975	1.853465866551193e-5	24.967448441669706	0.001	0.7082328650834911	0.2917671349165088
25	13.055420712114124	1.0022698386337863e-10	30.73226454405462	0.001	0.7492388806283794	0.25076111937162054
26	7.145789118097731	1.76706924943159e-6	23.652515925743074	0.001	0.6969283836656313	0.3030716163343687
27	6.388921858965269	7.464273290260003e-6	39.96261126967655	0.001	0.7953023474508436	0.2046976525491563
28	13.342855799127179	6.599058640106496e-11	38.07106957888589	0.001	0.7872953190080949	0.21270468099190512
29	11.147400559935367	1.816953444169267e-9	38.15355584303587	0.001	0.7876575295545296	0.2123424704454704
30	4.718033888269326	2.119732605615117e-4	23.366057308803487	0.001	0.6943485053431797	0.3056514946568203
31	8.4066902489935	1.7764902655607808e-7	37.6800074110446	0.001	0.7855611482145319	0.214438851785468
32	5.605016108439546	3.4889346212057745e-5	35.79397749457989	0.001	0.7767842212409732	0.22321577875902668
33	4.209511216059818	6.121299476081151e-4	28.21433524808855	0.001	0.7328389337088129	0.26716106629118713
34	10.345575952776965	6.5755482877354555e-9	18.330010762743218	0.001	0.6405572716296166	0.3594427283703834
35	3.5700917979932276	0.0023733833311172185	24.434321019704818	0.001	0.703752769971726	0.2962472300282739
36	4.92634648508154	1.3800456203646208e-4	27.24652377124098	0.001	0.7259498815363559	0.27405011846364424
37	7.385719635613965	1.1301824331292878e-6	18.638976577046968	0.001	0.6443967427511385	0.3556032572488616
38	8.805024308382329	8.823046433764392e-8	22.459813454978782	0.001	0.6858894940657144	0.31411050593428563
39	7.376862962315306	1.1488876499468434e-6	20.590170458846288	0.001	0.6668690024331586	0.33313099756684145
40	4.50108824899559	3.325351655551366e-4	24.15962081927713	0.001	0.7013902098974267	0.29860979010257327
41	8.027608902862559	3.497468467796563e-7	23.813271179821523	0.001	0.6983571755790166	0.3016428244209835
42	4.766412611144432	1.9180976009514796e-4	20.84014227807943	0.001	0.6695443781721061	0.3304556218278939
43	9.739474503808697	1.789713029381847e-8	16.109217108908794	0.001	0.6103147937027943	0.3896852062972057
44	7.584863505617604	7.826688180185077e-7	23.229418888478186	0.001	0.6931023895308717	0.30689761046912845
45	9.485617012484381	2.7432375049820672e-8	20.54521839835003	0.001	0.6663832913809093	0.3336167086190907
