Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	8.046200525189985	3.38229690284164e-7	14.603268915074207	0.001	0.5867362598650301	0.4132637401349698
2	12.47815510268655	2.3533311578011737e-10	12.527903832595275	0.001	0.549141471888702	0.45085852811129784
3	13.186344221573483	8.280616097463941e-11	14.638818117107698	0.001	0.5873256870187171	0.4126743129812829
4	4.248460460794969	5.64036131839564e-4	18.784926629794985	0.001	0.6461820599136903	0.3538179400863098
5	3.7861168474220936	0.0014982007849264542	19.74293662443706	0.001	0.6574699837002286	0.3425300162997714
6	7.636240327622564	7.122552415779054e-7	14.353459350596637	0.001	0.5825462964976976	0.4174537035023024
7	11.752453064023255	7.077059664282432e-10	14.212701498746476	0.001	0.5801477786886747	0.4198522213113253
8	5.577637555442613	3.685338309457669e-5	31.949420978485076	0.001	0.7564654588798494	0.2435345411201507
9	6.529228303640351	5.694321959692866e-6	20.251437302047222	0.001	0.6631737489937821	0.336826251006218
10	4.389315850584211	4.1989409866205826e-4	17.318699511152648	0.001	0.6273887805984961	0.3726112194015039
11	6.737085139548261	3.824741449709024e-6	16.263770766826045	0.001	0.6125832849353091	0.3874167150646908
12	5.2098940069820205	7.735254111598427e-5	23.62835652726441	0.001	0.6967124842536447	0.3032875157463554
13	9.652849154928697	2.0694279834983403e-8	30.352673069204076	0.001	0.7468965932165753	0.2531034067834247
14	5.780042429305194	2.4618794316143883e-5	13.626925477627616	0.001	0.5698628680267122	0.43013713197328785
15	5.487181012644132	4.4182093530714544e-5	16.178755135164113	0.001	0.6113387303506769	0.3886612696493231
16	7.1304347692713765	1.818631129543067e-6	12.664835591839811	0.001	0.5518314663225636	0.4481685336774363
17	6.45351313617154	6.5885021059151446e-6	14.478718690186025	0.001	0.5846577914493781	0.4153422085506219
18	10.158742264893137	8.928804369998694e-9	20.326407676048795	0.001	0.6639986506468927	0.3360013493531073
19	2.493357893537757	0.023735936223654837	24.23542200353171	0.001	0.7020458944476144	0.29795410555238544
20	12.8963808770325	1.2655577451899594e-10	24.62797791498259	0.001	0.7053959739752479	0.29460402602475205
21	10.901819287995028	2.682012515101681e-9	14.25498375005929	0.001	0.580871160603478	0.419128839396522
22	4.117052771513108	7.436375751430661e-4	15.488768115431004	0.001	0.6009342059471487	0.39906579405285125
23	10.8318159549875	2.9990404736377115e-9	15.98494540016745	0.001	0.6084714122636977	0.3915285877363023
24	5.155638313626984	8.637223539560866e-5	18.052775183664945	0.001	0.637040841685356	0.362959158314644
25	3.711814089343739	0.0017546727245872226	16.077803578973967	0.001	0.6098504631094339	0.39014953689056603
26	6.753679680001272	3.705696731219592e-6	15.984330532109821	0.001	0.60846224827391715	0.3915377517260829
27	8.258853028690686	2.3105502044652297e-7	17.032991805501076	0.001	0.6234918941120066	0.3765081058879935
28	5.151450921904231	8.711142817857941e-5	24.17742333364202	0.001	0.7015444618154185	0.2984555381845816
29	6.62653417590614	4.724285660203508e-6	19.8924723542217	0.001	0.6591672518817683	0.34083274811823167
30	5.827570890723303	2.2404444543432648e-5	15.38788032403023	0.001	0.5993660240389438	0.40063397596105615
31	9.019281026170214	6.085421421568297e-8	13.543852391528068	0.001	0.5683633519220759	0.4316366480779241
32	7.712732054410332	6.192261877202945e-7	18.696766813434678	0.001	0.6451058054509932	0.35489419454900684
33	6.03065101301185	1.5008690606752479e-5	15.831378114869336	0.001	0.6061692424274443	0.39383075757255576
34	8.084187477641887	3.158898115840824e-7	14.066095345323772	0.001	0.5776201259144028	0.42237987408559713
35	5.8542159370044375	2.1253084226925315e-5	17.28189163363619	0.001	0.6268912753684405	0.37310872463155953
36	15.663920233052941	2.651696067380443e-12	14.682544620265631	0.001	0.5880483967886584	0.4119516032113417
37	6.101981935779991	1.3049043765007369e-5	11.424572363392555	0.001	0.5262285361793029	0.4737714638206971
38	7.8887647994966095	4.495002739834966e-7	14.540193488336387	0.001	0.5856862766377692	0.4143137233622308
39	5.068177100107524	1.032281568009007e-4	13.364141919825244	0.001	0.5650834323760052	0.4349165676239948
40	6.1769707994971474	1.126924825068042e-5	17.297751789281126	0.001	0.6271058083219515	0.37289419167804844
41	5.283379836483492	6.664342931619787e-5	16.757673655579065	0.001	0.6196588124223621	0.38034118757763796
42	8.782893948817495	9.16995812773689e-8	12.957776276907074	0.001	0.5574797916860608	0.44252020831393934
43	5.32644347101363	6.108267919015947e-5	17.62986397518996	0.001	0.6315421378850883	0.3684578621149118
44	8.560208184271096	1.3545630434930756e-7	13.073054271843521	0.001	0.5596636757468831	0.44033632425311686
