Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	10.526130917526915	4.9036610211592204e-9	21.01172231290886	0.001	0.6713560149470267	0.3286439850529733
2	6.3657839964064316	7.806201643730746e-6	18.73235564947312	0.001	0.6455410608394118	0.3544589391605881
3	6.603556128346648	4.936942486262316e-6	25.557769516202598	0.001	0.7130380980108799	0.2869619019891201
4	10.25745302349728	7.5939562797791e-9	17.69857782473255	0.001	0.6324468653657843	0.3675531346342157
5	6.057921348993029	1.4226259969927796e-5	20.043276496778464	0.001	0.6608619667077198	0.3391380332922802
6	5.762346896870615	2.5499229243930416e-5	21.520322124291383	0.001	0.6766112522439744	0.32338874775602555
7	6.384114943331191	7.5340270096396685e-6	22.081852498978176	0.001	0.6822215783430872	0.3177784216569128
8	6.007184406677456	1.5717117633707817e-5	22.278484533456954	0.001	0.6841404162027512	0.31585958379724866
9	8.3187226448564	2.076817846422479e-7	19.510851715220692	0.001	0.6548020236495865	0.34519797635041344
10	8.072589890737627	3.2254524663029527e-7	21.22876172210211	0.001	0.6736193778642181	0.3263806221357818
11	5.590869067160668	3.589049787396269e-5	18.35768222700401	0.001	0.6409045176905886	0.3590954823094113
12	4.68931157989991	2.2495128287212382e-4	20.11218080935193	0.001	0.6616307065490292	0.33836929345097083
13	7.25951202241605	1.4288865381319727e-6	15.271203411235113	0.001	0.5975369797062015	0.4024630202937985
14	8.447944339462218	1.6513512894029076e-7	21.205812781466683	0.001	0.6733815332685601	0.3266184667314399
15	5.734089004235862	2.697236954590981e-5	24.690703070872786	0.001	0.7059243037715758	0.29407569622842433
16	7.330026033918879	1.2532102541547824e-6	18.50864304339864	0.001	0.6427871555474942	0.35721284445250584
17	6.222527649266463	1.0311089111787665e-5	21.92512538349819	0.001	0.6806753753909278	0.31932462460907224
18	9.593549733295466	2.2864264040959116e-8	16.527294056357228	0.001	0.6163908892843154	0.38360911071568454
19	2.989617789123712	0.008222435301154084	17.08635815605067	0.001	0.6242259584984841	0.37577404150151594
20	12.272059626173395	3.206854984584449e-10	15.214230553075105	0.001	0.5966377829151963	0.40336221708480374
21	8.646950905280843	1.1630694773315461e-7	14.392961559795127	0.001	0.5832144986180084	0.41678550138199155
22	16.049545241092922	1.595212862717589e-12	21.08850614512513	0.001	0.6721603232058667	0.32783967679413323
23	5.340062997421915	5.9424304271424705e-5	26.967011620943182	0.001	0.7238936470988258	0.2761063529011743
24	6.921388948186724	2.6955079331638794e-6	20.145977836233275	0.001	0.6620064949232266	0.33799350507677334
25	5.720194975551416	2.7728266041360694e-5	17.505840684675224	0.001	0.629897848584824	0.370102151415176
26	5.194751047259935	7.97688794348001e-5	16.00882054949017	0.001	0.608826915928429	0.39117308407157103
27	8.396898462689867	1.8075938014186273e-7	20.126804964427517	0.001	0.6617934147081115	0.33820658529188846
28	10.311508489499598	6.9515301646888904e-9	19.910341099813888	0.001	0.6593689422544959	0.34063105774550406
29	4.334706348183912	4.7072189047876956e-4	28.714478077554308	0.001	0.7362650371078262	0.2637349628921739
30	10.560442452781334	4.638915068350782e-9	14.450010482896765	0.001	0.5841757465394112	0.4158242534605888
31	9.327005612467838	3.5906910530657614e-08	17.276553353459697	0.001	0.6268190113974766	0.37318098860252336
32	7.810550388652747	5.180968018646706e-7	16.520515516096868	0.001	0.6162938853482732	0.38370611465172677
33	13.969865525831437	2.694078141259602e-11	13.705523170628187	0.001	0.5712720402842293	0.42872795971577077
34	6.009228397871002	1.565407668574166e-5	18.17573244835796	0.001	0.6386088738981466	0.36139112610185337
35	8.176297369817998	2.6778224114410107e-7	13.671799954523737	0.001	0.5706685517298437	0.42933144827015646
