Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	29.534696291402586	1.5957059069987062e-7	3.9879777019198612	0.002	0.22804110171538328	0.7719588982846168
2	16.916909488245757	1.7276359045730615e-5	8.240461449686544	0.001	0.3790380194439413	0.6209619805560587
3	7.2589690957070285	0.0030007361678481693	6.877980868689723	0.001	0.3375202338744745	0.6624797661255255
4	5.237695599563308	0.011962927003246015	4.366291707047366	0.001	0.24438712737042576	0.7556128726295743
5	10.571144352013777	4.067241133719276e-4	4.798115491220352	0.001	0.26221910630756173	0.7377808936924383
6	10.410326519940147	4.4524754306939947e-4	5.222380818142047	0.001	0.2789378588582892	0.7210621411417109
7	23.391202700063864	1.276579557440557e-6	5.209155509848813	0.001	0.2784281474974446	0.7215718525025555
8	6.297727018596927	0.0056911351225163685	9.785577018410914	0.001	0.42024198114884054	0.5797580188511594
9	26.499687871899397	4.282937549737156e-7	4.978401439391295	0.001	0.2694173224735013	0.7305826775264987
10	12.000351229116752	1.8669499896221443e-4	12.103082207644528	0.001	0.4727197338776191	0.5272802661223808
11	5.423817123466178	0.010468581817089652	6.871649195358338	0.001	0.33731432980517045	0.6626856701948295
12	13.748641935946921	7.626938369918295e-5	7.712234197436081	0.001	0.36357481845869194	0.636425181541308
13	12.347211656088945	1.5556823912894464e-4	8.379994355487952	0.001	0.3829980126748103	0.6170019873251897
14	11.759584354271878	2.1220332034331698e-4	3.6534153342456532	0.001	0.21298471838152563	0.7870152816184744
15	6.618552049988792	0.004580892938455673	5.144537614425687	0.001	0.27592733704724576	0.7240726629527544
16	10.939283124103502	3.313688108242472e-4	4.676679793635303	0.001	0.25729010175295475	0.7427098982470453
17	8.384588150228884	0.0014710850168120446	9.474065277967995	0.001	0.4123808809341885	0.5876191190658114
18	5.620083757618538	0.00910738516708368	10.583879864638826	0.001	0.43945908732830935	0.5605409126716906
19	8.699871411799547	0.001212759484027981	7.252936857526181	0.001	0.349489660539099	0.6505103394609011
20	15.71372189277882	2.9790847058381422e-5	4.539168087971778	0.001	0.25162846012829276	0.7483715398717072
21	8.149582021440255	0.0017019132054440843	5.32436998638794	0.001	0.28284452495557816	0.7171554750444219
22	17.086021559189405	1.603044230721764e-5	6.524454860078425	0.001	0.32582434356731704	0.6741756564326828
23	13.806664094685635	7.411039475810443e-5	7.154821011585348	0.001	0.34639956490410584	0.6536004350958942
24	7.7917422086047745	0.0021313495637363647	4.639449974946916	0.001	0.2557657471067004	0.7442342528932996
25	33.14208177082079	5.382745836162116e-8	5.4515351258730815	0.001	0.28765665101348536	0.7123433489865147
26	8.643745230914185	0.0012549208839773686	5.938220679952122	0.001	0.30549198806434935	0.6945080119356506
27	25.60248029739559	5.817652085254348e-7	7.519621362558708	0.001	0.35774295040124116	0.642257049598759
