Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	9.22190490084741	8.861391288595922e-4	6.146513770202899	0.001	0.3128551885640432	0.6871448114359568
2	8.56804714521543	0.0013142959902013732	8.14537898668563	0.001	0.3763102966086186	0.6236897033913814
3	4.074051998228851	0.028427268359917414	5.354135602881408	0.001	0.2839767208454338	0.7160232791545662
4	12.871186644534594	1.1864659955369971e-4	6.0567456043602315	0.001	0.30970109888885927	0.6902989011111408
5	6.90182327670289	0.0037929282448672668	3.9648762775706548	0.002	0.22702000372384917	0.7729799962761508
6	9.685460091899547	6.746735364245718e-4	5.741547364298341	0.001	0.2983932245985307	0.7016067754014693
7	10.57223961409127	4.064743597776328e-4	3.6190401858313033	0.004	0.2114043863759738	0.7885956136240262
8	8.842369658199011	0.0011124006374249116	3.820703661989698	0.002	0.22058593787816116	0.7794140621218387
9	10.053017238290556	5.456038805593174e-4	11.204095578663336	0.001	0.4535319070065529	0.546468092993447
10	11.385813663178606	2.595111175517914e-4	9.258249602733777	0.001	0.40680850963255333	0.5931914903674467
11	13.2722161239205	9.677596799353152e-5	2.8498009154113273	0.005	0.17430187255216692	0.825698127447833
12	10.679788079646714	3.827341871020854e-4	4.752396507207449	0.001	0.2603710973148561	0.739628902685144
13	7.608872077167413	0.00239457253235155	5.730890887292471	0.001	0.2980044409216305	0.7019955590783695
14	13.471818058189646	8.754228644988264e-5	4.689283501577625	0.004	0.25780473987174407	0.742195260128256
15	5.521055451494308	0.00976874149630279	4.305104270030248	0.003	0.2417904554075905	0.7582095445924094
16	9.152249211283593	9.236403714309976e-4	7.7858257549334215	0.001	0.36577513339499634	0.6342248666050037
17	25.431556001337974	6.172087732550244e-7	5.6567396191061	0.001	0.29528717994706744	0.7047128200529326
18	3.822741155037655	0.034528805843401844	9.981044631307556	0.001	0.4250681683045613	0.5749318316954386
19	4.669351070365246	0.01813108325385715	7.308015906878944	0.001	0.35121156863701647	0.6487884313629836
20	21.176699506940057	2.9443957441567608e-6	6.719337810699644	0.001	0.3323223477251521	0.6676776522748478
21	16.842884720050016	1.7854108463017555e-5	10.882910528061178	0.001	0.4463335300163011	0.553666469983699
22	14.041284259976422	6.60266618171656e-5	6.416995740835623	0.001	0.3221869314195272	0.6778130685804726
23	8.122148310520126	0.0017312967293742572	6.70074078425241	0.001	0.3317076762588829	0.6682923237411171
24	14.609754035030734	5.011131053372272e-5	4.442337579813873	0.001	0.2475896777692863	0.7524103222307137
25	12.126158342303398	1.7469422692370615e-4	17.67896040605296	0.001	0.5670157111017992	0.43298428889820084
26	19.676349259671003	5.349582023935438e-6	7.365784618544972	0.001	0.353007794971604	0.646992205028396
