Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	7.234688746845471	6.401008359866102e-4	10.87604383499166	0.001	0.47543377314024216	0.5245662268597578
2	8.16998289287657	2.813363376971721e-4	3.71802587572926	0.001	0.2365453464146786	0.7634546535853214
3	7.307303806547563	5.997556899134762e-4	4.080464727597206	0.001	0.2537529105483086	0.7462470894516914
4	8.816740830075476	1.625814294632648e-4	6.352099455875685	0.001	0.3461238574446571	0.6538761425553429
5	7.814239196827377	3.830161650493742e-4	5.991892968050238	0.001	0.3330329375953137	0.6669670624046863
6	13.089530689755428	6.1975499334935485e-06	9.429286919546986	0.001	0.44001869753985823	0.5599813024601418
7	13.461404101941886	4.784323008931315e-6	5.341883294450362	0.001	0.3080336318581868	0.6919663681418131
8	10.204560364880113	5.276370369427558e-5	6.974184871485724	0.001	0.36756176450912953	0.6324382354908705
9	9.03632548764136	1.3544462246654085e-4	6.714509546371112	0.001	0.3587862951862988	0.6412137048137012
10	3.1357283160824236	0.03723484189418506	8.002559072687113	0.001	0.4000767623585906	0.5999232376414093
11	11.97365935463421	1.3781916500735165e-5	5.916927087408942	0.001	0.33024229314227893	0.669757706857721
12	11.977560104330307	1.3742625000333681e-5	5.742135895690843	0.001	0.3236440037123983	0.6763559962876017
13	6.959553680624553	8.208265199106498e-4	5.292952836105627	0.001	0.30607571108703724	0.6939242889129628
14	4.074429573315633	0.01368508239341708	7.318823190942404	0.001	0.3788441520792955	0.6211558479207046
15	12.387441025733601	1.0205641763522776e-5	8.559215593860722	0.001	0.41632014386855437	0.5836798561314457
16	10.27054252605262	5.009748712650202e-5	6.235388462854993	0.001	0.34193888852745397	0.6580611114725461
17	15.307445192023257	1.3937792793949526e-6	6.512501481893354	0.001	0.35178938342087807	0.648210616579122
18	8.367134391438725	2.3762652852739956e-4	5.46298073111981	0.001	0.3128320883607536	0.6871679116392465
19	7.961064796763309	3.3701685999049314e-4	10.093288034673526	0.001	0.4568486147844075	0.5431513852155925
20	21.62175283823215	3.510911897903306e-8	5.703834506687319	0.001	0.3221807402533498	0.6778192597466501
21	7.683054497656952	4.2971499791154597e-4	4.41205276601267	0.001	0.26883003783350523	0.7311699621664948
22	3.6865591985818384	0.020590593962188132	8.694646815705797	0.001	0.420139898647952	0.5798601013520479
