Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	31.182423043926477	2.1059696121212092e-19	23.013717984269917	0.001	0.6911144249451444	0.30888557505485564
2	36.95215758269778	2.128592434115256e-21	26.908565951518703	0.001	0.7234597841358988	0.27654021586410127
3	24.437173438673174	1.070993804123978e-16	25.456168513091765	0.001	0.7122223710593703	0.28777762894062975
4	22.338395774952037	9.460760839751102e-16	29.425451291088272	0.001	0.7409868449763478	0.2590131550236523
5	39.1394062912681	4.297940196282243e-22	27.16165470358103	0.001	0.7253287864187588	0.27467121358124136
6	40.853720878350835	1.2863644603535431e-22	26.594279172269616	0.001	0.7211031423464745	0.27889685765352545
7	20.089295553849045	1.1391600376995462e-14	25.79519547575946	0.001	0.7149264152785553	0.2850735847214447
8	34.10405325909739	1.9119618366766008e-20	29.208498355244853	0.001	0.7395640120940897	0.2604359879059103
9	44.40348701774473	1.1943395834155067e-23	21.380995781099962	0.001	0.6751884150891505	0.3248115849108494
10	33.34837004055296	3.503052307909417e-20	24.921749210440176	0.001	0.7078541518096655	0.2921458481903345
11	26.95958372389737	9.177844338131389e-18	23.192419508289273	0.001	0.6927632122804703	0.3072367877195297
12	24.92572511352041	6.56780246218795e-17	19.056965655558972	0.001	0.6494623426932981	0.35053765730670206
13	25.52980840411659	3.6200318203760304e-17	23.632549765953758	0.001	0.6967499790070049	0.30325002099299514
14	38.98211850057346	4.810766883075324e-22	25.019450779620012	0.001	0.7086626201384425	0.29133737986155744
15	31.23953751451005	2.0063557580782945e-19	25.652454761116697	0.001	0.7137941481573258	0.28620585184267416
16	39.49658956042702	3.3316131801067917e-22	22.4026647269614	0.001	0.6853403381756631	0.31465966182433697
17	42.38862269647247	4.515217788353407e-23	21.353975854968	0.001	0.6749110297863213	0.32508897021367866
18	39.01311719054109	4.70494191329262e-22	19.221644034089206	0.001	0.6514186673630097	0.3485813326369903
19	20.154972081834234	1.0567341546777077e-14	24.76970918510487	0.001	0.7065870764825783	0.29341292351742154
20	21.329646433588646	2.828511233409256e-15	28.992694570789286	0.001	0.7381331223652351	0.26186687763476485
21	37.26640756057639	1.6840463666273266e-21	27.562913865936025	0.001	0.7282407635885266	0.2717592364114734
22	39.689322733067876	2.905992262392979e-22	26.528989149630558	0.001	0.7206085252383362	0.2793914747616638
23	50.51981901058553	2.778536697369205e-25	24.411902239888896	0.001	0.7035613590886131	0.29643864091138694
24	26.047444760539058	2.1894927795189474e-17	22.622478852681187	0.001	0.6874421441961978	0.3125578558038022
25	23.82292275203247	1.9993952033529903e-16	22.54954492818645	0.001	0.686747888338282	0.31325211166171796
26	27.759422575680592	4.354051758196933e-18	22.031741039579277	0.001	0.6817288309929503	0.3182711690070497
27	36.69944059924779	2.5727049754304355e-21	25.671608260595043	0.001	0.7139466023237034	0.2860533976762965
28	43.55183658292928	2.082867203847062e-23	21.429919045347077	0.001	0.6756894564157809	0.324310543584219
29	27.073703129289036	8.243787761282842e-18	21.165350342881858	0.001	0.672961331923809	0.327038668076191
30	38.44329246275126	7.09713601913849e-22	26.033274965426344	0.001	0.7167951394629944	0.28320486053700555
31	49.609081731533095	4.7479268386249425e-25	24.032130566175443	0.001	0.700280879230448	0.299719120769552
32	27.129828066639906	7.820815327754707e-18	27.51132433389568	0.001	0.7278698368612978	0.2721301631387022
33	27.0569259085794	8.374735662177608e-18	27.91368008372293	0.001	0.7307361947616704	0.26926380523832955
34	51.725811860982475	1.3832848431124626e-25	25.426349016771535	0.001	0.7119820773559637	0.2880179226440362
35	34.18733103812352	1.7896440212608125e-20	21.109073028739296	0.001	0.6723750926326889	0.327624907367311
36	38.47602146872786	6.9306486844919615e-22	26.56242646343226	0.001	0.7208620550019876	0.2791379449980123
37	53.79686629760035	4.305356424929149e-26	23.456341766651903	0.001	0.6951663446426823	0.30483365535731755
38	41.8495382563712	6.49944893704937e-23	22.78124774868797	0.001	0.688942870681219	0.31105712931878104
39	36.08599042620711	4.0923317391009665e-21	23.085971433942866	0.001	0.6917831969256614	0.3082168030743386
40	32.76167109403438	5.64524417130683e-20	24.968583144027665	0.001	0.7082422559629045	0.2917577440370955
41	31.419400455861933	1.7231354611543754e-19	24.17188620544642	0.001	0.7014965018137915	0.29850349818620847
42	19.24180705571052	3.0450623636833443e-14	23.60329215970659	0.001	0.696488172284434	0.30351182771556595
43	51.62445760475078	1.4660350297286411e-25	25.605240856117874	0.001	0.713417649514545	0.28658235048545494
44	43.55828212826562	2.074051582238147e-23	22.111881771078536	0.001	0.6825161265766917	0.31748387342330836
45	24.541590255941873	9.641807140544288e-17	23.01558275165	0.001	0.6911317215610658	0.30886827843893416
46	49.37234056680805	5.464615616645843e-25	22.465831128167082	0.001	0.6859472078116106	0.31405279218838944
47	30.475866831225613	3.8560071478139157e-19	20.90821729171202	0.001	0.6702655367379978	0.32973446326200223
48	45.01271762739726	8.064889566789573e-24	27.91193542200305	0.001	0.7307238962496639	0.269276103750336
