Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	22.464401398241726	8.269928182684124e-16	29.938685486440892	0.001	0.7442916651590551	0.25570833484094496
2	52.261867060171866	1.0188934416760859e-25	25.24582907723442	0.001	0.7105187866272102	0.28948121337278976
3	28.955461646373212	1.4678871903532996e-18	20.252103828758365	0.001	0.6631811006550065	0.3368188993449936
4	15.867027529019033	2.0272297744280195e-12	20.402625883207335	0.001	0.6648331506657786	0.3351668493342213
5	19.263951443359936	2.9668255810339095e-14	26.290537098467716	0.001	0.718787084611888	0.28121291538811194
6	20.241069304712788	9.578675308051528e-15	27.297245441335143	0.001	0.7263197374444305	0.2736802625555696
7	30.062937326305235	5.51708352890228e-19	23.675392743067107	0.001	0.6971325382003202	0.30286746179967977
8	27.666452458687697	4.744571940766362e-18	23.94096333446812	0.001	0.6994825381576294	0.3005174618423706
9	24.727880296159462	7.999773545220678e-17	23.575702930463525	0.001	0.6962408802901454	0.30375911970985453
10	16.072726946678692	1.54755740803446e-12	22.308280891887787	0.001	0.6844291646461794	0.3155708353538206
11	50.02628584410095	3.7109248795452614e-25	24.90793777100873	0.001	0.7077395017392231	0.29226049826077694
12	23.68149256123456	2.311980250859731e-16	19.54839796215938	0.001	0.6552364554957599	0.34476354450424007
13	39.47477581433254	3.383663476287569e-22	25.12174143961295	0.001	0.709504281654532	0.29049571834546795
14	38.970024116599504	4.852715909740075e-22	23.96247924139115	0.001	0.6996713336843957	0.3003286663156043
15	17.07859893779677	4.248586934872346e-13	26.968261271283076	0.001	0.7239029088324418	0.2760970911675582
16	64.06845272693278	2.1730073362574084e-28	28.456482258833198	0.001	0.7345087474870632	0.26549125251293687
17	32.81730807583947	5.394024708348693e-20	21.819197440223018	0.001	0.679621785802808	0.3203782141971921
18	36.72294737940423	2.5276491380621972e-21	23.005984476116065	0.001	0.6910426722499641	0.308957327750036
19	45.02957282706691	7.978233393414624e-24	21.271009380007428	0.001	0.6740563312379898	0.32594366876201014
20	15.805310007839276	2.1991309771700287e-12	21.717409495104903	0.001	0.6786028027714299	0.32139719722857013
21	25.85695083180322	2.6324169154138347e-17	24.926802887970283	0.001	0.707896080391517	0.29210391960848303
22	23.55606561827003	2.631128866514607e-16	26.808856899024175	0.001	0.722716452645069	0.277283547354931
23	58.83283696487559	2.922681610800834e-27	25.12453631235623	0.001	0.7095272100030054	0.2904727899969945
24	23.10426051664095	4.208193421923113e-16	21.25034007846582	0.001	0.6738427018505775	0.32615729814942246
25	18.961347192689733	4.240927691394768e-14	21.351336087279606	0.001	0.6748839046482535	0.32511609535174635
26	14.665313851684688	1.0220445985976227e-11	20.28948273141279	0.001	0.6635928697384152	0.33640713026158475
27	43.61677392199262	1.9957836259399442e-23	22.536750182886035	0.001	0.6866257774289272	0.31337422257107284
