Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	17.296579495249446	3.2294313130868446e-13	20.954610600026406	0.001	0.6707552074655573	0.32924479253444283
2	14.573000287503957	1.1607043935739256e-11	17.44284281810013	0.001	0.6290569953854773	0.3709430046145226
3	25.086315281594214	5.60055666088578e-17	22.242948242529344	0.001	0.6837953519674067	0.31620464803259335
4	9.412217388700762	3.106479695904153e-8	18.622478307805956	0.001	0.6441937954979647	0.3558062045020353
5	31.14149499516834	2.180467314390003e-19	21.653496070868812	0.001	0.6779596561442771	0.3220403438557229
6	18.269898495246878	9.72250390936712e-14	20.35020560927284	0.001	0.6642596559538169	0.3357403440461832
7	12.48850859135815	2.317182761100541e-10	15.963855560113236	0.001	0.6081568442406593	0.39184315575934064
8	13.620075653385674	4.429115867696049e-11	25.687979899889967	0.001	0.7140767853130201	0.2859232146869799
9	10.621304490396218	4.204798978779286e-9	24.322673757578666	0.001	0.7027970712519898	0.29720292874801024
10	12.041958254056265	4.543960692633427e-10	25.151103526431772	0.001	0.7097449793533991	0.2902550206466008
11	16.484914520282032	9.06194376904943e-13	20.05330322471206	0.001	0.6609740482802555	0.33902595171974453
12	28.423576507415518	2.371050571217294e-18	18.74705158726685	0.001	0.6457204824812603	0.3542795175187396
13	27.491082531651042	5.582175165849924e-18	16.07980186035545	0.001	0.6098800331186552	0.39011996688134476
14	27.22165903476324	7.17622222666641e-18	18.116536534313042	0.001	0.6378556632398478	0.3621443367601522
15	14.30306426226173	1.68799637858758e-11	18.69958558246082	0.001	0.6451403182822457	0.3548596817177544
16	13.607603339967381	4.5088786739488914e-11	18.553564401577773	0.001	0.6433435663477028	0.3566564336522971
17	16.117943001428003	1.4587668192674661e-12	20.13628828945529	0.001	0.6618988424480157	0.3381011575519845
18	13.925221324278152	2.8695120401357338e-11	18.562138691169316	0.001	0.6434495733891723	0.35655042661082775
19	44.81027172237883	9.18458698391453e-24	23.164194708677897	0.001	0.6925039680245867	0.30749603197541336
20	12.579031105216684	2.024410473336252e-10	22.98196887186042	0.001	0.690819639077501	0.3091803609224989
21	18.682644718285214	5.911787629989774e-14	19.131333854318598	0.001	0.6503485245442853	0.3496514754557147
22	20.105556314616305	1.1181560783606985e-14	18.7679734106418	0.001	0.6459756023671887	0.35402439763281135
23	12.97247652253945	1.1317129392114359e-10	24.24846255278598	0.001	0.7021584057493068	0.2978415942506933
