Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	12.858803205779642	1.3375435776968e-10	21.70897645304975	0.001	0.678518090088855	0.321481909911145
2	23.223539932439724	3.715312221682424e-16	22.093384571289615	0.001	0.682334757642911	0.31766524235708893
3	7.958519263624809	3.961852553746788e-7	18.180818450975252	0.001	0.6386734422187856	0.3613265577812145
4	8.686134123517569	1.0858917323228069e-7	24.845702155860547	0.001	0.7072217596799747	0.29277824032002536
5	30.8323771880976	2.8382201702966906e-19	27.244997385147396	0.001	0.725938735830049	0.27406126416995097
6	9.483029608798686	2.7552705847823633e-8	17.96850723506673	0.001	0.6359583194267402	0.3640416805732598
7	28.484778905846586	2.243044857169843e-18	23.37137237837913	0.001	0.6943967733045816	0.30560322669541845
8	9.238066449536234	4.179123721297774e-8	23.722746127592245	0.001	0.6975542508919403	0.30244574910805966
9	13.406756026435447	6.017329654523036e-11	20.314798914210844	0.001	0.6638711835153324	0.3361288164846677
10	9.305387646390672	3.7254144584486334e-8	22.396589269962703	0.001	0.6852818447086594	0.3147181552913407
11	27.65715217924347	4.785568588143954e-18	22.1603024968094	0.001	0.6829899227798448	0.31701007722015523
12	15.177084770117878	5.087825463198166e-12	22.094486182083443	0.001	0.6823455649713015	0.3176544350286985
13	15.296280753920067	4.3329291750834125e-12	20.829287928876685	0.001	0.6694290999956627	0.33057090000433725
14	18.440321890490022	7.910665960614342e-14	23.332674088663417	0.001	0.694044991949895	0.3059550080501049
15	7.166536267941483	1.6997640790273971e-6	21.413215418309576	0.001	0.6755185622431719	0.32448143775682803
16	8.496553042467953	1.5154221600297376e-7	24.244703403263376	0.001	0.702125981262093	0.297874018737907
17	12.481797674671798	2.340547864948429e-10	20.34737671945909	0.001	0.664228651167549	0.33577134883245097
18	10.229297961892684	7.952378732876703e-9	19.707319992520365	0.001	0.6570632304055204	0.34293676959447966
19	19.656674020347506	1.8755778136537358e-14	22.16941965912078	0.001	0.6830789759426903	0.3169210240573098
20	16.616749101387377	7.648649027482802e-13	22.609191736293777	0.001	0.6873158938702328	0.31268410612976716
21	19.590856436987185	2.0246013852196702e-14	22.429013969454605	0.001	0.6855937727653552	0.3144062272346448
22	6.290531863510095	9.033121633296976e-6	24.466462710946715	0.001	0.7040267639433772	0.29597323605662285
23	16.99752029992203	4.7073602634339e-13	20.78847891427767	0.001	0.6689949689275617	0.33100503107243817
24	8.908769091537128	7.36742375873853e-8	21.084147075469847	0.001	0.6721147675060676	0.32788523249393237
25	7.33435052349847	1.2431843974630438e-06	25.046405268075983	0.001	0.7088848782464033	0.2911151217535966
26	17.255870625737664	3.398638443347457e-13	19.890592673246005	0.001	0.6591460214232697	0.34085397857673017
27	9.670950176218664	2.007487143138065e-8	14.812681263236868	0.001	0.5901843898486124	0.40981561015138745
28	19.50404583899471	2.2399623442475382e-14	24.233674255259277	0.001	0.7020308087582309	0.2979691912417692
29	10.66394616014452	3.925662201299842e-9	21.345344277360134	0.001	0.6748223185384741	0.3251776814615259
30	12.543678818359142	2.1339449307675988e-10	23.033354877019345	0.001	0.6912964694338296	0.30870353056617034
31	6.395644907159636	7.367819886772711e-6	18.93956940129282	0.001	0.6480542534378518	0.3519457465621481
32	11.665759759727464	8.089290679041115e-10	21.037753425809665	0.001	0.6716291318559804	0.3283708681440195
33	30.892877372701204	2.695078325426838e-19	23.99983246102801	0.001	0.6999985340268317	0.30000146597316846
34	22.922178891444993	5.093755338148909e-16	22.25592107940056	0.001	0.6839214080574225	0.31607859194257754
35	6.776425441578496	3.548652346458542e-6	25.102739091969145	0.001	0.7093482957296847	0.29065170427031534
36	10.698368719591853	3.714234212719374e-9	23.653164152321423	0.001	0.6969341722799254	0.3030658277200746
37	27.209087360133147	7.261138603073884e-18	26.517841112668826	0.001	0.7205238957384491	0.27947610426155095
38	21.647042880129412	1.9969308320684408e-15	22.99572906745315	0.001	0.6909474695382951	0.30905253046170494
39	8.77326783835875	9.325188906502616e-8	21.895439670070015	0.001	0.6803808123274115	0.3196191876725885
40	14.592662344243122	1.1296337595308262e-11	23.039947683600683	0.001	0.6913575401687448	0.30864245983125527
41	10.527043055805683	4.896426196798854e-9	22.557403730586785	0.001	0.6868228442680392	0.3131771557319607
42	14.609994901343603	1.1029527681916084e-11	22.89417928180764	0.001	0.6900015889206337	0.3099984110793664
43	16.91442368332376	5.230547969645572e-13	24.13471906334984	0.001	0.7011741780992439	0.2988258219007562
44	13.641122630472177	4.2977855786701145e-11	22.969704381993118	0.001	0.69070561436948	0.3092943856305199
45	15.815469628195435	2.169836169434565e-12	25.356825976463327	0.001	0.7114202800907247	0.28857971990927533
46	7.379519212425769	1.143244640424662e-6	24.387407333161335	0.001	0.7033519393271223	0.2966480606728778
47	17.70126975055599	1.9511692894006654e-13	20.726516915594733	0.001	0.6683336255638347	0.3316663744361653
48	19.565905138335772	2.084228570621262e-14	23.728625769472423	0.001	0.6976065309799871	0.3023934690200129
49	11.496554811370748	1.051509400810601e-9	20.06117280457991	0.001	0.6610619647705497	0.3389380352294503
50	17.47949103941612	2.5695028873614377e-13	19.876054788012397	0.001	0.6589817307939684	0.3410182692060317
51	27.994372262898533	3.5076234675772604e-18	18.189445660123102	0.001	0.6387829144672499	0.3612170855327502
52	7.036718690899444	2.168531788171913e-6	23.833887338150966	0.001	0.6985394378544018	0.3014605621455983
