Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	3.0468353650422344	0.04102340452542373	7.490279023558099	0.001	0.38430845523065743	0.6156915447693426
2	4.978829324003906	0.005430832188930119	7.601049636040742	0.001	0.3877878877498774	0.6122121122501226
3	5.4760261581231715	0.0033227340320923296	5.559644922996461	0.001	0.3166148830102731	0.6833851169897268
4	5.837801291888651	0.0023410910383766686	7.810303171756953	0.001	0.39425460095390685	0.6057453990460931
5	2.133255393260468	0.11306790219116723	4.257772086534202	0.001	0.26189148573812154	0.7381085142618785
6	7.5192643577883285	4.965775043076988e-4	3.69401609361502	0.001	0.23537736112797156	0.7646226388720284
7	4.65308549951646	0.0075413345737902334	6.501783206889251	0.001	0.35141386828423504	0.648586131715765
8	7.06196206639508	7.479780894362314e-4	9.454482238679596	0.001	0.4406763180532231	0.559323681946777
9	5.997836292307241	0.0020090177533342614	3.9233529071719677	0.001	0.24638987341697785	0.7536101265830222
10	4.752493734410692	0.00681867435645699	7.576364290882839	0.001	0.3870159023558488	0.6129840976441511
11	7.793971666381371	3.898671332059969e-4	5.414355365477174	0.001	0.3109133385557746	0.6890866614442254
12	3.6777161892216	0.020785022133743787	5.583747311010946	0.001	0.3175516124207723	0.6824483875792277
13	5.206563504229634	0.00433012916620665	7.993138664875408	0.001	0.39979408930514804	0.600205910694852
14	2.722526046798962	0.05858674125978581	6.360768191107324	0.001	0.3464325743292177	0.6535674256707823
15	8.987851244007238	1.4099494104787214e-4	7.936724982819577	0.001	0.39809572483239	0.60190427516761
16	3.6702149261459485	0.020951449536212217	6.596006163355928	0.001	0.3547001493446257	0.6452998506553743
17	7.619879650833921	4.543067508993325e-4	5.407298790013439	0.001	0.31063399641968603	0.689366003580314
18	3.541161851857794	0.02404273859297205	10.04293731457362	0.001	0.4556079424103685	0.5443920575896316
19	6.861560839138577	8.975439114184596e-4	6.64130437263735	0.001	0.3562682224311402	0.6437317775688598
20	7.81636642944454	3.823044863453921e-4	4.708018016502127	0.001	0.28178195713292414	0.7182180428670758
21	2.303746573423418	0.09337633974634468	14.371374604901883	0.001	0.5449611489812347	0.4550388510187654
22	3.0523676601884686	0.04077634589772515	10.250387053991993	0.001	0.4606835390826583	0.5393164609173418
23	6.144195377312619	0.0017485204908531935	6.6463810970848725	0.001	0.3564434869414929	0.643556513058507
24	5.797875891816789	0.0024326072040617352	11.462440558713661	0.001	0.4885442556595696	0.5114557443404304
25	4.250143669624321	0.011400206311429227	6.949304465833643	0.001	0.3667313741442868	0.6332686258557131
26	6.065408130986821	0.0018840205402073673	5.598374986391035	0.001	0.3181188598788413	0.6818811401211587
27	9.917117336037634	6.624842574827025e-5	4.64986512795462	0.001	0.2792734410891796	0.7207265589108204
