Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	8.914396913347897	7.295885530790184e-8	16.194040403996905	0.001	0.6115630825798081	0.38843691742019193
2	3.9453219971309426	0.0010688335112611091	16.058677907652523	0.001	0.6095672198387594	0.3904327801612406
3	4.598922934842986	2.7131314228820734e-4	18.227698399267872	0.001	0.6392675124738152	0.36073248752618475
4	4.610189482454276	2.6504107238634674e-4	22.154356163171812	0.001	0.6829318141611043	0.3170681858388957
5	3.3054559744869345	0.00417902175604844	21.000498075225746	0.001	0.6712381106715329	0.32876188932846706
6	16.814103393842768	5.942620551215643e-13	20.399424238034978	0.001	0.664798179817455	0.335201820182545
7	5.156040072914781	8.63016503558978e-5	12.364016208175158	0.001	0.5458791755385692	0.45412082446143087
8	13.8875582738463	3.026617262774117e-11	18.54833307847887	0.001	0.6432788586423929	0.35672114135760713
9	16.3245325665525	1.1149612816709148e-12	17.330123307856095	0.001	0.6275429180497121	0.3724570819502879
10	7.694584865977084	6.401063006640199e-7	17.93962527850027	0.001	0.6355858089036063	0.3644141910963938
11	9.836677936682234	1.5215677968112798e-8	21.45302385826646	0.001	0.6759255443914056	0.32407445560859427
12	6.787725564354147	3.4731799233621864e-6	16.2823005443089	0.001	0.6128534874916242	0.38714651250837584
13	10.229794119942529	7.945914595176491e-9	15.235238692328718	0.001	0.5969698194826966	0.4030301805173035
14	8.928329127041001	7.121832660820128e-8	19.30937302275715	0.001	0.6524519702035122	0.3475480297964877
15	16.512158683070183	8.749362352379608e-13	21.713344364056116	0.001	0.6785619727664055	0.3214380272335945
16	7.23683631591283	1.4905842360275675e-6	17.85757459326928	0.001	0.6345233732296548	0.3654766267703453
17	13.459616167763635	5.576016342506567e-11	19.468047405211085	0.001	0.6543054154778911	0.3456945845221089
18	4.217950189860262	6.013683820676727e-4	19.81539576990364	0.001	0.6582945191486514	0.34170548085134855
19	12.656312670327242	1.8046059285237826e-10	13.1319584647691	0.001	0.5607712860577929	0.4392287139422071
20	8.928171665805728	7.12377583149241e-8	18.61126774688144	0.001	0.6440557607672655	0.3559442392327346
21	11.625283896931126	8.611650234178531e-10	14.951518457115167	0.001	0.592438902056854	0.407561097943146
22	11.74222107905483	7.189431425444962e-10	22.595827456734614	0.001	0.6871888074385577	0.31281119256144224
23	4.146765895448695	6.985153330837485e-4	23.02192876759662	0.001	0.6911905694062058	0.3088094305937942
24	7.622652843445629	7.302215132639134e-7	16.99059585127035	0.001	0.6229066822433719	0.37709331775662824
25	6.170103697486076	1.1421375254467978e-5	16.757031219814014	0.001	0.6196497769203354	0.3803502230796646
26	12.393811562421886	2.6702484339268286e-10	15.843281520891438	0.001	0.6063486571836055	0.3936513428163946
27	3.8204989322674043	0.0013926810363025688	16.370630999333418	0.001	0.614136365067126	0.38586363493287407
28	6.495269268425111	6.07893244415574e-6	19.040688813233782	0.001	0.6492677860626136	0.3507322139373864
29	13.398660947641527	6.088013448101001e-11	20.006466826662084	0.001	0.6604498617132627	0.33955013828673725
30	6.494630400387768	6.086417273339931e-6	13.622972425789296	0.001	0.5697917493408223	0.43020825065917784
31	13.504071414366782	5.230651309004623e-11	16.47488316889033	0.001	0.61563958715187606	0.384360412848124
32	10.238036805211037	7.839310667086205e-9	17.139453672335847	0.001	0.6249534624018551	0.37504653759814477
33	4.6500390832195375	2.440152256613626e-4	18.402010327145366	0.001	0.6414593898777327	0.35854061012226734
34	8.635418547381384	1.186838583529442e-7	18.283855886824302	0.001	0.639976582650829	0.3600234173491709
35	8.138878028662848	2.86349701442779e-7	16.797753180809494	0.001	0.6202216611138205	0.3797783388861795
36	13.335204832640647	6.672479663233006e-11	13.3404734657684	0.001	0.5646477377600289	0.43535226223997125
37	2.4277479446437122	0.027280308342089676	16.607184198298036	0.001	0.617530468430947	0.3824695315690529
38	2.5066511743203046	0.02307501965332022	17.96659428886844	0.001	0.6359336703915283	0.36406632960847174
