Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	25.111947445019034	5.46029032338287e-17	21.87933021838952	0.001	0.6802207351399133	0.3197792648600866
2	16.133800483064533	1.4288812863034281e-12	19.032133971132925	0.001	0.64916544367092	0.3508345563290801
3	4.761430583485369	1.9379281787014737e-4	16.848573746231605	0.001	0.6209329585650211	0.37906704143497894
4	3.813522965148422	0.0014134655168024808	22.053322894661065	0.001	0.6819412331806812	0.31805876681931883
5	10.891126583678696	2.7281181297658893e-9	14.144515200991298	0.001	0.5789759448918991	0.421024055108101
6	8.664267532910383	1.1282910400633405e-7	17.57885983287771	0.001	0.6308677016939807	0.3691322983060193
7	6.285568037106494	9.120673430312275e-6	21.578333755420594	0.001	0.677200013242638	0.322799986757362
8	3.9664214039303425	0.0010221514193177253	18.007734885116758	0.001	0.6364630475552525	0.36353695244474754
9	13.022360728288772	1.0519379504459572e-10	17.449687116462997	0.001	0.629148533436879	0.37085146656312096
10	23.850173191136246	1.9443403186690197e-16	18.657327207110654	0.001	0.6446222043296955	0.3553777956703045
11	3.025442278035814	0.007614750305321835	21.37926562120001	0.001	0.6751706675339365	0.3248293324660636
12	14.961714886648375	6.812848300840471e-12	18.8292529322366	0.001	0.646720732717411	0.3532792672825889
13	11.108544052058031	1.9319163700589116e-9	16.715593963439176	0.001	0.619066076695126	0.380933923304874
14	10.756093516744622	3.3855281673636533e-9	17.294915005667836	0.001	0.6270674545874785	0.3729325454125216
15	10.501801871520392	5.100733455203478e-9	23.84760146981213	0.001	0.6986605591034923	0.30133944089650766
16	2.8465359897564193	0.011171498555476929	17.65405693419374	0.001	0.6318611843755769	0.3681388156244232
17	2.6107702587139454	0.01848851738867874	18.915104652230752	0.001	0.6477593896399768	0.35224061036002324
18	10.04930593260139	1.0693068206960927e-8	18.368422742672355	0.001	0.6410391185215387	0.3589608814784613
19	8.680341615246142	1.0969618784005219e-7	21.701525245010355	0.001	0.6784432030830742	0.32155679691692585
20	9.864141103585494	1.4535421689850619e-8	19.94412809216207	0.001	0.6597496554185852	0.34025034458141484
21	20.36547968191204	8.315003572917854e-15	20.472389540339947	0.001	0.6655933556930913	0.3344066443069087
22	6.270824964893364	9.38585884901844e-6	28.01810223418772	0.001	0.731470249697703	0.26852975030229703
23	17.639480208892945	2.1062714660154873e-13	18.204167347741553	0.001	0.638969567580242	0.36103043241975813
24	11.678506077947862	7.931614954106863e-10	17.128294399708093	0.001	0.624800794231024	0.375199205768976
25	4.186432514240973	6.425683727739953e-4	18.001500722576683	0.001	0.6363829283759626	0.3636170716240375
26	35.540616894534324	6.214087202609676e-21	19.671213461208943	0.001	0.6566498950557206	0.3433501049442794
27	6.826279752276849	3.2278112627958563e-6	25.891104911308172	0.001	0.7156821822920005	0.28431781770799947
28	4.012266054278707	9.277053237783132e-4	17.86181877221381	0.001	0.6345784810147975	0.3654215189852024
29	19.069582970934967	3.7306681128496656e-14	19.109168452482205	0.001	0.6500848675831336	0.3499151324168664
30	7.503834833321024	9.085258987509624e-7	14.147042441502506	0.001	0.5790194941753524	0.4209805058246475
31	5.135320794661309	9.001959923743572e-5	15.701014806168876	0.001	0.6041935770621097	0.39580642293789037
32	11.542590892788251	9.789171654075536e-10	17.45790362332256	0.001	0.6292583642321592	0.3707416357678409
33	12.684376566900987	1.7309850794602232e-10	17.453578024120453	0.001	0.6292005516641255	0.37079944833587447
34	12.705137412955853	1.6785116795346977e-10	19.890658720425087	0.001	0.6591467674520838	0.3408532325479163
35	36.54600649360036	2.887798521117893e-21	23.852632672950694	0.001	0.6987049695707784	0.30129503042922146
36	6.277323326887095	9.268014287045237e-6	20.840605960171303	0.001	0.6695493008983645	0.33045069910163555
37	6.563364791896918	5.332736065635726e-6	25.86654369076182	0.001	0.7154890216703175	0.28451097832968253
38	5.505791973037755	4.256147016924787e-5	15.832414346253817	0.001	0.6061848675817929	0.39381513241820715
39	13.851269681598914	3.186348671839692e-11	22.761247116557545	0.001	0.6887546131546246	0.3112453868453754
40	7.017698306549335	2.247574735454119e-6	18.262037990480312	0.001	0.6397014312649988	0.3602985687350012
41	4.682236367409019	2.282704019774757e-4	20.468678694908718	0.001	0.6655530059658513	0.3344469940341487
42	15.597933331499101	2.894638414111312e-12	17.34024107859712	0.001	0.6276793272821295	0.37232067271787045
43	8.829621439687159	8.453210750395355e-8	16.78437525614544	0.001	0.620033976252313	0.37996602374768695
44	8.163846604671495	2.7381932226859386e-7	19.624236970853893	0.001	0.6561106302887887	0.3438893697112114
45	9.881706645165446	1.4116755297358695e-8	17.88521156921413	0.001	0.6348819226360346	0.3651180773639654
46	6.1109225301041645	1.282257880692473e-5	17.171228440388177	0.001	0.625387488027355	0.37461251197264495
47	9.96898234395928	1.2212650138223008e-8	17.51976601374117	0.001	0.6300832003281123	0.3699167996718878
48	7.788354922754955	5.394522675738719e-7	31.273602180508668	0.001	0.75250521037626	0.24749478962374005
49	12.657375045527514	1.801761262897916e-10	19.945892786857303	0.001	0.6597695166842034	0.34023048331579653
50	7.300728603953904	1.3233488247182388e-6	13.275442695518752	0.001	0.5634461289864893	0.43655387101351073
51	6.327069944095211	8.41453324149248e-6	17.6039663428534	0.001	0.6311999974937497	0.36880000250625034
52	2.9858799290646494	0.008288565375701268	24.039689502570045	0.001	0.7003468815937156	0.2996531184062843
53	6.400988665837739	7.292063970386829e-6	16.817330009924113	0.001	0.620495979214795	0.37950402078520495
54	8.60810023790544	1.2451504990674752e-7	20.66435029911129	0.001	0.6676674370897034	0.3323325629102965
55	5.057682888757241	1.0546425029602257e-4	22.6711709484015	0.001	0.6879039322846299	0.31209606771537024
56	7.189854725177111	1.6272405660193806e-6	17.624049618039837	0.001	0.6314653781671453	0.3685346218328548
57	14.814669267164273	8.326716710628936e-12	16.591593398273314	0.001	0.617308608189127	0.38269139181087297
58	19.537234095015016	2.1549775211766116e-14	20.43084396819614	0.001	0.6651410551699801	0.33485894483001993
59	3.545573538933732	0.0025008876261655814	14.881253630686599	0.001	0.5913010133011987	0.4086989866988014
60	3.6480331288911105	0.0020099551991203854	17.440009084602433	0.001	0.6290190828086304	0.3709809171913695
61	4.782350668986796	1.8560327753566104e-4	20.376984824023538	0.001	0.6645528741973089	0.335447125802691
62	5.0812597524978305	1.0050799075879844e-4	18.219182421868332	0.001	0.6391597418776763	0.3608402581223237
63	7.19115121450876	1.6233024730032329e-6	23.09100180390524	0.001	0.6918296498044862	0.30817035019551364
64	11.651669316713205	8.267341459712867e-10	22.300945413670973	0.001	0.684358127509819	0.31564187249018105
65	8.190004531568043	2.6129343700834524e-7	22.343489913798958	0.001	0.6847696859898371	0.3152303140101629
66	6.902510974735446	2.7935088234128015e-6	18.14668654968169	0.001	0.638239684884105	0.361760315115895
67	8.446993442721228	1.654131546336001e-7	18.538684597648633	0.001	0.6431594522635102	0.3568405477364897
68	11.583521497387922	9.186980583819199e-10	30.131957224716203	0.001	0.7455144271965327	0.2544855728034674
69	6.8056974630443685	3.3565126370263863e-6	17.428466586064314	0.001	0.6288645753846456	0.37113542461535454
70	15.86644102928275	2.0287966735387347e-12	18.472794798703305	0.001	0.6423418802580603	0.3576581197419396
71	11.007661328289736	2.2665437258526775e-9	16.94835115254668	0.001	0.6223217459386746	0.3776782540613254
72	3.1928751127594017	0.005318723838691328	17.599061344192727	0.001	0.6311351246921049	0.3688648753078953
73	3.5728233396392297	0.0023595900437412033	14.125906735618935	0.001	0.5786550071080638	0.4213449928919362
74	12.052804913597848	4.469600130036616e-10	18.70852713240528	0.001	0.6452497536532767	0.35475024634672336
75	13.249215384182802	7.557725824932522e-11	16.750212290680253	0.001	0.6195538460037507	0.3804461539962493
76	33.17917900428133	4.0172565665653477e-20	20.121373171294543	0.001	0.6617329989182035	0.3382670010817965
77	3.3330716935454285	0.003939109829866438	23.04248567417168	0.001	0.6913810437379085	0.3086189562620915
78	6.7714779639907094	3.5822220505469507e-6	21.39884410330051	0.001	0.6753713856627273	0.3246286143372728
79	5.801795716815498	2.3578837980747537e-5	23.569557858870457	0.001	0.6961857449620438	0.3038142550379563
80	4.847053020687074	1.6243404165194495e-4	17.306408427391666	0.001	0.6272227985986492	0.3727772014013509
81	2.6159209364877665	0.018286630715867655	22.61200288621535	0.001	0.6873426131071887	0.3126573868928113
82	9.500755395194398	2.6739061133313088e-8	15.478082669187812	0.001	0.6007686947805566	0.3992313052194434
83	11.711095871865789	7.542650694261859e-10	22.33242687971774	0.001	0.6846627699123807	0.3153372300876193
84	6.181348744604246	1.1173345650824795e-5	18.023746570184944	0.001	0.6366686621807949	0.36333133781920507
85	8.001708296632158	3.664650528582248e-7	15.001426571308556	0.001	0.5932432874135037	0.4067567125864962
86	2.7407031260073076	0.014010042905032771	22.807025633065717	0.001	0.6891851714013809	0.31081482859861903
87	8.46492126403771	1.602511592163225e-7	22.290301019410617	0.001	0.6842549897716886	0.3157450102283112
88	7.825448016447631	5.042503035423618e-7	17.42332602049077	0.001	0.6287957225494041	0.3712042774505958
89	7.866710897234142	4.6784351955115734e-7	26.991174664982776	0.001	0.7240726204561139	0.2759273795438862
90	10.217600946367243	8.106344500416112e-9	15.694368603802962	0.001	0.60409232220485	0.39590767779515
91	8.322770160286993	2.0619184474954474e-7	15.182519217752569	0.001	0.5961355433499482	0.4038644566500518
92	12.454878901969822	2.4367267874517714e-10	18.451588879036386	0.001	0.6420779560717167	0.35792204392828336
93	10.249863373773202	7.688911970893602e-9	17.420212112389446	0.001	0.628754002377691	0.371245997622309
94	11.446051183701485	1.1375281344670372e-9	15.014640446187407	0.001	0.5934557283995376	0.40654427160046236
95	4.944054829119262	1.330802273836107e-4	22.03642476270334	0.001	0.6817749508995495	0.31822504910045046
96	10.755206211150966	3.390348073284999e-9	17.77652931713774	0.001	0.633467856979585	0.36653214302041504
97	6.790864287517882	3.4525094504886632e-6	16.226980205215444	0.001	0.6120456828998223	0.38795431710017764
98	7.0670086799283265	2.048479285375141e-6	17.695123419480556	0.001	0.6324014886872144	0.36759851131278565
99	4.826257008456281	1.695410440068264e-4	19.947078344533935	0.001	0.6597828585830565	0.3402171414169435
100	21.31864668881928	2.8630148791162804e-15	17.417843917676475	0.001	0.628722267002678	0.3712777329973221
