Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	7.630171157910964	7.202236977207485e-7	17.645725946845435	0.001	0.6317513812365388	0.3682486187634612
2	2.4190221320876852	0.027789201341556404	12.519093255752997	0.001	0.5489672838934868	0.45103271610651324
3	10.950196087355815	2.483197110758083e-9	15.489493234707142	0.001	0.6009454326385143	0.39905456736148576
4	9.099240890528034	5.302311416914717e-8	10.775065210362046	0.001	0.5116175881509735	0.4883824118490266
5	4.350045185426211	4.558450192892119e-4	16.876881046315436	0.001	0.6213280005101159	0.37867199948988406
6	5.163443436645314	8.501142168575266e-5	14.427305982077282	0.001	0.5837937178759313	0.41620628212406874
7	6.614544126764682	4.834056162535594e-6	13.506006247651609	0.001	0.5676767356404748	0.4323232643595251
8	8.478403784111876	1.564780612170164e-7	12.384002718169027	0.001	0.54627954623552	0.4537204537644801
9	8.645225942664773	1.1665934996390643e-7	12.824870347516589	0.001	0.5549349162320895	0.4450650837679106
10	7.125735780159898	1.8347166713391672e-6	14.112516454234578	0.001	0.5784237637824782	0.4215762362175218
11	5.7569107883386925	2.5776103877819207e-5	12.164484657895585	0.001	0.5418430673354026	0.4581569326645975
12	5.213417690187672	7.680105021853574e-5	12.50159642762545	0.001	0.5486209665060209	0.4513790334939792
13	5.788640782475148	2.4202249890040402e-5	11.96072880449086	0.001	0.5376467939612797	0.46235320603872027
14	17.088546063425664	4.1955556224941476e-13	10.627698775435253	0.001	0.5081761998560691	0.491823800143931
15	4.1549868751941155	6.865281338109222e-4	14.44053682474052	0.001	0.584016426923479	0.4159835730765211
16	7.583883561860784	7.840790442442573e-7	10.385372464509842	0.001	0.5024105694103016	0.49758943058969857
17	5.6615777981122895	3.116302190011248e-5	14.35668136354028	0.001	0.5826008789033695	0.4173991210966304
18	13.398245050392557	6.091667875828384e-11	8.309352622899997	0.001	0.44685790396648883	0.553142096033511
19	4.4138683476446365	3.988927520092876e-4	18.382313101740255	0.001	0.6412130438310021	0.358786956168998
20	4.294218899872192	5.124011035997591e-4	9.418630410041327	0.001	0.4779976474970078	0.5220023525029922
21	12.484881721641782	2.329780391497158e-10	7.981232782562015	0.001	0.4369220950129537	0.5630779049870462
22	9.454145660473268	2.8933318726197544e-8	11.758991526969732	0.001	0.5334156702696335	0.4665843297303665
23	7.605200438554436	7.539810903745293e-7	11.993872317247996	0.001	0.5383345988858382	0.4616654011141618
24	6.185771736915367	1.1077302807970244e-5	13.236129752346345	0.001	0.5627165000724008	0.43728349992759924
25	4.558671457071436	2.949796886032792e-4	15.318773835300977	0.001	0.598284713324453	0.40171528667554707
26	9.531693954549999	2.5377451519505008e-8	14.660725602230919	0.001	0.5876880896867123	0.4123119103132877
27	16.9405727830497	5.059762836612328e-13	14.770499079655004	0.001	0.589494464477606	0.410505535522394
28	13.40096789750865	6.067783444912944e-11	12.602079143728611	0.001	0.5506026250445478	0.4493973749554523
29	5.746248616558788	2.6328100594133127e-5	13.62761419542333	0.001	0.5698752562267748	0.4301247437732252
30	5.892537647923025	1.9702131108020408e-5	13.277102944299079	0.001	0.5634768888071348	0.43652311119286524
31	3.33588006146603	0.00391550065731407	16.271639610946597	0.001	0.6126980750515384	0.38730192494846155
32	19.48194027867466	2.2984713272551812e-14	12.951821335621982	0.001	0.5573663897358317	0.4426336102641683
33	14.830070776407599	8.153127722863671e-12	11.373142350864693	0.001	0.5251035427076488	0.47489645729235114
34	15.890134403984366	1.9664759184293813e-12	12.474280140171983	0.001	0.5480792265038632	0.45192077349613685
35	9.53210842918474	2.5359701084082258e-8	11.002222976839857	0.001	0.516828983529229	0.4831710164707709
36	5.034233656034454	1.1064076347566017e-4	17.376017774022237	0.001	0.6281608735309159	0.371839126469084
37	3.2469875208172074	0.004736496348783995	12.987002528774218	0.001	0.5580355156768426	0.44196448432315744
38	11.332046767051711	1.3592736104291104e-9	11.284980986898006	0.001	0.523162598343607	0.47683740165639305
39	5.574804862404684	3.706292623382846e-5	12.266347057512732	0.001	0.5439124553107266	0.4560875446892733
40	12.323850353875864	2.966217849621208e-10	10.912873916908103	0.001	0.5147924858296986	0.48520751417030134
41	5.969660983171312	1.6921629856979953e-5	12.112011712498916	0.001	0.540769706418641	0.45923029358135903
42	7.597595907476177	7.645800432409708e-7	15.586203425194377	0.001	0.6024371134507202	0.3975628865492799
43	6.65146437701168	4.50413179184368e-6	13.670273120541465	0.001	0.5706411883056708	0.42935881169432927
