Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	14.914240354397688	4.332805582411672e-5	10.002251822415287	0.001	0.4255869564326442	0.5744130435673558
2	9.153486524017756	9.229595505660957e-4	4.909896367597374	0.001	0.2666987510173666	0.7333012489826335
3	1.9872735895869613	0.15661875738635891	10.60925592436184	0.001	0.4400490814667338	0.5599509185332661
4	2.2271042148100757	0.12727630311262192	8.237412496208405	0.001	0.3789509214882514	0.6210490785117487
5	9.292791345450123	8.496487537418827e-4	8.179720999860645	0.001	0.3772982595077319	0.6227017404922682
6	11.523904345707933	2.408310129448561e-4	14.558702891617592	0.001	0.518865855911213	0.48113414408878685
7	10.206397012442606	4.998283729478121e-4	5.960330922579612	0.001	0.30628106717670994	0.6937189328232901
8	3.7462757146833368	0.0366537986014325	9.666221463931526	0.001	0.4172549882155481	0.5827450117844519
9	20.111479952748443	4.486656251327048e-6	9.85108080847448	0.001	0.42186830191171987	0.5781316980882801
10	10.623041361076552	3.9506908342093114e-4	7.737183817505125	0.001	0.3643224960518359	0.635677503948164
11	13.400863615137634	9.071139982820976e-5	8.01342064152442	0.001	0.3724847282564264	0.6275152717435735
12	7.938183844456873	0.0019429785103016628	7.761193344749696	0.001	0.3650403445800124	0.6349596554199874
13	40.30283473450219	7.827737255626511e-9	7.745309584619514	0.001	0.36456562582767493	0.6354343741723251
14	3.4707587089113114	0.045555297007133434	4.630831023599874	0.001	0.2554119564388518	0.7445880435611483
15	3.4952416288674466	0.04467728125760935	6.251449675209649	0.001	0.31650586554443855	0.6834941344555615
16	16.359112611311538	2.2180318045002966e-5	5.762340332227356	0.001	0.2991505825793413	0.7008494174206586
17	7.817454379076035	0.002096904996447255	6.276293198496678	0.001	0.3173644896695696	0.6826355103304305
18	10.701035595552296	3.7822265926156477e-4	8.425355048324347	0.001	0.38427450911305805	0.615725490886942
19	2.8839761972456937	0.07325633917492991	7.284335021888817	0.001	0.35047236364393625	0.6495276363560638
20	11.655803346397168	2.2433151850939704e-4	5.710464872341677	0.001	0.2972580263043679	0.7027419736956321
21	16.859830185012342	1.772004461891779e-5	7.927838549119346	0.001	0.3699784526071655	0.6300215473928344
22	15.38903855830793	3.464249630407557e-5	8.394896691384119	0.001	0.38341796308578163	0.6165820369142183
23	17.63061604370226	1.2631988508292021e-5	13.057781849926512	0.001	0.4916744148179921	0.5083255851820078
24	9.36587423139547	8.137114628003402e-4	10.841649656131636	0.001	0.4453950249588214	0.5546049750411786
25	8.667307286994545	0.0012370326523619849	6.646153262680437	0.001	0.3298968878089519	0.6701031121910482
26	10.465037950971324	4.317190772721086e-4	8.400445652610639	0.001	0.3835741877521686	0.6164258122478313
27	31.921459245065506	7.6998321803153e-8	6.691210001778305	0.001	0.3313922246952505	0.6686077753047495
28	5.7378727061020784	0.008382735122257571	5.40902957242591	0.001	0.2860553764384412	0.7139446235615589
29	4.236096735328845	0.025114365799425945	6.053904700317515	0.001	0.3096008082835349	0.6903991917164651
30	8.41689599431744	0.001442077975718313	7.5413485029443175	0.001	0.358406140266583	0.6415938597334171
31	8.17925035245359	0.0016707380211881317	8.481426540558303	0.001	0.3858451372529931	0.6141548627470069
32	4.850481568890725	0.015858608780995143	6.41321695185121	0.001	0.32205830767363847	0.6779416923263616
33	11.497567414715283	2.4427907841986947e-4	5.272632133829411	0.001	0.2808680261905208	0.7191319738094791
34	4.336786514578941	0.023266528074694575	6.180277154449635	0.001	0.31403405073755775	0.6859659492624424
35	9.913266304748873	5.912468079295935e-4	7.897040241078412	0.001	0.36907161701353147	0.6309283829864686
36	4.319980209282374	0.023564511443840908	7.597044905219617	0.001	0.3600999542518883	0.6399000457481117
37	5.3445135546522415	0.011079222986796552	10.065852255941467	0.001	0.42713720457123056	0.5728627954287694
38	27.815191708746948	2.7670942301160723e-7	10.895503341381088	0.001	0.44661932934581	0.5533806706541899
39	10.037974823643054	5.503298958160261e-4	8.177402583684646	0.001	0.3772316610403921	0.6227683389596079
40	6.148392975704497	0.006303632615549891	7.337564975192561	0.001	0.35213159425912016	0.6478684057408798
41	1.9252152841196213	0.16534239158884884	8.545352950653868	0.001	0.38762604390057687	0.6123739560994231
42	8.040802160618659	0.0018216737596035133	7.647564138939279	0.001	0.3616286059564525	0.6383713940435474
43	23.24417153669275	1.3472917993402025e-6	13.264486443025786	0.001	0.49560026011566566	0.5043997398843344
44	12.346426653364196	1.5563203723714374e-4	13.449569920218389	0.001	0.4990643620671702	0.5009356379328298
45	0.9963023936196276	0.3824134309301015	12.355860020803227	0.001	0.4778746485656208	0.5221253514343792
46	16.613318113551177	1.9781745609775238e-5	7.50828951742973	0.001	0.3573965177507862	0.6426034822492138
47	7.797593327357673	0.0021234582144616793	9.972477841110369	0.001	0.42485833445518417	0.5751416655448158
48	11.243910355663294	2.8033890398974676e-4	8.368423053607524	0.001	0.382671536630394	0.617328463369606
49	6.558610024401953	0.004769189755683848	5.854459966008842	0.001	0.3024863507579495	0.6975136492420505
50	20.153050072430684	4.412411895683964e-6	7.528229761535962	0.001	0.3580058733858003	0.6419941266141996
51	14.863031005372006	4.4396142682282615e-5	7.67292257235527	0.001	0.3623931720401005	0.6376068279598995
52	29.139249425640102	1.8074942853468742e-7	6.766440234383047	0.001	0.333874136559189	0.666125863440811
53	13.075885698636403	1.0688611376643661e-4	7.623872132611355	0.001	0.3609126245770776	0.6390873754229223
54	9.111468940162348	9.463839929211271e-4	5.339429027197638	0.001	0.28341777340965824	0.7165822265903418
55	12.352867581062906	1.5510940481557135e-4	7.548134810899437	0.001	0.35861300199344776	0.6413869980065523
56	20.245208182877292	4.252480843829697e-6	8.044737940335303	0.001	0.37339688060323195	0.626603119396768
57	4.299044909853042	0.023941449476453183	8.361822457500367	0.001	0.38248515071219913	0.6175148492878009
58	9.744564704964626	6.518786178994045e-4	12.747696691597877	0.001	0.48566915571218594	0.5143308442878141
59	29.462955488924763	1.6320552476307079e-7	7.157382522473829	0.001	0.3464806112142757	0.6535193887857242
60	3.437182729733366	0.04678967611862929	7.998940894989065	0.001	0.37206209059598117	0.627937909404019
61	6.708531358746371	0.00431307206377212	7.589578408359725	0.001	0.35987340578374394	0.640126594216256
62	18.287327363871032	9.529644029106308e-6	7.605566365026426	0.001	0.36035831654484496	0.639641683455155
63	9.246121726139377	8.734871670655152e-4	8.735777350993196	0.001	0.39287033743405414	0.6071296625659458
64	14.225868084984105	6.0333193624016356e-5	9.880538440127438	0.001	0.4225967021858536	0.5774032978141463
65	7.948039010392609	0.001930960534949877	16.570585962308158	0.001	0.5510563040932586	0.4489436959067414
66	2.925217869319636	0.07081177808461371	10.839634560930286	0.001	0.44534910882885437	0.5546508911711457
67	24.65696153948265	8.095800298013621e-7	8.230161295429921	0.001	0.3787436818133885	0.6212563181866114
68	6.425832831727489	0.005216549842652785	3.714528108010699	0.001	0.21577867744641582	0.7842213225535842
69	8.91936028250991	0.0010619216029287464	5.426499691674399	0.001	0.28671438354031564	0.7132856164596844
