Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	55.19138671635483	1.5217243587187762e-13	14.912637463870624	0.001	0.5541128209336739	0.44588717906632624
2	7.222593940596259	6.470934889468755e-4	7.568350350906357	0.001	0.3867648634242595	0.6132351365757405
3	10.244494627291738	5.113266763324954e-5	6.224407742391831	0.001	0.34154238811905113	0.6584576118809489
4	17.23788705058909	4.1709316518807904e-7	6.3041103907163984	0.001	0.3444095482462649	0.655590451753735
5	5.740538544455237	0.002570659021746941	5.325500429698359	0.001	0.3073793135908327	0.6926206864091672
6	8.180390521375523	2.78829248638816e-4	4.920926561597446	0.001	0.2908189775355232	0.7091810224644768
7	14.197995844761193	2.8957204759923066e-6	11.138597060423646	0.001	0.48138601624534744	0.5186139837546526
8	22.469374606770987	2.256828910037565e-8	11.008018687108091	0.001	0.4784427045548311	0.5215572954451688
9	13.355041154325376	5.150003735837745e-6	6.128351282262105	0.001	0.338053427299727	0.6619465727002731
10	20.801387203946405	5.441657128096425e-8	7.069285408310109	0.001	0.3707158006680953	0.6292841993319046
11	16.081409225560083	8.51034232349217e-7	7.947669486634762	0.001	0.398425966098938	0.6015740339010619
12	28.41373843142722	1.3334163603379629e-9	6.442207340522944	0.001	0.34931867002533495	0.6506813299746651
13	11.561666726372932	1.8679261796186192e-5	6.83796963161776	0.001	0.3629886747529772	0.6370113252470228
14	8.326843937122945	2.459393585149722e-4	8.350479874714123	0.001	0.4103333152890297	0.5896666847109704
15	16.333797474859363	7.266324636424251e-7	6.767804118551279	0.001	0.36060713740407996	0.6393928625959201
16	9.540684294954147	8.963247927451034e-5	6.580040341548758	0.001	0.3541456434211526	0.6458543565788473
17	18.04114580289317	2.582448443821206e-7	8.760013863795416	0.001	0.4219657039378239	0.578034296062176
18	28.431480032461224	1.3230372219005714e-9	7.2901813796088595	0.001	0.3779218679257789	0.6220781320742211
19	10.619022782067455	3.8186641730813606e-5	6.212603334647684	0.001	0.34111561211179614	0.6588843878882039
20	13.702267548311026	4.053734930393836e-6	6.270738955633553	0.001	0.3432121147842271	0.6567878852157729
21	34.83208631226505	9.63960177941843e-11	7.3118218438620755	0.001	0.37861895697769243	0.6213810430223077
22	13.321588021077243	5.271019792904963e-6	7.487270256600245	0.001	0.38421339459098136	0.6157866054090185
23	6.451096861580572	0.001310871411553922	8.742753529957092	0.001	0.4214847135569844	0.5785152864430155
24	13.870574676605589	3.613695419897355e-6	6.76238808876867	0.001	0.3604225675737246	0.6395774324262755
25	17.779014291304946	3.0156045994191147e-7	5.0405380853093344	0.001	0.2957968850558063	0.7042031149441937
26	14.311054288416853	2.6841622804813794e-6	7.008973307543769	0.001	0.36871919351700266	0.6312808064829972
27	35.373372197983294	7.852702496361266e-11	8.497788050623559	0.001	0.4145709785678582	0.5854290214321418
28	20.10404482209466	7.965192033515109e-8	4.319811335258372	0.001	0.2646973820049974	0.7353026179950025
29	13.641882788589212	4.225091880862225e-6	4.979007230687137	0.001	0.29324489724512814	0.7067551027548719
30	10.313109212428481	4.845307952774369e-5	9.446670206524685	0.001	0.44047258224965574	0.5595274177503443
31	19.476975759032054	1.129822691658557e-7	8.260168967506003	0.001	0.4077048409988072	0.5922951590011928
32	31.620622059534348	3.4213644112015613e-10	11.517117157836084	0.001	0.4897333750790322	0.5102666249209676
33	8.855772333297429	1.5736831035683462e-4	5.877325116264863	0.001	0.3287586413538818	0.6712413586461182
34	10.920047013828466	3.0299244317375087e-5	9.067067095051138	0.001	0.43039057378713536	0.5696094262128647
35	19.50893377202675	1.1096912954710735e-7	9.162484348026688	0.001	0.4329588245569595	0.5670411754430406
36	7.6993682463463875	4.2359497674333585e-4	6.154497564722303	0.001	0.33900676913701433	0.6609932308629857
37	11.701428630880457	1.6839135910841815e-5	6.5112705504771595	0.001	0.35174627979867756	0.6482537202013224
38	9.450397219983403	9.644354636007853e-5	5.482995502961629	0.001	0.3136187675637625	0.6863812324362376
39	39.92785349840876	1.5253334277635845e-11	7.803361864995511	0.001	0.39404228020439097	0.6059577197956091
40	6.20651088669892	0.0016486140218037787	5.078349847246989	0.001	0.2973560029317243	0.7026439970682757
41	12.275544534391736	1.1064025320977883e-5	5.503517110715078	0.001	0.31442349991168383	0.6855765000883162
42	28.17906253567381	1.479089680032835e-9	7.506937676548042	0.001	0.3848342472315969	0.6151657527684031
43	9.511492940726704	9.177741041019067e-5	5.777009793265983	0.001	0.3249708393283522	0.6750291606716479
44	16.12340934645034	8.28866496878212e-7	6.638941591283859	0.001	0.35618661922243655	0.6438133807775634
45	9.453130579942602	9.622953608617915e-5	7.752358273480969	0.001	0.39247760526342285	0.6075223947365771
46	8.68457644843148	1.8162644764900548e-4	8.038430393735004	0.001	0.401150700717967	0.598849299282033
47	14.31077862675388	2.684657808817154e-6	6.4842825340023325	0.001	0.3507997955600561	0.649200204439944
48	10.845118686713896	3.208673172967589e-5	8.376519824170629	0.001	0.41108687334499583	0.5889131266550041
49	25.5556247832232	4.917753371727367e-9	9.240353450526948	0.001	0.435037650011314	0.564962349988686
50	13.598615211298405	4.352562021262591e-6	6.366440623910954	0.001	0.3466344271204402	0.6533655728795598
51	11.901898326810484	1.452627772755463e-5	6.952769652001073	0.001	0.3668471563609694	0.6331528436390306
52	5.769338816410982	0.0025003163319610843	10.878654520550455	0.001	0.47549363144492807	0.5245063685550719
53	7.872957792881876	3.6387360036107007e-4	9.051706981869303	0.001	0.4299749654346343	0.5700250345653657
54	24.878105371556888	6.797378603208353e-9	7.105983848634807	0.001	0.3719245187754388	0.6280754812245612
55	9.567623864819499	8.769983221328007e-5	5.70469019356119	0.001	0.3222134999931183	0.6777865000068818
56	10.477483832510048	4.261791965696754e-5	8.295910938663072	0.001	0.40874789822119406	0.591252101778806
57	28.667120668304882	1.1929875510086211e-9	7.707179366808646	0.001	0.39108485407045523	0.6089151459295448
58	5.7024102166199935	0.0026669959482932995	7.439718198842828	0.001	0.38270710113923795	0.617292898860762
59	13.960142564666311	3.4003310108213894e-6	9.2931804921351	0.001	0.4364392860694367	0.5635607139305633
60	16.9194789582089	5.061787487134564e-7	9.25918582538874	0.001	0.4355381199185425	0.5644618800814576
61	6.9836857571079864	8.030131721159131e-4	5.8883853874580545	0.001	0.32917366547718346	0.6708263345228166
62	10.514966204412527	4.1394055109339696e-5	8.190732908886403	0.001	0.4056679341878409	0.5943320658121591
63	12.05697989128773	1.2967803342965785e-5	7.046883684042796	0.001	0.369975676910684	0.6300243230893161
64	24.40936083913977	8.532783536721093e-9	7.60559826878059	0.001	0.3879299251424291	0.6120700748575709
65	22.599348756076	2.110953784690299e-8	8.218413512686245	0.001	0.40648162169249924	0.5935183783075008
66	22.567309350536473	2.1459637394383697e-8	8.192945429432632	0.001	0.40573305454937947	0.5942669454506205
67	9.313979979815304	1.0778777443189062e-4	8.558834753764312	0.001	0.4163093315489193	0.5836906684510806
68	11.129024410217792	2.584677757062317e-5	4.779683037762307	0.001	0.2848494233774104	0.7151505766225895
69	8.417727530055764	2.2760488378044928e-4	5.045787857212632	0.001	0.2960137659508413	0.7039862340491587
70	15.040016420248635	1.6580149078198036e-6	5.358167522463332	0.001	0.3086827866783339	0.6913172133216661
71	17.508033714190386	3.5448569767519606e-7	9.784373824900472	0.001	0.4491464342076481	0.5508535657923519
72	26.865235684024004	2.6728164321851116e-9	5.503721157452263	0.001	0.31443149190645314	0.685568508093547
73	12.044744236901437	1.3084108839396955e-5	6.397680872285435	0.001	0.3477438768884727	0.6522561231115273
74	5.39502088421726	0.0035967603407402395	6.134843145577454	0.001	0.33829038918781934	0.6617096108121807
75	6.0759276702935745	0.0018653081194891779	5.717490291635874	0.001	0.32270317056897185	0.6772968294310281
76	10.60346458012882	3.8649053359386464e-5	6.191544752220526	0.001	0.3403528857253732	0.6596471142746267
77	15.323242700081096	1.3796300118461163e-6	4.483067659211961	0.001	0.27198017698522825	0.7280198230147717
78	20.15349418768034	7.750823901881008e-8	7.884963620870157	0.001	0.39652894373890313	0.6034710562610969
79	25.258817141526812	5.6629217776556115e-9	7.848379540081945	0.001	0.39541663964218726	0.6045833603578127
80	8.634565146813296	1.8943370184922414e-4	6.621590388415922	0.001	0.35558672757269255	0.6444132724273075
81	15.76648464526156	1.03854816419002e-6	10.040241583601949	0.001	0.4555413580889213	0.5444586419110787
82	18.501379282598553	1.9731777056429846e-7	7.253240497213992	0.001	0.37672829663471763	0.6232717033652824
83	19.58727312086263	1.0619268524638869e-7	6.872075031567677	0.001	0.36413987439497925	0.6358601256050208
84	8.925822697827373	1.4844883053629805e-4	10.713489960187163	0.001	0.4716796044538319	0.528320395546168
85	17.895591762875743	2.814195609580838e-7	6.49949898595937	0.001	0.3513337842766616	0.6486662157233384
86	16.963531883717536	4.9274138056688e-7	7.653537186726708	0.001	0.3894228867817052	0.6105771132182948
87	22.931471509698405	1.781584762098293e-8	5.523360566002426	0.001	0.3151998468101179	0.6848001531898822
88	14.08035131613002	3.134631140684653e-6	12.849940509933187	0.001	0.5171014596512503	0.4828985403487496
89	15.95813305812624	9.197862768870074e-7	7.5511851451928464	0.001	0.38622646602318617	0.6137735339768139
90	5.812217166983302	0.0023993095371289217	12.668427769321912	0.001	0.5135482442491366	0.4864517557508634
91	10.842201391041252	3.215853554152237e-5	5.71730151949566	0.001	0.3226959541894396	0.6773040458105604
92	24.49059380165433	8.201409794400045e-9	5.7561360742121614	0.001	0.3241772900452139	0.6758227099547861
93	11.803440761597221	1.5617232140027842e-5	10.140467786430277	0.001	0.4580060315006213	0.5419939684993786
94	30.700562697595647	5.002548984033224e-10	6.142693246583951	0.001	0.3385767020968921	0.6614232979031078
95	40.30594219263063	1.3399625279555781e-11	7.4213842780133605	0.001	0.3821243723813751	0.6178756276186249
96	22.762545428915043	1.9417436778814387e-8	10.43085067453813	0.001	0.4650225185787748	0.5349774814212253
97	24.489153319593107	8.20716618251496e-9	5.2962057072563375	0.001	0.3062062163746354	0.6937937836253646
98	20.132009126079897	7.843206329423549e-8	6.061193496313756	0.001	0.33559208019950787	0.6644079198004922
99	19.17781732365291	1.3380703925803568e-7	4.352391129364919	0.001	0.26616236701610463	0.7338376329838954
100	6.069946912142849	0.0018759227717601201	10.704563753217233	0.001	0.47147189743737744	0.5285281025626225
