Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	32.07647404665977	9.936071858998964e-20	20.29300846415954	0.001	0.6636316575466932	0.3363683424533069
2	55.722144515122146	1.5033127367821893e-26	18.460232408324224	0.001	0.6421855785376729	0.35781442146232717
3	78.0778507409214	4.620178788957572e-31	19.301277032981012	0.001	0.6523568694456948	0.3476431305543053
4	45.89178365814641	4.61062963949241e-24	16.19928764164437	0.001	0.6116400401281724	0.3883599598718277
5	50.59665907165184	2.6566907291066346e-25	17.987780892791513	0.001	0.6362064816969026	0.3637935183030975
6	29.103381388484603	1.2860652944884088e-18	21.935435998153743	0.001	0.680777557750197	0.319222442249803
7	40.720016680474444	1.4112429950218236e-22	17.483188641644148	0.001	0.6295959436128602	0.3704040563871398
8	27.78768298662403	4.242010957389912e-18	21.114089872071812	0.001	0.6724274382722933	0.32757256172770666
9	56.78072161653334	8.538113957862332e-27	19.0382506178826	0.001	0.6492386237833535	0.3507613762166465
10	45.258047751353956	6.893632714752082e-24	20.919418198132504	0.001	0.6703838930650704	0.3296161069349295
11	69.56105497296123	1.7152996549431038e-29	16.313207984866157	0.001	0.6133033443580257	0.38669665564197425
12	40.23719252275577	1.9759237520829897e-22	17.596309185294018	0.001	0.6310987150409165	0.36890128495908336
13	67.19182473199203	5.0177369241609775e-29	17.356936129016393	0.001	0.62790419401198	0.3720958059880199
14	23.186119107271306	3.8632076432098146e-16	17.57974230403713	0.001	0.6308793917449302	0.3691206082550698
15	36.298988527340775	3.4808558192614225e-21	17.518345010020017	0.001	0.6300642947020214	0.36993570529797853
16	46.67128282970693	2.8283066094434354e-24	18.36419503655404	0.001	0.6409861486814672	0.3590138513185327
17	29.91429806848643	6.28184846334367e-19	21.643326254147627	0.001	0.6778570820857253	0.32214291791427474
18	68.63858697679744	2.595362686102817e-29	17.78784504295377	0.001	0.6336155966083447	0.36638440339165534
19	43.80453379710583	1.7644378297954674e-23	20.01816470020139	0.001	0.6605809345234392	0.33941906547656076
20	71.71843104945769	6.631322938890125e-30	18.973366080858536	0.001	0.6484607801458705	0.35153921985412945
21	39.26178432341136	3.938010685086652e-22	19.90739099935672	0.001	0.6593356599594259	0.3406643400405741
22	35.133576733050575	8.514261559832579e-21	18.05545284190649	0.001	0.6370751338716033	0.3629248661283967
23	55.23303368412153	1.9583135243999214e-26	20.103529605492774	0.001	0.6615343796463987	0.3384656203536013
24	71.09043750056462	8.72221460653268e-30	16.26621709731918	0.001	0.6126189791117493	0.3873810208882506
25	53.14674598804135	6.185458978065792e-26	16.83980198883591	0.001	0.6208103771516199	0.3791896228483802
26	32.824731115136	5.361386756835585e-20	18.02599281024109	0.001	0.6366974887507328	0.36330251124926716
27	49.194687814383165	6.074813103973636e-25	21.065295773355075	0.001	0.671917610745725	0.3280823892542751
28	49.3351978670068	5.586764156798134e-25	17.113582482130667	0.001	0.6245993328637065	0.3754006671362935
29	44.45707326992655	1.1535966444863857e-23	18.832200770876007	0.001	0.646756497993619	0.353243502006381
30	36.79858424836458	2.388099490637384e-21	17.073616052476645	0.001	0.6240509486682705	0.3759490513317295
31	49.50318097056395	5.055760243075768e-25	18.808586026778915	0.001	0.6464697835920268	0.3535302164079733
