Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	57.86074062627171	4.837329416630098e-27	20.905055973667555	0.001	0.670232116739071	0.32976788326092893
2	74.49582969822545	2.0219651499621365e-30	20.235980497164842	0.001	0.6630031733531401	0.3369968266468599
3	39.444642238690136	3.4569439249017715e-22	19.355960109040634	0.001	0.65299820284328	0.34700179715671986
4	59.146554765098124	2.4877642833423263e-27	19.206166472813912	0.001	0.6512357292527043	0.3487642707472956
5	39.271535781755695	3.9106972499719394e-22	18.016716145129365	0.001	0.6365784093755765	0.3634215906244234
6	49.253530966773454	5.865302994592351e-25	20.75536162770914	0.001	0.6686418243232889	0.33135817567671116
7	34.31380905908389	1.6190469236668e-20	21.12488572632614	0.001	0.6725400252853646	0.32745997471463545
8	28.235026172192963	2.8146753708088275e-18	21.007723198677613	0.001	0.6713140162104451	0.3286859837895549
9	59.12080052897816	2.5208194937936378e-27	19.392264318745433	0.001	0.6534226800686267	0.34657731993137325
10	55.220521295000815	1.971655039473962e-26	24.615516486961013	0.001	0.7052907860840505	0.29470921391594956
11	31.467565551840764	1.6545072528996028e-19	17.00053926516579	0.001	0.623044099237195	0.37695590076280505
12	34.660897672972865	1.2316254172772928e-20	21.68666939083166	0.001	0.6782937928628825	0.3217062071371175
13	55.673089967149934	1.54357743867848e-26	22.540290409458446	0.001	0.686659574284809	0.31334042571519105
14	38.70536555862015	5.871139107497449e-22	21.216757447444085	0.001	0.67349500785718	0.3265049921428201
15	34.35270674830466	1.5700126645238826e-20	18.33816325413626	0.001	0.640659646080641	0.359340353919359
16	61.36344375436732	8.129437198827614e-28	21.019620174748393	0.001	0.671438926847924	0.32856107315207606
17	25.273604671594445	4.6549969596147786e-17	21.148976119297696	0.001	0.6727909785911452	0.3272090214088547
18	25.361098312345526	4.2711061721754206e-17	20.35786569201695	0.001	0.6643435821405679	0.33565641785943223
19	40.89506589748097	1.2500927779646212e-22	17.924003367552512	0.001	0.6353840044718364	0.36461599552816365
20	51.23308854678061	1.8363728856542258e-25	24.32466624486673	0.001	0.7028141809470705	0.29718581905292957
21	46.30075154246781	3.564945626701684e-24	19.389415458440237	0.001	0.6533894080870737	0.34661059191292637
22	34.83727472263127	1.0726565643480645e-20	21.329452012200278	0.001	0.6746588587012188	0.32534114129878117
23	52.057189615397775	1.144710052251953e-25	21.58634803354539	0.001	0.6772811817860049	0.32271881821399506
24	41.79063612169477	6.764858791430259e-23	20.957977183931504	0.001	0.6707906843944105	0.3292093156055895
25	49.4194145833802	5.3137396430841175e-25	21.14884981779928	0.001	0.6727896638921547	0.3272103361078454
26	32.10836959565899	9.676092189877131e-20	20.270070523495217	0.001	0.6633791489913172	0.33662085100868283
27	56.639744807411134	9.201530812568761e-27	23.786251445036193	0.001	0.6981179669234268	0.30188203307657324
28	33.064086080932306	4.410846274114843e-20	24.088583048554266	0.001	0.7007731042269127	0.2992268957730872
29	30.387217147274754	4.1630108869884827e-19	19.8297254104449	0.001	0.6584571107216447	0.34154288927835535
30	39.917855154137236	2.4728507444329417e-22	22.092447523057995	0.001	0.6823255641730854	0.31767443582691457
31	41.57346270193513	7.843574827423576e-23	18.6592836309803	0.001	0.6446462247011667	0.3553537752988333
32	48.394173907595686	9.826064725384676e-25	20.515447291969224	0.001	0.666060831512061	0.333939168487939
33	30.608857766127226	3.438415918185932e-19	20.41124914839293	0.001	0.664927304363731	0.335072695636269
34	44.73488950094883	9.641295341084631e-24	21.629538717028037	0.001	0.6777179148531116	0.3222820851468884
35	38.941933679300874	4.951603452110615e-22	23.785459189126023	0.001	0.6981109472701396	0.30188905272986033
36	82.02198359179083	9.723846125935895e-32	21.94269873646348	0.001	0.6808494951756936	0.31915050482430646
37	44.81531001748425	9.154866323547802e-24	18.74531345083023	0.001	0.6456992711709433	0.35430072882905683
38	40.862158088268586	1.2788757175882987e-22	19.53932924810427	0.001	0.6551316254056316	0.34486837459436853
39	40.5319188605317	1.608363494621497e-22	20.350204140644703	0.001	0.664259639859058	0.33574036014094194
40	79.94896081048128	2.187367550884854e-31	20.864780415025585	0.001	0.6698057483668154	0.33019425163318467
41	36.57252454940116	2.8306315896712225e-21	20.667394437399636	0.001	0.6677001209240888	0.3322998790759111
42	88.91547715671565	7.428991528841087e-33	20.59208852778535	0.001	0.6668896958815534	0.33311030411844644
43	59.74438492554497	1.833694208640613e-27	22.99747629554513	0.001	0.6909636935016138	0.3090363064983862
44	29.224659221423764	1.1543367198946047e-18	19.480342778237308	0.001	0.6544482104695393	0.34555178953046073
45	75.83441718351224	1.1564012552695763e-30	20.985917682709108	0.001	0.6710848255025413	0.3289151744974586
46	96.90167106770042	4.670927610277657e-34	21.925083886132697	0.001	0.6806749640030886	0.3193250359969114
47	108.92591881558195	1.0430925812443891e-35	20.593640395434708	0.001	0.6669064366169078	0.33309356338309215
48	56.31825944460236	1.0919991632332726e-26	21.822367735036305	0.001	0.6796534193768752	0.3203465806231249
49	52.455580293634604	9.12894449638146e-26	22.70467365742644	0.001	0.6882208750184502	0.31177912498154975
50	32.829168850808415	5.3419717126088624e-20	19.65726958817192	0.001	0.656490003500131	0.343509996499869
51	42.88390219268557	3.241361039391674e-23	20.4928560809709	0.001	0.6658157229795321	0.3341842770204679
52	42.320818607024975	4.725946963683779e-23	22.24873619762025	0.001	0.6838516055163419	0.316148394483658
53	66.34897533285714	7.40884439750279e-29	19.380819287710843	0.001	0.653288974249149	0.346711025750851
