Run	BetaDispersion_F_Value	BetaDispersion_p_Value	Adonis_pseudoF_Value	Adonis_p_Value	Adonis_RsquaredGroups_Value	Adonis_RsquaredResiduals_Value
1	24.944038410168986	6.449330925013122e-17	15.191073755984199	0.001	0.5962711520432088	0.4037288479567913
2	15.707277311627276	2.5035600892559036e-12	19.014306468560186	0.001	0.6489519795232997	0.3510480204767002
3	29.003519019946374	1.4060848479865351e-18	16.258281822526637	0.001	0.6125031723267562	0.3874968276732437
4	15.435672239369033	3.5941217327233654e-12	16.270315942566373	0.001	0.6126787702342428	0.3873212297657571
5	25.19805183110171	5.014969322748821e-17	18.948115091519735	0.001	0.6481571349073983	0.3518428650926017
6	16.70984985751834	6.788679394440998e-13	21.380977807241287	0.001	0.6751882307276926	0.3248117692723074
7	27.853855306856776	3.991106111320456e-18	16.821701647459605	0.001	0.6205571821721786	0.37944281782782147
8	17.063672404592054	4.3294599942291945e-13	15.073004470177837	0.001	0.594391404994608	0.405608595005392
9	14.69555865175584	9.80411686579415e-12	19.83784710008343	0.001	0.6585491949645877	0.34145080503541214
10	32.35156764772013	7.910025930074347e-20	15.605134857870272	0.001	0.6027278121056543	0.39727218789434576
11	24.5978568749381	9.112241188001132e-17	15.478031474152196	0.001	0.6007679014696351	0.3992320985303648
12	32.219517634591796	8.823475776956586e-20	16.085981195821798	0.001	0.6099714448426063	0.3900285551573937
13	44.97395977755726	8.267840611333789e-24	15.56192751118959	0.001	0.6020637253280744	0.3979362746719256
14	15.17019568151522	5.135381810715694e-12	14.323752414015946	0.001	0.5820423737249439	0.41795762627505606
15	20.323188037958726	8.724139438824926e-15	16.747527593271904	0.001	0.6195160635280779	0.38048393647192214
16	41.00812723145794	1.156175963771106e-22	20.128057808797518	0.001	0.6618073465615811	0.3381926534384189
17	22.437520298705955	8.510351960351034e-16	17.837274901843273	0.001	0.634259565470907	0.36574043452909294
18	14.302784802443131	1.6886542812551797e-11	15.571136102264804	0.001	0.6022054453122357	0.39779455468776426
19	22.120766347552856	1.1949289629910058e-15	12.421436591673496	0.001	0.5470275270880858	0.4529724729119142
20	11.950381333232407	5.224675582171483e-10	20.000076288290188	0.001	0.6603782139818752	0.33962178601812476
21	22.59173392081571	7.222370653982684e-16	15.724669816816757	0.001	0.6045535411869064	0.3954464588130936
22	30.27810743151109	4.575646016260844e-19	19.527192001011702	0.001	0.6549912247135082	0.3450087752864918
23	30.235120526911018	4.749551634214648e-19	17.991070002344372	0.001	0.6362487975671985	0.3637512024328015
24	12.892310254406183	1.27315973668545e-10	18.9968619613636	0.001	0.6487428497094514	0.3512571502905486
25	21.99527713723433	1.368094702719848e-15	21.428965842398757	0.001	0.6756797090759035	0.3243202909240966
26	23.34131506639691	3.286681880216305e-16	19.28145779768635	0.001	0.6521238400242948	0.34787615997570526
27	24.324593587241896	1.1998592712631656e-16	16.548274969060955	0.001	0.6166908249065542	0.38330917509344586
28	17.11556136357533	4.054931976830749e-13	15.590005362667053	0.001	0.6024955276419642	0.3975044723580359
29	14.72497116356774	9.41593378073284e-12	15.1106765139381	0.001	0.5949930694146086	0.40500693058539133
30	18.863782287900104	4.762259173558248e-14	17.756187656283778	0.001	0.6332019737110101	0.36679802628899
