pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	770215.1258167375	141968.69736177308	41.12529420282854	18.90014525187154	0.6716259970413806	0.08263675660446514	0.00103	1.7144660799776513e-4	0.02884	0.004800505023937425	100
Control vs Gut	2343115.3100974257	626583.899701804	112.51152683311598	110.60245503852458	0.8184146651742972	0.0701763304318056	0.00101	1e-4	0.02828	0.0027999999999999974	100
Control vs Homo	902846.9288913226	210775.2232758275	35.01736117472053	12.833709112485225	0.6424741598994619	0.07919460457218189	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999948	100
Control vs Pan	615595.0754077896	98692.91546570923	75.4897726737767	46.06718418097438	0.7698504442776998	0.08228932149739247	0.00101	1e-4	0.02828	0.0028	100
Control vs Plaque	1187223.2823945486	177213.64931108954	88.09956456164534	46.752138075859555	0.8070677736317855	0.058996490005789055	0.001	0	0.028	0	100
Control vs Sediment	451762.74070468475	206745.91919538597	17.587155291274446	13.28095443992586	0.4549945106050189	0.12588401484048187	0.0032600000000000003	0.009903187936878274	0.07348	0.15178789560609	100
Control vs Skin	889542.8414289795	153303.17460301716	176.22043095523813	167.81801966487234	0.851574141276632	0.07574901847698282	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Gorilla vs Gut	1132003.9500869284	306472.4095269639	33.59047365420038	12.95799805148101	0.632024567233746	0.07975016218126083	0.00103	1.7144660799776505e-4	0.02884	0.004800505023937423	100
Gorilla vs Homo	68869.28624061636	27753.751169909305	2.013809222350212	0.9980507885999861	0.09861307299513296	0.04085969176070127	0.14602	0.14274749763413747	0.84552	0.306653375206034	100
Gorilla vs Pan	175786.5896175033	63134.746122366465	10.225169409455804	5.250991411145713	0.3420282099592072	0.11226370387888596	0.00212	0.0034473822596927674	0.05936	0.0965267032713975	100
Gorilla vs Plaque	138041.1009759725	39822.34099978125	5.934252352891826	2.0505628091112706	0.24270122901150606	0.06216898747952068	0.0020700000000000002	0.0036907063187570435	0.057960000000000005	0.10333977692519701	100
Gorilla vs Sediment	376038.3693321567	73656.90561694725	10.704081621231616	2.624133199216135	0.3678656512295939	0.056237718687821923	0.00103	1.71446607997765e-4	0.02884	0.004800505023937421	100
Gorilla vs Skin	249737.79352176367	58153.45168316846	15.543389914574348	4.432107883662477	0.454260221923559	0.0704685007219907	0.00103	1.7144660799776526e-4	0.02884	0.004800505023937428	100
Gut vs Homo	1081607.403963158	287702.4116340393	28.397292561689955	15.797236097495349	0.5819870830202061	0.10036471966977899	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Pan	1273635.4132205814	332350.81780693564	60.46854613146162	39.83700074709594	0.7303567152350269	0.09165931928600288	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gut vs Plaque	1152300.7514862164	233178.92457121052	41.48469094980422	19.969261585591383	0.6739154058435806	0.07847234855878434	0.001	0	0.028	0	100
Gut vs Sediment	910192.6730571386	280560.02138236846	23.600004698923158	13.104793802884712	0.5349574384707376	0.11304343313746867	0.00132	9.08767619283712e-4	0.03696	0.025445493339943923	100
Gut vs Skin	921353.3549661463	209850.7588910352	49.35470346378891	35.40702095480741	0.6856707546886595	0.10347997498948283	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
Homo vs Pan	154096.89969575964	54907.60591303421	6.346908874017253	2.5111390989942097	0.2534979227547196	0.07132229006918903	0.00441	0.014376675132964097	0.0886	0.19355546277932104	100
Homo vs Plaque	141433.74251355568	38473.424899453545	4.839317671418111	1.892004335104371	0.20691462611350628	0.061061951529054435	0.00881	0.025799418598100237	0.15772	0.27320248457098195	100
Homo vs Sediment	431733.5469921242	128280.05234272697	10.31586652570349	3.3810599845352094	0.35541788590089163	0.07603828097949786	0.00173	0.0028704520461932397	0.048440000000000004	0.08037265729341075	100
Homo vs Skin	306311.8969064042	97604.63123934713	14.282324117404745	6.428893549178813	0.4209351929223023	0.11169879596645227	0.00174	0.004253625904253142	0.04696	0.10240520820088556	100
Pan vs Plaque	370709.56357245677	55205.03833466598	28.29360105137996	8.947468452035684	0.5985144572994037	0.06842299637335296	0.001	0	0.028	0	100
Pan vs Sediment	358195.1341286598	82469.64169940457	14.436296876443466	4.4643403237062635	0.4360200751886076	0.06766023068367956	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999994	100
Pan vs Skin	468832.77855081845	73569.83073908227	72.82417710916395	15.670257339540653	0.7963894488936938	0.03256508412253555	0.001	0	0.028	0	100
Plaque vs Sediment	638573.2618449924	86512.91095942231	21.5758821369582	6.270518171681445	0.5349005042134632	0.06670853190456481	0.00101	1e-4	0.02828	0.002799999999999996	100
Plaque vs Skin	303973.6527100908	54946.329992374165	27.15915921996191	9.16048721437132	0.5869007871988172	0.07422499310189201	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Sediment vs Skin	309189.74208799587	38892.82060815936	13.853767252150849	4.333848047653411	0.4254142960650888	0.07168696033845778	0.001	0	0.028	0	100
