pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	771022.8983012956	117782.70377677736	48.63049295214597	25.19539868684422	0.7037572983333017	0.07888081236708702	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Control vs Gut	2994778.816482867	714439.2583484617	117.59192690380635	80.9313201133586	0.8360699762841617	0.0646265764608567	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Control vs Homo	1160621.3975583087	190144.98969003384	49.830998206515865	16.351216474130986	0.722956283403516	0.05133941154450927	0.001	0	0.028	0	100
Control vs Pan	735048.580776042	93836.76936721495	87.31699515707038	52.62045196978432	0.7916926575552543	0.08075546056617368	0.00101	1e-4	0.02828	0.002799999999999998	100
Control vs Plaque	1362209.9648128867	164835.99462349445	84.01332117379941	40.42824473550806	0.80480460013623345	0.053167331986210806	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Control vs Sediment	578443.1960387938	258096.40002821072	20.384226311250696	13.624684680583961	0.48920656328803863	0.1312686778481977	0.00181	0.002130561646442772	0.05068	0.05965572610039764	100
Control vs Skin	1079949.4632978751	156443.41978015893	175.9246953707054	135.1021716901433	0.865056998170485	0.06979618703528409	0.001	0	0.028	0	100
Gorilla vs Gut	1436050.2724627254	346146.6313065572	43.760833962264	19.420713127699045	0.6840416035512317	0.08348040089024522	0.001	0	0.028	0	100
Gorilla vs Homo	121502.38088490265	34747.96839679841	4.095086803572025	1.1298600227021112	0.18332623155895075	0.039868936165446275	0.00683	0.013884847492824327	0.15796000000000002	0.23451751113787436	100
Gorilla vs Pan	193678.51920839457	71142.13898381633	12.99618098903708	7.152835555081769	0.39316445523337407	0.11862389876468761	0.00235	0.004963248773116092	0.0646	0.13000497270986555	100
Gorilla vs Plaque	210358.88623232878	48237.16940112969	9.441813579460876	3.3469587360127897	0.3350693549997762	0.07521639196751251	0.00103	1.7144660799776516e-4	0.02884	0.004800505023937426	100
Gorilla vs Sediment	379796.463824894	72054.26799953984	10.864165877656283	2.9839456425236426	0.3700649670463636	0.06225940443100925	0.00105	2.6111648393354746e-4	0.0294	0.0073112615501392956	100
Gorilla vs Skin	342014.0899821941	73952.00354085874	24.53886296556313	6.70195917840176	0.5669001313755023	0.06517658659759774	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Homo	1477760.4251751164	301041.56667572475	36.60993693655282	13.070857405343006	0.6542500611643102	0.07119349373317628	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Gut vs Pan	1645091.3434831465	383345.6005249126	66.50924946969681	38.81296432893142	0.7545712728340824	0.07990479765627283	0.001	0	0.028	0	100
Gut vs Plaque	1444927.3430027931	274314.16518113547	43.984166498667214	19.3833452482472	0.6872401189662259	0.07750463611976754	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gut vs Sediment	1161642.6991197506	329413.31200847996	25.78829633819794	11.514557367323944	0.56173890691801	0.10876322904808333	0.00113	4.63953149846539e-4	0.03164	0.01299068819570311	100
Gut vs Skin	1196565.4145307802	236986.12525335667	52.217921195915956	30.418599057757653	0.7091609373724502	0.08825510438429549	0.001	0	0.028	0	100
Homo vs Pan	209493.5507797703	74720.89561071855	9.143592304687811	2.6572081707345427	0.33103259032148874	0.06082068727637993	0.0010400000000000001	1.9694638556693237e-4	0.02912	0.005514498795874112	100
Homo vs Plaque	165964.914507589	45902.97985078649	5.794252719399766	2.3729895025027385	0.2365741155602075	0.07088002988027374	0.00418	0.010306788975713967	0.10464	0.21325810794917172	100
Homo vs Sediment	622460.885414313	111231.44833265583	14.96605717948583	3.7869012767367733	0.4478330885651261	0.055482766650706596	0.00101	1e-4	0.02828	0.0028	100
Homo vs Skin	491875.6066034008	81069.56764306329	24.327596239462498	6.684565184778412	0.5651376231486706	0.06293656530385174	0.00101	1e-4	0.02828	0.0027999999999999995	100
Pan vs Plaque	454847.23494940886	59115.54010561775	29.34389731368604	8.768877862209612	0.608192027220104	0.06512135635551254	0.00101	1e-4	0.02828	0.0027999999999999974	100
Pan vs Sediment	453970.8914515266	82352.97145189124	16.709939550970624	6.343994699580808	0.4681070330667582	0.07685181229347426	0.00101	1e-4	0.02828	0.0027999999999999982	100
Pan vs Skin	640053.0357430015	71731.5963885717	90.03488483382768	16.47457110393544	0.8297605179420496	0.024589258922739395	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Plaque vs Sediment	724184.0987178007	104322.00349879809	20.871015294220047	6.258311129806682	0.5263827902624911	0.06767937659749065	0.001	0	0.028	0	100
Plaque vs Skin	386661.6271551582	57763.9603214631	28.68035818913524	10.678305329213586	0.5970274834943395	0.07919539568809002	0.00101	1e-4	0.02828	0.002799999999999997	100
Sediment vs Skin	382408.769732607	57603.043164775794	15.132531053904888	5.674562398027366	0.4442183354908857	0.07692941015880828	0.00103	2.2270150335361422e-4	0.02884	0.006235642093901177	100
