pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	162650.06592904803	61947.49904558016	4.651022805486194	1.901091975900768	0.20015260125832246	0.06291442347336011	0.02208	0.042376542014790596	0.3404	0.3718140080277457	100
Control vs Gut	1060622.8901245813	457014.3479290781	26.944361600876235	14.574961811992303	0.561913460604613	0.12598910625976323	0.00173	0.00308418907044011	0.048440000000000004	0.08635729397232311	100
Control vs Homo	209320.26115559068	93902.98079637812	5.426428737609286	2.3188881053855406	0.22448944338167745	0.07358368623054876	0.01831	0.04521903929929864	0.24428	0.3259905210247375	100
Control vs Pan	194043.64131430179	48491.23025296453	7.844809167433677	2.716890990044769	0.29647932978285335	0.06837442470384507	0.00283	0.006570603342374906	0.07496	0.15497526162962824	100
Control vs Plaque	327452.5238134904	105437.92093912855	10.988347090197312	3.3414522738923087	0.3713089914183406	0.06882558200784697	0.00108	4.4221663871405343e-4	0.03024	0.012382065883993501	100
Control vs Sediment	124220.04813421366	69657.53397051331	3.0481730819634407	1.8420563857070884	0.1390234872981418	0.06749106478019323	0.11233	0.11610001392042654	0.80504	0.33704964475623334	100
Control vs Skin	317119.72618243756	89719.63500313	13.519494019437388	4.354552929092151	0.41870742900765334	0.07622076234179875	0.0011200000000000001	6.400757530925299e-4	0.03136	0.01792212108659084	100
Gorilla vs Gut	1170125.5814693458	344278.938257553	37.54963381389817	16.598570110323795	0.6503872817459607	0.09066205910340207	0.00101	1e-4	0.02828	0.0027999999999999995	100
Gorilla vs Homo	63546.42515573323	24612.268029846855	2.094889597025811	0.811724906271209	0.10284989288506735	0.0350595669693869	0.11665	0.12430236636053348	0.80136	0.322318981222896	100
Gorilla vs Pan	171216.2859593862	71315.96085937254	10.491793519834577	5.429836262525289	0.3474268101170561	0.11331179754380839	0.00283	0.005169950080840613	0.07888	0.14238043220452543	100
Gorilla vs Plaque	120669.28090188211	34378.09746024012	5.555133851987971	1.4328411650765944	0.23312903214770378	0.04509115874961584	0.00164	0.0016728370627122763	0.04592	0.04683943775594377	100
Gorilla vs Sediment	269647.3127700163	58413.504264621646	8.00689324004232	2.341634433301321	0.30276596102158704	0.057906223034581004	0.00189	0.0040073039376225	0.05256	0.10903139386655947	100
Gorilla vs Skin	249614.4420027329	72818.94196556357	16.07201254726098	4.555952983307163	0.4626245800938756	0.06976647664818188	0.00101	1e-4	0.02828	0.002799999999999999	100
Gut vs Homo	1095880.9088958295	346225.1533513748	32.60055794202886	17.249940668722754	0.6124548087648423	0.10109515057066287	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gut vs Pan	1323098.3839878084	375796.6591997812	65.50995585984072	38.67354092972422	0.7457269622421115	0.09192910711112465	0.00102	1.4070529413628976e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Plaque	1133944.0878386481	283729.44116095256	45.29767956958316	22.789409243854344	0.684925757444363	0.09221172284428611	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Gut vs Sediment	914076.707109253	317961.11873507785	24.24305455764096	12.358243771505899	0.5420308462862996	0.11639588294877416	0.0013	9.045340337332894e-4	0.0364	0.02532695294453212	100
Gut vs Skin	925701.79969332	228019.03587856443	50.23155665852488	30.16111374909881	0.6939719692430987	0.10414716635172758	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
Homo vs Pan	149849.2408298428	57686.49948679319	7.385505998304828	2.7050581135980445	0.28377861873277554	0.06869548822988311	0.00113	5.252224156094118e-4	0.03164	0.014706227637063538	100
Homo vs Plaque	124964.31712443539	30042.458724142652	5.249533109637474	1.816744049700335	0.22125581785171913	0.05891172736905239	0.00382	0.015305231164869775	0.07440000000000001	0.12943263916341996	100
Homo vs Sediment	311828.24730812287	83829.05690148287	8.576859754711064	2.971540727103589	0.3149951583835559	0.07053943881926615	0.00184	0.0028095076674273987	0.05152	0.07866621468796717	100
Homo vs Skin	293942.1833670068	87183.74016700363	16.56735192336273	7.132383706752156	0.45920884905250775	0.10122170592782859	0.00103	1.714466079977653e-4	0.02884	0.004800505023937428	100
Pan vs Plaque	347789.04513705266	61343.14022414193	29.635990689395364	6.584409676819641	0.6150132833129698	0.052821201679785906	0.00103	1.714466079977651e-4	0.02884	0.004800505023937425	100
Pan vs Sediment	282722.26955846243	68790.56873116904	12.249481632244972	4.786389568501702	0.39219798192165917	0.08292857891732361	0.00124	9.961542211541514e-4	0.03472	0.027892318192316187	100
Pan vs Skin	496839.3225799296	98366.72437363747	83.06799858578746	16.48258545718521	0.8172732842774585	0.02926979027131586	0.00103	1.71446607997765e-4	0.02884	0.004800505023937422	100
Plaque vs Sediment	450665.1848671962	69495.41444324052	16.27365804251949	4.49116033241144	0.4663237389563045	0.06648161028620474	0.00101	1e-4	0.02828	0.002799999999999996	100
Plaque vs Skin	245240.19413822086	51950.12751375384	24.54206313413985	7.477026550055408	0.564578521543882	0.07223551038201513	0.00101	1e-4	0.02828	0.002799999999999999	100
Sediment vs Skin	289590.8032562565	49455.49857709292	13.402752380520731	4.227621556549401	0.4175989131205743	0.07065604247566043	0.00101	1e-4	0.02828	0.0027999999999999974	100
