pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	159207.52067074724	56241.290624944355	4.544155190171083	2.080261221890427	0.19547205698316647	0.0673942474810911	0.02348	0.03668552682990771	0.38052	0.39595884083622074	100
Control vs Gut	1296629.4515472688	542879.2322028959	29.546217146564906	16.666391097318055	0.57972732008785	0.12907885257418358	0.00175	0.005339721552911379	0.04388	0.09921136298557014	100
Control vs Homo	299798.6933951376	89621.16968346489	7.570341254702807	2.633283875791405	0.28925981113932736	0.06780000483860048	0.00224	0.006133399209132394	0.055920000000000004	0.10908616555343517	100
Control vs Pan	256651.67830079808	60092.41502270066	9.668522440290348	4.05572676152929	0.33716520658767485	0.08583467504516183	0.00159	0.001995424058118265	0.044520000000000004	0.05587187362731141	100
Control vs Plaque	376016.34969016426	106960.59501061132	10.964470648848542	3.5304402825747307	0.3703080160778787	0.06962859283494764	0.00107	4.3239992711574017e-4	0.02996	0.01210719795924072	100
Control vs Sediment	147875.53994472773	88181.46458045731	3.1902559233257985	2.0974561271461614	0.14327237115515581	0.07494305612553395	0.11175	0.11203583256163081	0.76948	0.3615636769992976	100
Control vs Skin	405001.57390053454	86451.34236053744	16.06330245115571	6.261635985253486	0.45583007036598355	0.08881870686188509	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Gorilla vs Gut	1404891.895985738	424656.9950415714	44.9116747142698	25.378995368319654	0.6754750841363513	0.10432323680376299	0.001	0	0.028	0	100
Gorilla vs Homo	109177.63193837466	28680.56285875444	3.901781180085435	1.1085884350953121	0.1761849790061053	0.03934808377235121	0.00904	0.014425650555153269	0.22888	0.2639734177005807	100
Gorilla vs Pan	218644.40527996855	79218.2678766098	14.01459494195646	6.4333062404885135	0.41633234914470657	0.11064274457346622	0.0019500000000000001	0.004279089396192382	0.05284	0.103334772228496	100
Gorilla vs Plaque	161762.83104612285	46367.25658271311	7.177170528273672	1.915187681608015	0.28109914740307035	0.052959059527736406	0.00118	8.333939371902436e-4	0.03304	0.02333503024132682	100
Gorilla vs Sediment	295688.4403331905	71462.11933610134	8.454472438631758	2.7797688848885587	0.31252742013623386	0.06839686785834653	0.00193	0.002479226826364553	0.054040000000000005	0.06941835113820748	100
Gorilla vs Skin	338390.5222452943	86428.6879000255	23.4678635991494	7.310737811622989	0.5536556760970252	0.0717035525318972	0.00101	1e-4	0.02828	0.0027999999999999974	100
Gut vs Homo	1402863.7430095219	367370.13075076125	39.20986843550387	19.03952758735178	0.6557203560967385	0.09505990758735823	0.00101	1e-4	0.02828	0.002799999999999998	100
Gut vs Pan	1627494.0028286604	474460.8045686639	74.24378182872792	54.34379902251653	0.7554911703817813	0.09667077872280314	0.00101	1e-4	0.02828	0.0027999999999999982	100
Gut vs Plaque	1370294.2566716198	342755.6815634079	46.16452114086645	25.074568304467995	0.6849049398560233	0.09554600939824649	0.00101	1e-4	0.02828	0.002799999999999996	100
Gut vs Sediment	1101941.38380242	408261.6407943939	25.283961927287024	13.58837759500338	0.5481316529842875	0.12408659249447836	0.00142	0.0015121060301660886	0.039760000000000004	0.04233896884465047	100
Gut vs Skin	1133491.7125810902	272378.08312676277	56.15566094408446	41.076041766727435	0.7030396037110939	0.10938851725072762	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816115	100
Homo vs Pan	213060.66622583658	72480.21756830023	10.553426732661174	3.386274661832849	0.361519725649836	0.06954860227864769	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Homo vs Plaque	150265.2464926297	40277.13731917292	5.77497614505436	1.9970250298104375	0.23805463339372238	0.05899339294672163	0.00307	0.010637512240494331	0.06396	0.14160921615844807	100
Homo vs Sediment	440243.2458789762	86133.42659163906	11.293425259982326	2.887296464014871	0.3796322331124744	0.060861884944728814	0.00106	3.7118429085533503e-4	0.02968	0.010393160143949379	100
Homo vs Skin	443287.73279807676	78898.54236783081	24.244268200046765	6.0732671691108715	0.5655745318298656	0.0598576018457988	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Pan vs Plaque	438499.3635826298	72790.36510249262	30.112076005230428	5.458483983220318	0.621235933380175	0.041656272225861275	0.001	0	0.028	0	100
Pan vs Sediment	359826.6741527505	84460.45211025528	13.839607198690274	6.333188068922622	0.4176565922465874	0.09149240924172115	0.00118	7.43727983291817e-4	0.03304	0.02082438353217088	100
Pan vs Skin	668709.7707880918	102436.72026484813	98.41914664712027	18.879499795677315	0.8416035542054543	0.024213180489256914	0.001	0	0.028	0	100
Plaque vs Sediment	506189.0522094794	78467.83241712172	15.24613801991919	4.20645483116305	0.4505272548662337	0.0654633785522695	0.001	0	0.028	0	100
Plaque vs Skin	309650.03965428163	58665.35953319947	24.111355268067182	6.5772718384352	0.5632300997427067	0.0614355823255463	0.00101	1e-4	0.02828	0.0027999999999999974	100
Sediment vs Skin	361373.57838675176	53747.146703566366	14.687148984292623	5.607500268036887	0.4361268690177683	0.08148350109049879	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
