pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	134478.81100913402	20258.454856284057	21.228736484367985	5.5741848562693015	0.5325019210644233	0.06284737728041913	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Control vs Gut	50661.01223051783	10321.214321312154	23.36392801253793	6.2067630819431026	0.5577036688249233	0.05086915931488467	0.001	0	0.028	0	100
Control vs Homo	153174.8518825425	34264.27529851682	20.233755572708567	6.555894349117133	0.5162741032640005	0.07822008222095585	0.00103	1.7144660799776502e-4	0.02884	0.004800505023937422	100
Control vs Pan	209431.11643885498	33485.10731083663	107.26606154987279	40.242036075452546	0.8435754506346179	0.042855564875229284	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Control vs Plaque	196595.00206584364	18979.162419876506	44.28861099619236	10.122965263721104	0.7042429398732603	0.043493041295230364	0.001	0	0.028	0	100
Control vs Sediment	9079.837183240354	4494.243976610771	11.000604254086884	4.897959782152692	0.364490355657138	0.09105743007265303	0.0012000000000000001	6.030226891555271e-4	0.0336	0.016884635296354783	100
Control vs Skin	181467.65365818975	21882.708352649996	42.29698101465856	5.662199649014808	0.6989599001709609	0.027248516122687413	0.00101	1e-4	0.02828	0.0027999999999999995	100
Gorilla vs Gut	251347.1228158839	35913.6819127256	29.53475425717923	6.517072413441062	0.6145942682097005	0.05063318664766731	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Gorilla vs Homo	52063.77786290659	17028.734119485962	3.686361338998335	1.375953454011763	0.16691481067074224	0.04906850040627712	0.0142	0.02050474199897292	0.30936	0.3405128491027032	100
Gorilla vs Pan	128030.72239131501	45052.19503391122	15.334640684576243	6.751552040826244	0.44015090685964975	0.10216531470800938	0.00108	3.6735472631980006e-4	0.03024	0.010285932336954408	100
Gorilla vs Plaque	89874.03529216985	15593.37403112557	8.182463708969493	1.446702500616925	0.3104766375465274	0.037375066868254016	0.001	0	0.028	0	100
Gorilla vs Sediment	154858.5505657482	24364.329655885595	21.831035527879482	5.423137480147183	0.5402867575917858	0.05914755614941258	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999994	100
Gorilla vs Skin	134955.52564855505	24758.296502762216	12.507975655565879	1.968529005567624	0.4075275443983219	0.03875807089934186	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Homo	274651.95586621115	49172.30612497564	28.141023626697837	7.104967921284253	0.6011108269651758	0.058817924363508786	0.00101	1e-4	0.02828	0.002799999999999996	100
Gut vs Pan	296349.938304005	41846.80971874141	71.60910637803673	16.932295936120237	0.7928181490937722	0.034613367380831886	0.00101	1e-4	0.02828	0.002799999999999998	100
Gut vs Plaque	310911.2795079393	30117.801094435996	47.109978556427315	8.20590478889902	0.7193223619788177	0.0343649836900712	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Gut vs Sediment	46470.8015077425	10953.91143697303	15.932141406342593	4.214701694148237	0.4636763595097041	0.049981405171104	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Gut vs Skin	253939.40296732378	27436.88177487024	39.44388631610816	3.797085433874212	0.685311953289415	0.02050950627026828	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Homo vs Pan	107636.71300103178	39285.27783083015	10.838705578499873	3.553757404915985	0.3664239428274392	0.07800036896139612	0.00105	2.1904291355759044e-4	0.0294	0.006133201579612533	100
Homo vs Plaque	88385.00410822753	24285.592171367898	7.374202308296976	2.6338962623084323	0.2833641609062218	0.07115837559906421	0.00124	7.669959767057635e-4	0.03472	0.02147588734776138	100
Homo vs Sediment	174647.80426430894	38482.70633426252	20.927969196376935	6.241390032075531	0.5262572327423669	0.07315168818938907	0.001	0	0.028	0	100
Homo vs Skin	157097.99688265627	30096.432357952373	13.18460762142614	3.191768015765056	0.4169710508634063	0.05800577822159523	0.001	0	0.028	0	100
Pan vs Plaque	271920.882097989	41589.79681543925	41.58436247235395	7.795594981324887	0.6930452263957905	0.03817879601092818	0.001	0	0.028	0	100
Pan vs Sediment	218840.13266277377	34905.37390580575	79.9576261675496	22.408652849688732	0.8073338231813598	0.040766442406214146	0.001	0	0.028	0	100
Pan vs Skin	332211.36098576535	51891.177348137186	52.39797634842975	7.9999112069896	0.7411920653637739	0.02798906899873442	0.001	0	0.028	0	100
Plaque vs Sediment	216749.90353467074	22704.115539992777	41.715355369315894	8.225172250389507	0.6932021060739306	0.04032388203767229	0.001	0	0.028	0	100
Plaque vs Skin	102324.84058217394	16284.308282351005	11.766994246004398	2.595687486808697	0.3910337951310047	0.049810426301526003	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Sediment vs Skin	203802.50731904316	26151.762092571433	40.47502385787372	4.680252705599177	0.6902746997948801	0.02412953798796367	0.00101	1e-4	0.02828	0.0027999999999999995	100
