pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	141012.97518446372	15779.011899779838	17.987501103800913	4.767028091478131	0.49172135948874485	0.06250540372718277	0.00101	1e-4	0.02828	0.0027999999999999987	100
Control vs Gut	54532.46894721303	10636.942071627116	21.17081507309419	3.1943935735375026	0.5376808112362911	0.03493671295645464	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Control vs Homo	200296.8502922633	25871.878187669106	24.918144336995997	7.429129461039295	0.5663391203876037	0.08459311809988947	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
Control vs Pan	252655.99835524097	38562.17560954095	139.61901690343643	28.137717593653278	0.8822279090114077	0.020952356931999747	0.001	0	0.028	0	100
Control vs Plaque	219707.3736331956	19611.423984477704	40.296675835483306	9.368448896258247	0.6836167794004309	0.04875501516338235	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999995	100
Control vs Sediment	10182.454324087388	5738.5427911566685	9.536625578016691	4.302510889274808	0.333159928993568	0.08736383542800602	0.00117	5.514901759246609e-4	0.03276	0.015441724925890524	100
Control vs Skin	220245.60935581467	21379.1821755044	42.46819565854646	5.725652602010346	0.6999007088679035	0.026098471977550382	0.00103	1.7144660799776505e-4	0.02884	0.004800505023937423	100
Gorilla vs Gut	268147.4787996243	33084.580913608355	25.585087164729924	5.03419311686434	0.5816961037672306	0.046937791984462324	0.001	0	0.028	0	100
Gorilla vs Homo	67480.9954637987	18524.40857294483	4.2245030297166855	1.827207439723024	0.18531762964538515	0.059152209949540804	0.01645	0.0216857142381846	0.35236	0.3509940147407622	100
Gorilla vs Pan	161015.60575724818	50172.14605367403	17.166057372368794	7.841777843752355	0.4653522205598737	0.10666211548819977	0.00157	0.0015651185129554736	0.04396	0.043823318362753334	100
Gorilla vs Plaque	96738.09522594795	17607.800206064854	7.076913826953808	1.2678573069051962	0.28043866460309486	0.03544177204401809	0.0011200000000000001	4.3298354180586136e-4	0.03136	0.01212353917056411	100
Gorilla vs Sediment	160254.74202464466	19388.862406684097	18.273291183259236	4.647137397753705	0.49614651704313895	0.06069375584615193	0.001	0	0.028	0	100
Gorilla vs Skin	163419.039817468	34031.91204788334	12.25808913248104	2.1913340772669527	0.4021164542856622	0.042129314565410275	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
Gut vs Homo	338731.8480483279	44606.88925038499	31.67231476089201	7.5511594653035505	0.6281154912559925	0.0641074087539203	0.00101	1e-4	0.02828	0.0027999999999999995	100
Gut vs Pan	345445.29868631053	48990.097462202466	80.3682375832771	11.923506911673075	0.8144152939985155	0.02212888513178115	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Gut vs Plaque	343199.9983847335	34321.933361305484	42.838899367449834	7.335028641622265	0.6999364165258797	0.035517078034342044	0.001	0	0.028	0	100
Gut vs Sediment	50950.50590172433	11728.569769463908	14.446087418093258	2.0366185878976446	0.44312508701292236	0.03402332101736039	0.00101	1e-4	0.02828	0.0027999999999999995	100
Gut vs Skin	297980.7301461309	28215.609486917543	38.750626007212766	4.055319419128446	0.6812588511802437	0.022213251670853095	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
Homo vs Pan	137229.82441628134	51895.07953526271	13.223312411321848	4.499114042189372	0.4131767534779029	0.07410070579978595	0.00108	2.7265992434429053e-4	0.03024	0.007634477881640138	100
Homo vs Plaque	112538.99328918583	27794.55239108228	8.330565009148238	3.174160603302862	0.30707874107554484	0.07883945739268715	0.00147	0.0019146168221755421	0.04116	0.05360927102091525	100
Homo vs Sediment	221777.2808574885	28940.882180942288	24.622006438981966	6.777053717306708	0.5655393664094445	0.07828287141370677	0.001	0	0.028	0	100
Homo vs Skin	216358.892911089	32521.80787490358	16.258486788486483	4.073631582714781	0.46680217172723115	0.06679416499567196	0.00101	1e-4	0.02828	0.0027999999999999982	100
Pan vs Plaque	331080.86955127184	51822.73874936455	45.26917713068001	8.26425203712187	0.7108719834390679	0.03627099051769313	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Pan vs Sediment	259676.32323001185	39338.78467175609	95.22540486005921	16.698169969268793	0.8375120654395412	0.02451978914202239	0.00101	1e-4	0.02828	0.0027999999999999965	100
Pan vs Skin	418278.8141106319	60250.28851933612	59.93886994095011	6.560589928771809	0.7674506091519445	0.019287223480621948	0.00101	1e-4	0.02828	0.002799999999999998	100
Plaque vs Sediment	237848.71802659525	23350.854394147536	37.147157081128896	7.690664812490009	0.6675675207394485	0.04433539052096582	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Plaque vs Skin	123536.2352992668	21446.81490262293	11.603995314273654	2.610035334245808	0.3875144993495794	0.05154447646002961	0.001	0	0.028	0	100
Sediment vs Skin	244738.00949571512	25766.29273028232	40.056284392641075	4.789594133872197	0.6880508750411358	0.02357020508170577	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
