pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	100082.3423528336	22342.298502614405	11.188462826408538	4.662518775105226	0.36922758736487576	0.09078145449431842	0.00124	9.333333333333345e-4	0.03472	0.026133333333333328	100
Control vs Gut	67441.21767051853	19031.587138472485	14.743367789877107	3.53114164528644	0.44449946368757365	0.05457763509334834	0.00103	1.71446607997765e-4	0.02884	0.004800505023937422	100
Control vs Homo	110409.13762203735	38531.1250119574	10.741649413153628	5.775904097729288	0.35221533441785524	0.1120965053661193	0.00369	0.007752086718093948	0.09644	0.17405898918806706	100
Control vs Pan	177992.78039764074	36402.57290071095	43.04735765759686	24.157514504256312	0.6733315088837377	0.09147479800540202	0.001	0	0.028	0	100
Control vs Plaque	165613.9807750038	22747.860709595254	24.603206756461482	8.253702800837505	0.5630588276205695	0.07685633111393071	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Control vs Sediment	19859.754761261098	12537.914822502442	5.86856027995089	2.448876345220079	0.23887533710079206	0.0698582269729511	0.00116	5.453198486885807e-4	0.03248	0.015268955763280271	100
Control vs Skin	159948.4224976241	24622.157565651203	23.97331321463765	7.627365375549503	0.5583756850784682	0.072161208049912	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gorilla vs Gut	260570.21090184205	33815.256425179105	28.846976834130384	5.4191579939789065	0.6108405431604734	0.04365676726432829	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Gorilla vs Homo	51920.8050453918	17003.92004843792	3.374066277757775	1.2411375761844947	0.15513668923808252	0.04743027492337587	0.026	0.042111684119658974	0.43776	0.389198532080656	100
Gorilla vs Pan	131408.63899859876	51054.078952852105	14.577720109605364	6.126088048827395	0.42918316766037656	0.10020937276027639	0.00113	3.6666666666666645e-4	0.03164	0.01026666666666665	100
Gorilla vs Plaque	91884.37988203777	18776.13930714152	7.938646016534349	1.5793228215456463	0.30355739554643846	0.04155460971439486	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gorilla vs Sediment	163082.00790402052	24374.879088563237	21.43425327436186	4.976902642917692	0.5368747250684925	0.05428335099516215	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gorilla vs Skin	144229.15375839433	29453.32768245001	12.568678612247592	2.7021363022749423	0.4071167967471209	0.046830738615406285	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999992	100
Gut vs Homo	273320.742097066	56672.20437695976	26.221258055675673	7.635033897580136	0.5806865557136143	0.07341544112257896	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999995	100
Gut vs Pan	312457.5150008252	50895.90358420978	73.39496996759202	15.597095488333597	0.7976113004368343	0.03296931956625532	0.00101	1e-4	0.02828	0.0027999999999999982	100
Gut vs Plaque	320402.4898657153	32592.075198479524	48.260665612975274	8.350812013537835	0.7241135953946479	0.034382298692313365	0.001	0	0.028	0	100
Gut vs Sediment	43799.49052306566	8655.53921405295	15.077008552543868	2.764338039646589	0.45230009687493006	0.042787752092550146	0.00101	1e-4	0.02828	0.0027999999999999965	100
Gut vs Skin	265433.00372684334	31158.326710874622	40.17882884789585	5.212288865860328	0.688385922761711	0.02537910611683537	0.00101	1e-4	0.02828	0.0027999999999999987	100
Homo vs Pan	104845.21374324754	39532.218225773744	9.669379491588222	3.164449047106977	0.3413084718611435	0.072600556168038	0.00105	2.1904291355759038e-4	0.0294	0.006133201579612534	100
Homo vs Plaque	95053.64030994195	26059.488770486507	7.375249791839646	2.48874312101175	0.28418902211028085	0.06718660443049361	0.00165	0.002872281323269014	0.046200000000000005	0.08042387705153238	100
Homo vs Sediment	175224.59121050764	45083.394512747975	19.556856987787924	6.941257229187878	0.5043902407420325	0.09145792185938936	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Homo vs Skin	167637.33794195094	42335.0055016115	13.08425757113069	4.051977692972352	0.4113869476693546	0.07484912764915692	0.001	0	0.028	0	100
Pan vs Plaque	283896.20939083165	55955.8961439174	42.20661744666959	8.648376345973267	0.6954490178879293	0.03993835682913216	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816111	100
Pan vs Sediment	236045.5214884537	43719.192121305125	83.8018921134847	25.811171372740898	0.8133326935666445	0.04098598210031302	0.001	0	0.028	0	100
Pan vs Skin	350864.9787683752	63611.300964175534	52.617252010239866	8.602823324291915	0.7417154643687979	0.028512989130264944	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999948	100
Plaque vs Sediment	221745.25656864917	24925.800844391877	42.28647458452679	8.436998900549618	0.6957916195737136	0.04124526015404683	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999948	100
Plaque vs Skin	108306.39608887667	19707.80907444788	12.022972849153906	2.646767774197783	0.3959973327921021	0.0514266775826541	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Sediment vs Skin	210787.46019484772	28524.980319350983	40.320764750213186	5.94384264815273	0.6886983707953261	0.0269080276317778	0.001	0	0.028	0	100
