pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	110218.66419115482	19838.45421846485	9.561161709555035	3.9674040924074263	0.3356073567124609	0.08229179534015924	0.00152	0.002162490147113654	0.04256	0.060549724119182434	100
Control vs Gut	77173.57425219723	22227.450643239707	13.316412404543653	2.9136432730949853	0.420465873415295	0.051929203493915166	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Control vs Homo	158806.87660023998	27002.653785023584	13.655328356250488	5.156483708370492	0.4169929761699662	0.09100360944071798	0.00114	8.29019135649309e-4	0.031920000000000004	0.023212535798180653	100
Control vs Pan	230160.0167163106	37749.66008794562	51.155541027393326	24.26665352603674	0.7102305037255454	0.09075522592740058	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816113	100
Control vs Plaque	190553.79476751652	20564.755849695342	21.532934087709435	8.174222866542948	0.5285063540084505	0.08165079349984294	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Control vs Sediment	24386.42128915414	14594.23459073542	5.486669281128085	2.158411372116751	0.2279053931147566	0.06355797815495584	0.0015	0.0014529663145135595	0.042	0.04068305680637964	100
Control vs Skin	204749.58793460694	25038.46023867819	23.872227941048404	6.456995271096111	0.5603779176890986	0.0648176962574586	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Gorilla vs Gut	287385.8465168358	36373.87025417355	25.107936044896256	4.893321583661343	0.5774337489457375	0.04511631102545067	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Gorilla vs Homo	71142.80371862462	19904.046935804276	4.062646523142081	1.6495577014330702	0.17996854362357637	0.056660570863930046	0.02106	0.029636457209990474	0.39196000000000003	0.36915431390510306	100
Gorilla vs Pan	183388.0746165505	64808.66472121329	17.773168752881922	8.871482780647229	0.470634128148371	0.11143024097730908	0.0015	0.0011763666026534355	0.042	0.032938264874296186	100
Gorilla vs Plaque	103048.56495792633	20753.48808051469	6.746451682545514	1.1459021767597457	0.27111862162044476	0.03288251458315139	0.00103	1.714466079977652e-4	0.02884	0.004800505023937427	100
Gorilla vs Sediment	175611.84524446062	25338.71274856768	18.144393244827157	4.409278375075757	0.4952793375555847	0.056322347811977536	0.001	0	0.028	0	100
Gorilla vs Skin	178845.42758578496	38364.04165626935	12.171198013161462	2.242749615492203	0.4001570817629722	0.04426975670330696	0.00103	1.71446607997765e-4	0.02884	0.004800505023937422	100
Gut vs Homo	365353.3968558796	49276.57066234509	31.87236324535502	6.972652871290018	0.6309136523312123	0.060030357564785614	0.0010400000000000001	1.969463855669325e-4	0.02912	0.00551449879587411	100
Gut vs Pan	390090.5006396973	62275.81189539136	87.4473038158186	14.012347880044784	0.8264125311849732	0.02220761754219172	0.00101	1e-4	0.02828	0.002799999999999998	100
Gut vs Plaque	358074.43096304865	37592.89215912853	41.32770726103516	7.808817147312354	0.6913673552730555	0.04069554206270802	0.00103	1.7144660799776526e-4	0.02884	0.004800505023937428	100
Gut vs Sediment	51364.57959498088	11343.54106063873	14.472732812366914	2.330065664823149	0.4430384710615198	0.03760796619200285	0.00101	1e-4	0.02828	0.002799999999999999	100
Gut vs Skin	320460.2486306442	34435.0317125833	38.97036568596893	4.754661584224084	0.6821195875165562	0.023723811426124883	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Homo vs Pan	152294.35872609072	52972.51700790155	13.83829302234854	4.522555801988873	0.423575866893925	0.08000736386002473	0.0010400000000000001	1.969463855669325e-4	0.02912	0.005514498795874111	100
Homo vs Plaque	123074.20891101588	29825.326724069593	8.200882935877331	2.5281056228808536	0.3068052682017482	0.06553717680151137	0.00168	0.0036896798470514186	0.04668	0.09983429503255117	100
Homo vs Sediment	241779.45492776707	36176.3485346703	24.975732445961235	6.471949973934524	0.5702960096610831	0.07432719234208282	0.00103	1.71446607997765e-4	0.02884	0.004800505023937422	100
Homo vs Skin	237516.25991448498	39172.32028707936	16.31591455175643	3.7663623736320604	0.4689358718466059	0.06103652257048054	0.00101	1e-4	0.02828	0.0027999999999999995	100
Pan vs Plaque	374203.88486727065	63407.31465332288	46.71639754714508	8.674536653415117	0.7169626983096479	0.03746192108292941	0.001	0	0.028	0	100
Pan vs Sediment	299483.5628141932	51874.74870633901	108.34938068056753	22.590105848994952	0.8532259841268282	0.025001166824117998	0.00105	2.1904291355759052e-4	0.0294	0.006133201579612531	100
Pan vs Skin	465740.56195769506	74566.17005202796	61.92952048283301	9.068505631643625	0.7722108660892546	0.02353752066177563	0.001	0	0.028	0	100
Plaque vs Sediment	250122.40667953552	28209.710501544818	35.76260397864816	7.26227243817212	0.6591477591868028	0.04573244756623928	0.0010400000000000001	1.9694638556693253e-4	0.02912	0.005514498795874116	100
Plaque vs Skin	128441.45036225779	22868.885764898616	10.94598394432009	2.592785132118611	0.3736432581555277	0.051395754514315425	0.001	0	0.028	0	100
Sediment vs Skin	265305.9101928078	34753.40959798507	40.60498315222813	6.445821949050028	0.6899098453813926	0.02785648683375814	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
