pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	564431.7378539563	145937.45779401786	19.143497214860734	6.841516029999046	0.500276061578093	0.08541709348817714	0.00101	1e-4	0.02828	0.0028	100
Control vs Gut	2012255.0486591093	542684.54903969	42.45082498116399	18.354258742258462	0.6790824591315255	0.08324636598486172	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
Control vs Homo	595966.2431540177	158196.22456436165	17.569248092823628	6.247427529668268	0.4794445795181771	0.08531833310699956	0.00105	2.6111648393354703e-4	0.0294	0.0073112615501393	100
Control vs Pan	779177.3999309129	194516.15965403905	34.93606126628775	13.244628640512445	0.6421118892818355	0.07506223642955419	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Control vs Plaque	550826.6855634555	109561.59596278801	38.287293084846866	27.29623195109874	0.6265699353215524	0.12310456563562608	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Control vs Sediment	377259.36245165206	171549.1239590828	17.07005655707647	12.40988477243081	0.4380668358592087	0.15295373302813353	0.00465	0.0146820683595034	0.09252	0.17104092959277187	100
Control vs Skin	626894.825050277	145501.58204699928	60.39109682650246	38.93698429120303	0.7176057279530278	0.11625957103870707	0.0010400000000000001	2.428783625395624e-4	0.02912	0.0068005941511077505	100
Gorilla vs Gut	1596320.1795506687	418783.9096443863	24.683406103134907	8.716963526892153	0.5625103550658116	0.08068276127078251	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Gorilla vs Homo	97062.83632484912	37882.96833675108	1.9420893770059202	0.9603691432416803	0.09546976651394132	0.04036343299296006	0.16526	0.1484505576978682	0.85512	0.2998987465492613	100
Gorilla vs Pan	302630.976238501	105812.50506227733	7.730063816370001	2.889965247543164	0.2923886313004666	0.07300928886826148	0.00287	0.005907801724171281	0.07832	0.15214685091195368	100
Gorilla vs Plaque	264097.3405542432	57744.89777413729	7.837757705400409	2.3102403199254624	0.2978997347712154	0.06187710919045869	0.0015300000000000001	0.002467792535850617	0.04284	0.06909819100381721	100
Gorilla vs Sediment	409209.70074315433	87291.71796658036	9.936362300105271	2.1238251104061567	0.3519969102062326	0.04916474422118748	0.00103	2.2270150335361387e-4	0.02884	0.0062356420939011815	100
Gorilla vs Skin	399213.6204538443	79874.36218662601	13.813559350820352	3.6056033069667794	0.42756589687973307	0.05970452460008698	0.001	0	0.028	0	100
Gut vs Homo	1506725.3236355723	412114.76187653444	21.418097674437398	7.325573718756886	0.528999876356283	0.08077961843970057	0.00101	1e-4	0.02828	0.002799999999999998	100
Gut vs Pan	1405212.0611874526	325118.9813124922	24.571504820113773	8.910241396272916	0.5622052553054816	0.07609058853926333	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
Gut vs Plaque	1491526.2004010933	363124.4203279162	29.165070556193704	13.471410954077115	0.5951404911091974	0.09030719344409119	0.00101	1e-4	0.02828	0.0027999999999999974	100
Gut vs Sediment	1026051.466808375	331492.17067417986	17.661341189540924	8.039004233972385	0.47349450428952744	0.10228685046150285	0.00102	2e-4	0.028560000000000002	0.005599999999999998	100
Gut vs Skin	1192781.3208069792	285112.5614367303	26.32405913212213	12.29796109773365	0.5676028146187803	0.10130788431340805	0.001	0	0.028	0	100
Homo vs Pan	272556.37391576794	112132.8198811012	6.368667220501327	3.2685567037591605	0.24982968431155905	0.08824560029168832	0.01217	0.030981928587321666	0.20908000000000002	0.3104873224042125	100
Homo vs Plaque	206846.57887182126	77267.96976787852	5.171475188935544	1.6521804101964348	0.21943724858409702	0.053372823439568284	0.00547	0.01155789554784733	0.13184	0.2294312123755641	100
Homo vs Sediment	391512.06228908926	119584.99729944726	8.514766492128837	2.635872989560214	0.3147747335231644	0.0652846948350029	0.0015400000000000001	0.001328932129967744	0.04312	0.03721009963909683	100
Homo vs Skin	380195.4855686103	121155.25795045574	11.133838830631348	3.2881135877021954	0.37433701288507293	0.07066001540630787	0.00123	9.195409482755819e-4	0.03444	0.025747146551716255	100
Pan vs Plaque	637481.7134944757	141461.01796053274	23.97225693871676	6.4497091213718445	0.5620318306514982	0.060900283129935666	0.001	0	0.028	0	100
Pan vs Sediment	623108.0785481127	154913.62109452658	18.167039117325473	3.8086555302128677	0.49703763170609866	0.051041080673996306	0.00101	1e-4	0.02828	0.0027999999999999995	100
Pan vs Skin	804980.551231269	163139.32941279825	36.8818783852457	8.681214446547088	0.6643297252277931	0.05025307693689993	0.00101	1e-4	0.02828	0.0028	100
Plaque vs Sediment	369966.1186286823	71552.52127567862	13.25585765537421	4.583454928257529	0.4136903091770409	0.07336118839502072	0.001	0	0.028	0	100
Plaque vs Skin	206904.43128056978	57436.48834023875	12.618498810004608	4.778268698712226	0.39920211274981227	0.08518543756107082	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Sediment vs Skin	266177.10966926796	43406.08470908605	11.250146565637074	2.551339140143099	0.3802399443367021	0.0509881466941918	0.001	0	0.028	0	100
