pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	593001.7319001586	123777.76448000938	22.844667149302694	9.249019280242269	0.5405429680267335	0.086360113163087	0.001	0	0.028	0	100
Control vs Gut	2540788.8564052223	797018.5103936442	40.24253810861514	18.28498186643162	0.6684674798616907	0.07836058167033043	0.001	0	0.028	0	100
Control vs Homo	750521.98433514	162264.12302783332	21.919515076592813	8.499163792238415	0.53288667451581	0.0805013010050072	0.00101	1e-4	0.02828	0.0027999999999999987	100
Control vs Pan	1101365.2141807762	247248.09535789018	43.78238455955324	16.0559016925486	0.6927176280234831	0.06412767082352154	0.001	0	0.028	0	100
Control vs Plaque	651773.7562510872	130421.90777025121	31.970650796133324	23.292610679501962	0.5860216781395958	0.12852812212535855	0.00101	1e-4	0.02828	0.002799999999999998	100
Control vs Sediment	444543.0585327137	192991.1143823368	15.556164205820991	11.807521152381177	0.41854619914959607	0.1448839735236837	0.00634	0.023633660296067126	0.10336000000000001	0.2009253100085207	100
Control vs Skin	777346.6641351434	167372.77478835036	59.30905040218268	42.53618968268354	0.709151391606849	0.11588092808749843	0.001	0	0.028	0	100
Gorilla vs Gut	1845945.6679687793	548865.8537075949	25.131666615950216	8.674958506169606	0.5677095568715813	0.0768329357311364	0.00101	1e-4	0.02828	0.002799999999999998	100
Gorilla vs Homo	125615.65711363876	41350.630350246494	2.8276618015656263	1.0690156309545156	0.13360312326553628	0.042632982339399696	0.05027	0.07269777691014195	0.58452	0.4201966466051126	100
Gorilla vs Pan	369126.329517537	118100.51561274474	10.300066517225712	2.950771561022009	0.35706827306084143	0.06725238922396165	0.0011	4.143877070053748e-4	0.0308	0.011602855796150478	100
Gorilla vs Plaque	304481.6754639954	66479.56643704468	9.053136104790479	2.7093728852439827	0.32821919037575153	0.06528200772402205	0.00106	2.3868325657594203e-4	0.02968	0.006683131184126377	100
Gorilla vs Sediment	418325.5246230717	87498.3272084785	10.323183539870021	2.8498675407211698	0.3585945194515104	0.05964805570790643	0.00106	3.120476524086299e-4	0.02968	0.008737334267441641	100
Gorilla vs Skin	481730.75706180313	85311.03822415516	18.58629755572682	3.7037784791900368	0.503208237112527	0.048336879698566135	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gut vs Homo	1876637.1612219114	496001.89010584744	22.984987134461154	8.039978632463843	0.5460044612615779	0.07858052722002781	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999995	100
Gut vs Pan	1751922.7089643206	439945.010496635	24.43227838788181	7.868490114085015	0.5630329949529141	0.07113071249870483	0.001	0	0.028	0	100
Gut vs Plaque	1827339.89423836	513780.64618517115	25.657606074149577	8.816620629351366	0.5725767633420841	0.07721808517959106	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Sediment	1328031.1754989447	489375.1798064545	17.232237038006343	7.349362671926546	0.4697070435453723	0.09687723243713027	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999926	100
Gut vs Skin	1488824.2141264298	401265.104744528	24.3854603740483	9.725880906521713	0.5557921115968659	0.08863762477349121	0.001	0	0.028	0	100
Homo vs Pan	374406.22074287146	135070.5869545375	8.712442811081967	3.902836717853713	0.3132619759187534	0.09068900345355788	0.00438	0.00822017719585855	0.11556	0.18791779419133625	100
Homo vs Plaque	236044.81120092026	72736.55673373336	5.553937155968525	1.6431943195942584	0.23215730992492373	0.05287775351657753	0.00381	0.008528851806152636	0.0984	0.18885984328077893	100
Homo vs Sediment	507669.43994523137	101381.27762467289	10.359338878145328	2.800722616039425	0.3598687320245228	0.05606556087469377	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
Homo vs Skin	506401.65219752025	93744.11929168635	14.92551712470119	3.5707390586975842	0.4472508081198712	0.057101874780020156	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999994	100
Pan vs Plaque	861358.8025401648	161302.1936286077	26.37502027620814	6.539950882212799	0.585804358083817	0.05942253852208741	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Pan vs Sediment	830741.6078621554	196621.0139556441	20.6740522065282	4.361147226341845	0.5289787913235865	0.05067794698333754	0.001	0	0.028	0	100
Pan vs Skin	1083363.214288616	183927.23745947945	43.20288638172621	6.437954015264792	0.7028639264035815	0.029437002175634688	0.00102	1.4070529413628976e-4	0.028560000000000002	0.003939748235816115	100
Plaque vs Sediment	419802.7013336537	89671.39326370532	11.069383651068259	3.538339535072638	0.37255421582240383	0.06954438907178659	0.00101	1e-4	0.02828	0.002799999999999996	100
Plaque vs Skin	263543.6574995075	56746.07216080583	11.58266247724617	4.042503688991978	0.3810552828173593	0.07860876423611202	0.001	0	0.028	0	100
Sediment vs Skin	342005.8017621825	48553.39439759557	11.386425556135006	2.78013474532629	0.3827131824896772	0.05141624362025213	0.001	0	0.028	0	100
