pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	308264.5385097385	105160.70525477252	6.06921440240796	2.3084429325884614	0.2456315899469587	0.0692127400541103	0.00569	0.011701415782422715	0.1366	0.228913198669829	100
Control vs Gut	1096744.688589067	388090.2657002961	13.988260339034147	4.825871415293081	0.42554860198127004	0.08064610592606798	0.0010400000000000001	1.9694638556693247e-4	0.02912	0.005514498795874113	100
Control vs Homo	301084.0079358128	121451.27767288509	5.464342527948317	1.9617878189001878	0.22772292053600154	0.06261656752865467	0.00911	0.0211859945161034	0.18068	0.2692457433331681	100
Control vs Pan	466329.8688211936	144191.09454458987	11.114745108036312	3.4880920330854273	0.3729007533565901	0.07529373632522077	0.00116	5.811865258054222e-4	0.03248	0.016273222722551835	100
Control vs Plaque	311379.7644671494	68200.88533983742	7.907357442252153	2.599570545967142	0.2985941720488002	0.06721675518152016	0.00132	0.001118079160927797	0.03696	0.03130621650597834	100
Control vs Sediment	156614.40348496282	85412.62711390761	3.4403881448246647	2.113112804674653	0.15348720233826424	0.07258738670368409	0.08666	0.10956767384368049	0.66576	0.3940377134183473	100
Control vs Skin	340230.5727384547	79402.53234226935	10.256667220249918	2.742354346189529	0.3570192719431639	0.062481738844735187	0.0010400000000000001	1.9694638556693247e-4	0.02912	0.005514498795874114	100
Gorilla vs Gut	1619320.8757573012	441593.9943705041	21.892547889577337	6.532397832540951	0.5377259076624376	0.06979349594382339	0.0010400000000000001	1.9694638556693237e-4	0.02912	0.005514498795874113	100
Gorilla vs Homo	111937.64527954329	48219.076640643194	2.2623341422386725	1.1313872754111292	0.10910364102993915	0.04629662805190993	0.1276	0.1427598817538871	0.74664	0.36429457278084143	100
Gorilla vs Pan	344572.1217886331	124045.42759545358	9.10569211294349	3.704062455964724	0.32459367948541284	0.08520859245444	0.00215	0.004816585403529655	0.05732	0.10896917180579284	100
Gorilla vs Plaque	255699.81530053727	73954.03881712208	7.072078952996664	2.595423634414929	0.274944964712416	0.07013273662433651	0.00298	0.006665121032947444	0.07804	0.1478328239545733	100
Gorilla vs Sediment	377344.420361176	107362.69321250361	8.85264237720047	2.776850624349502	0.32314520435677613	0.064308109226267	0.00115	5.924610544247616e-4	0.0322	0.016588909523893334	100
Gorilla vs Skin	387904.48815344763	91023.12802545262	12.926947861706712	2.9378304400761146	0.4130116970142764	0.05330407887768931	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999994	100
Gut vs Homo	1449447.4755640875	392338.3432802799	18.97905403420409	5.9838195174208355	0.5012955918084419	0.07608852301303612	0.001	0	0.028	0	100
Gut vs Pan	1378300.1686159312	331814.60384413024	21.46082800534201	5.716680574044371	0.5352034549305472	0.061323907889365495	0.00103	1.71446607997765e-4	0.02884	0.004800505023937422	100
Gut vs Plaque	1525996.8817169734	428611.6726519807	24.33242801904608	7.829745656891002	0.5613366617492559	0.07543421408678146	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Sediment	995595.9247960282	334602.289713425	14.55012837166409	5.375025673289608	0.4334815558352062	0.08455410224622154	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Gut vs Skin	1199509.3301488839	284051.8617182772	22.044575924110244	7.714075485599728	0.5354921812310818	0.08096845199019105	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Homo vs Pan	278570.25180709455	82221.89867202158	6.962269318674072	2.6636598662268263	0.27153014269021125	0.07066092940277097	0.00352	0.006904075798125525	0.09504	0.17340242911863263	100
Homo vs Plaque	197184.26786553097	76612.98426019115	4.972672143565797	1.9342751546089556	0.21137717240732593	0.061357603423445775	0.00587	0.01101665864392501	0.15216000000000002	0.25855912791132046	100
Homo vs Sediment	367182.16344396083	121881.27575769692	8.05252069682492	2.6890568399750774	0.3022465853473104	0.06766755743461902	0.00188	0.004684554461744519	0.05228	0.12846286890330869	100
Homo vs Skin	366546.2263970446	115409.02946047741	11.206870155921084	3.13607314814791	0.3767092671534952	0.06653305695721567	0.00106	6.000000000000008e-4	0.02968	0.016800000000000034	100
Pan vs Plaque	622796.276898379	117535.38805359862	23.829416976858003	8.257671724829823	0.5562912906836824	0.0708534479282243	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816113	100
Pan vs Sediment	514604.95685639716	129821.60909038877	15.51867404559138	4.006542519616213	0.455831872160852	0.06152581813225564	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Pan vs Skin	766980.056317426	135134.8899624592	38.447362124998655	10.122627654830337	0.6717269871641877	0.05437557411621592	0.00101	1e-4	0.02828	0.002799999999999997	100
Plaque vs Sediment	398250.4137755415	107766.55515200213	12.750188513639712	4.6291945567641095	0.40301200964026196	0.07936348540415314	0.00101	1e-4	0.02828	0.0027999999999999974	100
Plaque vs Skin	222318.13577982486	63402.80621022877	12.122697704082967	4.733651561400318	0.3895594476030477	0.08412389579567695	0.00101	1e-4	0.02828	0.0027999999999999982	100
Sediment vs Skin	303254.79554535955	58279.35198452135	12.157586876497131	3.2627973968872754	0.3975482932682491	0.053149355095146567	0.001	0	0.028	0	100
