pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	302449.3858384133	110549.78903451013	5.848387266461185	2.41076370526597	0.23810006023669988	0.07183878908641586	0.00669	0.01278469334158562	0.16572	0.2503461877827857	100
Control vs Gut	1370681.4764069924	559666.7240004549	14.95195353380674	8.502571381198484	0.43381619906306	0.08925884864945678	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Control vs Homo	390328.3041843093	113579.64043416145	6.856146473270972	2.163561606405655	0.2705716795621484	0.06145243744962549	0.00223	0.0038973054664716645	0.06244	0.10912455306120651	100
Control vs Pan	648504.4521041249	178975.218270083	14.43330974097049	4.310871238258718	0.43582871080948654	0.07056220023869553	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Control vs Plaque	374033.48128946277	89297.83655322915	7.662513150648799	2.5023218028899956	0.2922541529796036	0.06612874157348263	0.00157	0.0030092617974607264	0.04396	0.08425933032890029	100
Control vs Sediment	187014.7334382242	96579.66571021806	3.4713901470008324	1.9613510252156547	0.15568842409670147	0.0671705623031714	0.0703	0.09900622365908278	0.64628	0.40648292123104646	100
Control vs Skin	427418.8289377134	80717.12390757819	10.74923748084967	2.619840500856862	0.36887632124019754	0.05604644004851862	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Gorilla vs Gut	1909069.089631937	666297.4970183946	24.38416291294546	15.460696154760214	0.5511146523509062	0.08268690770090838	0.001	0	0.028	0	100
Gorilla vs Homo	140789.04590184565	46019.19525952011	3.0771444231358176	1.219672968883128	0.14334188200652817	0.046434775318135654	0.03353	0.04566798383413424	0.49276000000000003	0.4046088801034722	100
Gorilla vs Pan	401361.7818259116	138867.23700874494	11.635455474958034	3.716822763891147	0.38330927706974227	0.0759392688495156	0.00117	8.29445476194668e-4	0.03276	0.023224473333450724	100
Gorilla vs Plaque	301222.6636912442	81837.1527847695	8.055148672635292	3.186877402777595	0.29954793056988077	0.0802486174255341	0.00261	0.005293210822183531	0.07188	0.13990063429001134	100
Gorilla vs Sediment	396030.78101109026	101363.70390310243	9.215457624470504	2.954230481431911	0.3316200110142461	0.0657031626528556	0.00115	5.388914922357184e-4	0.0322	0.015088961782600132	100
Gorilla vs Skin	474858.2287107715	95639.49969374834	16.139591660474903	3.1166485267277415	0.4686957987203452	0.04530358701105414	0.00101	1e-4	0.02828	0.0027999999999999974	100
Gut vs Homo	1921770.5854180881	576874.1835036506	23.460094396442127	17.14732372641309	0.5401937561068191	0.0817208598504957	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
Gut vs Pan	1691982.8265519885	473430.062918889	24.372744905320147	18.36916705305494	0.5491897263534642	0.07936264530149721	0.00103	1.714466079977651e-4	0.02884	0.004800505023937425	100
Gut vs Plaque	1958292.6022871442	559668.9168202182	26.326858196267924	21.325967412052695	0.5650318969925003	0.08215309653768174	0.00102	1.4070529413628976e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Sediment	1319281.0721666706	532211.4584811056	16.731801891216385	13.384447017703064	0.4518529285019401	0.09956825382952346	0.0010400000000000001	1.969463855669325e-4	0.02912	0.005514498795874111	100
Gut vs Skin	1558441.7765906313	474937.4774126126	25.520836054237122	30.151475203984415	0.5444558484546534	0.0920015886184324	0.00103	1.7144660799776507e-4	0.02884	0.004800505023937423	100
Homo vs Pan	378932.9034743903	122197.04834362859	9.971158996476273	4.195178006321171	0.34389867451056505	0.08676328644824044	0.00216	0.004613813252318817	0.0604	0.12859520703637142	100
Homo vs Plaque	245253.96127604417	77779.4715942462	5.653219463035698	2.014173981337527	0.2338273197225516	0.06187939491108405	0.00604	0.01921590250524053	0.11616	0.23142451787731455	100
Homo vs Sediment	486281.3395321597	103884.06748380986	10.080535282904941	2.4472057002094276	0.354368189469426	0.053744370470788394	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Homo vs Skin	514626.62663074	98881.14440094601	15.392604435754471	3.849425908663417	0.45439330824158075	0.05828902035284861	0.00103	1.71446607997765e-4	0.02884	0.004800505023937422	100
Pan vs Plaque	842528.2432689334	162326.0982172518	27.380789308622425	7.901113823297627	0.591988482305937	0.06701102071502354	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Pan vs Sediment	694525.1789301051	167571.0386340079	19.192438851610405	4.846597914701416	0.5084999290741032	0.05895301229877259	0.001	0	0.028	0	100
Pan vs Skin	1033522.8018612915	169196.4828773211	46.637022942425894	6.748861046738649	0.7187251402196883	0.02741877998872447	0.00101	1e-4	0.02828	0.0027999999999999974	100
Plaque vs Sediment	477437.63301445945	114627.33495858034	12.022225049746279	4.4860661886638615	0.38848807830541393	0.08204479474911013	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Plaque vs Skin	307751.47290605033	68615.95517110084	12.133467103017475	4.766716794539132	0.38935220730520204	0.08646265814841778	0.00101	1e-4	0.02828	0.0028	100
Sediment vs Skin	381338.97795898403	61202.25698469361	12.365615763768298	3.43166455977207	0.40093974591408676	0.05713589268719095	0.001	0	0.028	0	100
