pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	160225.51234085974	25394.844463751844	21.79419176331363	5.757229136416711	0.5395349856375127	0.05800597872554716	0.00101	1e-4	0.02828	0.0027999999999999974	100
Control vs Gut	19228.60001446157	3081.1209506581527	11.251063113407097	2.412858696235609	0.3806130231423448	0.04956223919875481	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Control vs Homo	178633.89456931976	48164.98984123995	18.02285481487382	6.595779573095105	0.4857106837385374	0.0832971291538802	0.00106	2.7779797906341447e-4	0.02968	0.007778343413775593	100
Control vs Pan	187795.9552865117	33568.59309948901	60.65839546355738	18.24752691162974	0.7605689788832342	0.04803682814547306	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Control vs Plaque	272324.67232827895	29882.90747012859	32.564252678381564	5.959402162051298	0.6393025768822256	0.04079649307586719	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999993	100
Control vs Sediment	7449.898222379898	2759.9934602464978	10.35502536865912	4.5782371955608285	0.35206457478664516	0.08514755073587836	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
Control vs Skin	185835.96410148044	27179.11965115519	34.507506233583236	8.899730625869244	0.6504259682905549	0.04290705478865571	0.00102	1.4070529413628976e-4	0.028560000000000002	0.003939748235816115	100
Gorilla vs Gut	206190.78213186713	28535.249885454345	22.664735447581144	4.751656804127356	0.5519126528684127	0.04776107055281811	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Gorilla vs Homo	65339.6246261883	18542.831172839433	3.6810478710231895	1.0568316079069295	0.16792114286540338	0.038701543965959845	0.00781	0.011941519961457963	0.19868	0.26538726724573963	100
Gorilla vs Pan	128497.53837166313	39201.452542749044	12.237623341075025	4.559508584843436	0.3923825318469927	0.08418961536712874	0.00103	1.7144660799776524e-4	0.02884	0.004800505023937427	100
Gorilla vs Plaque	121989.8812583483	22087.457952819444	7.637765873681895	1.2724109577484273	0.2962269443734464	0.03432440220329888	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816115	100
Gorilla vs Sediment	177278.05405525712	26804.568080664572	22.016828630080497	5.361478459985755	0.5431233540660164	0.054278257893228134	0.001	0	0.028	0	100
Gorilla vs Skin	126125.42852533078	26999.72273273618	9.712486185006412	2.034711997891814	0.3471773553514832	0.04562234765436068	0.00101	1e-4	0.02828	0.0027999999999999982	100
Gut vs Homo	229953.73530190252	54810.97253608887	19.74516564353092	6.225944408183775	0.5115349051259871	0.07283869720167824	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Gut vs Pan	229780.54372258336	36697.71746226013	47.54784010264993	10.39556988691408	0.7190820524502135	0.040962127319451515	0.001	0	0.028	0	100
Gut vs Plaque	331308.73798716505	34225.88467284802	32.82617560400502	5.065968857658348	0.6424279653442594	0.03491952517693597	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999995	100
Gut vs Sediment	25296.759512015557	3801.159700142448	10.552611080015186	1.8637299303090267	0.366955767861003	0.04084512002827256	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816115	100
Gut vs Skin	226632.49169686745	31104.557826266802	31.821850760904685	6.23122073728493	0.6343070896446368	0.03688802623567264	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999943	100
Homo vs Pan	108684.80038189855	36823.317984738096	8.015976847225923	2.2352615829066638	0.303239539631901	0.05774293362054588	0.00106	2.386832565759421e-4	0.02968	0.006683131184126377	100
Homo vs Plaque	117363.88402682381	28371.819100027817	6.383282857712807	1.883217842789353	0.25768201754099473	0.054038894766868927	0.0010400000000000001	1.969463855669325e-4	0.02912	0.005514498795874111	100
Homo vs Sediment	198658.35033094237	50407.581966502294	18.690568170388005	6.278605088901353	0.4966343519331901	0.07759569084582567	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999956	100
Homo vs Skin	142915.4833157791	36751.66391289038	9.282063951398195	2.9903610332053865	0.33294669284206085	0.06770346935401503	0.00105	2.1904291355759057e-4	0.0294	0.006133201579612533	100
Pan vs Plaque	292843.8189689258	49807.679699975306	25.013101456593937	3.294823335334112	0.5791207143268089	0.03182501505312625	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Pan vs Sediment	200961.82167413385	34283.63505488164	52.779194419107846	13.296269972236779	0.7375858100019002	0.04469548189031915	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999935	100
Pan vs Skin	292999.38375637704	44256.78346103174	33.98070937840577	6.073161889568133	0.649671202511332	0.035666119592381744	0.00101	1e-4	0.02828	0.0027999999999999974	100
Plaque vs Sediment	293375.9419052745	31615.81672865766	32.40430112634264	5.683087467836071	0.6385610243790375	0.03909670852598191	0.00101	1e-4	0.02828	0.002799999999999997	100
Plaque vs Skin	122059.64890688723	18999.573699719458	8.871299674528709	1.9945097058021626	0.32656874124599206	0.048807523127260576	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Sediment vs Skin	206995.25456356627	29041.085645181494	33.98888306533935	7.632355697972542	0.6483335922966003	0.03932180879568559	0.001	0	0.028	0	100
