pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	203813.11124176017	21131.790179597847	24.430048341902282	5.978476383709518	0.5689540133184265	0.04992441651182689	0.00103	1.7144660799776516e-4	0.02884	0.004800505023937425	100
Control vs Gut	19864.708435363416	3491.1723361445434	11.14866499582701	2.9820485001695034	0.3765999561412886	0.05865054159395188	0.001	0	0.028	0	100
Control vs Homo	268682.91562816035	34530.33220559903	24.565606615606615	6.587816071398474	0.5669376044646358	0.06763847878693104	0.00101	1.0000000000000003e-4	0.02828	0.002799999999999994	100
Control vs Pan	255529.61879658778	31003.224994332497	96.42822177207552	20.577820126497745	0.8379375771165155	0.02741787931570834	0.001	0	0.028	0	100
Control vs Plaque	319146.2322094184	28344.86510061944	30.074319120491392	6.0359171744480955	0.620002601107564	0.04547395026035582	0.001	0	0.028	0	100
Control vs Sediment	8116.952298618749	4149.648563605458	9.396584921285788	4.533064547821386	0.3279598274998595	0.09375764159769565	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999926	100
Control vs Skin	234397.5907078861	22222.915942512296	33.05607029020399	6.613251087719281	0.6427320559894855	0.03780121260462245	0.00101	1e-4	0.02828	0.0028	100
Gorilla vs Gut	256249.92687026292	21994.545178905475	25.18036115754527	4.872685443258162	0.578590280671709	0.041299013661684765	0.00101	1e-4	0.02828	0.0028	100
Gorilla vs Homo	86271.05650575562	17865.048646981006	4.388709276482558	1.1641412121011216	0.1939358185659085	0.040665019407486264	0.00479	0.007379051703329093	0.13348000000000002	0.20378372770358197	100
Gorilla vs Pan	148835.1147259848	48756.593539028676	13.807400351375698	6.42443416472103	0.4151464633219813	0.09815555326072181	0.00108	3.673547263198e-4	0.03024	0.010285932336954405	100
Gorilla vs Plaque	154014.4343932031	28494.076188361083	7.990560145931084	1.6951891810852482	0.3047179708786556	0.042374074912029956	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Gorilla vs Sediment	222365.05998982972	22588.446540583034	24.283551878315336	5.631210006655499	0.5681815758271125	0.04732916345425826	0.001	0	0.028	0	100
Gorilla vs Skin	185317.39669380552	35210.7171247627	11.747625185820665	2.1000000449375604	0.39208934210148383	0.040582268053090204	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Gut vs Homo	330974.02821955003	36004.22755259598	25.8622104671545	5.8821721612006685	0.5820463374664003	0.05775344695236738	0.00101	1e-4	0.02828	0.0027999999999999987	100
Gut vs Pan	302040.1029492266	33168.64785361249	68.21065004145855	12.062374894284263	0.7873676164264973	0.02824174915383745	0.00103	1.7144660799776524e-4	0.02884	0.004800505023937428	100
Gut vs Plaque	383040.91894587694	30371.342380144983	30.82614556560494	5.428279032735089	0.6269589426734374	0.04024649254398375	0.001	0	0.028	0	100
Gut vs Sediment	26496.236032862802	5062.123050914855	10.183232448634719	2.210488284395478	0.357578990769456	0.0484884079479849	0.00101	1e-4	0.02828	0.0027999999999999974	100
Gut vs Skin	278409.80643789744	23019.49269436002	31.305630123523606	5.056393111025428	0.6316144102680759	0.033168967092379244	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
Homo vs Pan	153103.16844851768	43914.34299695246	10.953168304380569	3.1056720742986546	0.3712759163505265	0.06669032595071984	0.0010400000000000001	1.9694638556693247e-4	0.02912	0.005514498795874108	100
Homo vs Plaque	151911.3785082692	32873.75272719966	6.927304382826818	1.8664486117390784	0.27394858928330207	0.05355165073196443	0.00108	3.0748244591432297e-4	0.03024	0.008609508485601046	100
Homo vs Sediment	291725.988771469	36043.88700488844	24.736455260714564	6.102950712811118	0.5701183181031008	0.062399520699325646	0.001	0	0.028	0	100
Homo vs Skin	225326.09040694145	41800.61431810964	12.305644688264376	3.051123982323209	0.4002752940356107	0.058586322405278286	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Pan vs Plaque	375742.1683177465	53545.40119972388	28.01002188607563	4.755560271749512	0.604745516375869	0.03984274154515155	0.00101	1e-4	0.02828	0.0028	100
Pan vs Sediment	268979.9852574007	32105.838590536237	77.57355542462108	13.595613905756638	0.8079814963413328	0.0265567545380133	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Pan vs Skin	402681.3604170842	48116.0930255976	40.985154117059444	6.343684217207249	0.6918247744536584	0.02874824276400041	0.001	0	0.028	0	100
Plaque vs Sediment	339675.2212052049	28248.39897821007	29.70205379106861	5.519525746031171	0.6178666465217028	0.0422864601076013	0.001	0	0.028	0	100
Plaque vs Skin	154195.08136652128	27185.298290318904	8.668741727161978	2.093962781917875	0.3211010625151146	0.051034911033603775	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Sediment vs Skin	259329.1310838719	24322.105771624214	32.76283644381125	5.666385791384298	0.6416980778444065	0.034263517011849015	0.001	0	0.028	0	100
