pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	129888.79565700583	27386.486535424243	12.278427427069111	4.836560369490704	0.3920764594375826	0.0864728416245262	0.00111	4.6914924075501784e-4	0.03108	0.013136178741140519	100
Control vs Gut	33438.44047279968	11529.778090276535	7.394884019210316	1.6659093181833096	0.2882900946864732	0.04495962419829899	0.0010400000000000001	1.9694638556693245e-4	0.02912	0.005514498795874112	100
Control vs Homo	144338.86188150625	44102.66641693959	10.61104302057065	4.112080536070858	0.35872074885160715	0.08673803706285765	0.00184	0.0018841175626533983	0.05152	0.05275529175429525	100
Control vs Pan	168394.451315769	32707.260915842005	28.70664861530097	11.321639055932488	0.5945712264071861	0.08842286337025904	0.00103	1.7144660799776505e-4	0.02884	0.004800505023937423	100
Control vs Plaque	252978.85177124475	32504.312245008132	21.891910355487614	6.767104251192709	0.5370093855594423	0.07217430669481875	0.001	0	0.028	0	100
Control vs Sediment	18562.393600807078	10562.821290440439	5.1476477170656025	2.139648717216461	0.21691217584661882	0.06086392312206367	0.0010400000000000001	1.9694638556693247e-4	0.02912	0.005514498795874111	100
Control vs Skin	178690.84898315097	25256.75469065712	20.185182450182218	5.484980681059187	0.519622207036454	0.06465175033208743	0.00103	1.7144660799776524e-4	0.02884	0.004800505023937427	100
Gorilla vs Gut	227344.8416107669	36173.91628828735	22.805371527031337	4.85621947603606	0.5527842823294183	0.05237491219897693	0.001	0	0.028	0	100
Gorilla vs Homo	68647.66262841082	21009.68717122449	3.4840971590046994	0.9850220168324162	0.16046241604376224	0.03769528801241116	0.00989	0.014129198222979334	0.24652000000000002	0.3058849879588501	100
Gorilla vs Pan	142873.4225269892	44119.51079201605	12.21917412418536	4.3874906005906675	0.3927138437697739	0.08228519408026568	0.00107	2.9318866956210297e-4	0.02996	0.008209282747738888	100
Gorilla vs Plaque	132897.0215215671	29085.644188910937	7.507575818191682	1.388743684815799	0.29231649116713176	0.03738466111424835	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816113	100
Gorilla vs Sediment	196089.43794784404	34034.489502200624	21.95265615899336	5.342413160182906	0.5417577897729386	0.0591560361622162	0.00101	1.0000000000000003e-4	0.02828	0.0027999999999999948	100
Gorilla vs Skin	143134.2828094598	35698.05573829009	9.700316994744748	2.2987683593704418	0.3460875745169696	0.050190247759157036	0.001	0	0.028	0	100
Gut vs Homo	253617.42648305566	59410.93030521654	19.849574726460705	5.3939587727313185	0.5149872001812146	0.06806538470444443	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Gut vs Pan	259996.67951359198	45173.696686409305	50.98192842811933	12.899138660145253	0.7305280954030752	0.047166039486578264	0.001	0	0.028	0	100
Gut vs Plaque	361654.57205924974	40344.0751595577	33.33557614588065	6.288256361467246	0.6442175873608139	0.04303462432603542	0.001	0	0.028	0	100
Gut vs Sediment	25777.80841827116	4101.558317203851	10.525996371333816	1.8118443821126122	0.3665544405706259	0.03906650724635767	0.00103	1.7144660799776505e-4	0.02884	0.004800505023937423	100
Gut vs Skin	251771.81712453254	36163.72298474578	31.271887967100152	5.53731303395331	0.6307082579814512	0.03635857704945111	0.00101	1e-4	0.02828	0.0027999999999999974	100
Homo vs Pan	118834.82632208138	38772.45100932165	8.039200954704983	2.297047118031422	0.3037374252116113	0.05766089654477306	0.00106	2.777979790634145e-4	0.02968	0.00777834341377559	100
Homo vs Plaque	127745.1397369524	31430.801028079448	6.259919924212935	1.5378313338479037	0.2551331050798452	0.046387295731078713	0.00118	6.723995925944731e-4	0.03304	0.018827188592645223	100
Homo vs Sediment	219789.5558344607	54908.41137622778	18.67918195480036	5.459881069298181	0.4986610110054002	0.07319794996248298	0.001	0	0.028	0	100
Homo vs Skin	162044.97424075386	44941.159692737696	9.252242853898439	2.7103055761041897	0.3335972625045697	0.06047196180364706	0.00102	1.407052941362898e-4	0.028560000000000002	0.003939748235816116	100
Pan vs Plaque	327008.1658556571	57773.68929205231	25.68692812552123	4.379666292127104	0.5838515630691117	0.04193225098878129	0.00102	1.4070529413628974e-4	0.028560000000000002	0.003939748235816114	100
Pan vs Sediment	229116.28800282875	42317.90891486311	56.19982277523336	16.826332745755597	0.7464679090982718	0.050469340272879804	0.00101	1e-4	0.02828	0.002799999999999998	100
Pan vs Skin	336972.5249118048	60364.739253818894	34.147199879909785	5.791158444568399	0.6510426825230792	0.03472804052915462	0.001	0	0.028	0	100
Plaque vs Sediment	321017.6151749416	37739.40282330838	32.68112576780268	6.833222452059637	0.6386884394375534	0.04686197179392135	0.00102	1.407052941362897e-4	0.028560000000000002	0.003939748235816112	100
Plaque vs Skin	130937.2559940138	27633.936357477363	8.548948268600473	2.5168396415620466	0.31628358928510303	0.061375462147817084	0.00109	3.785938897200191e-4	0.030520000000000002	0.01060062891216053	100
Sediment vs Skin	230769.52978649372	35577.20141185646	32.78714997472461	6.6772869098306344	0.6407040791801739	0.0388037477868773	0.001	0	0.028	0	100
