Combination	Taxon	Software	Tax_Level
Alouatta:Gorilla:Pan:Homo	Acidipropionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Actinoplanes	MALT	genus
Alouatta:Gorilla:Pan:Homo	Aggregatibacter	MALT	genus
Alouatta:Gorilla:Pan:Homo	Amycolatopsis	MALT	genus
Alouatta:Gorilla:Pan:Homo	Bacillus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Bacteroides	MALT	genus
Alouatta:Gorilla:Pan:Homo	Bifidobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Brachybacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	MALT	genus
Alouatta:Gorilla:Pan:Homo	Cellulomonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Clostridium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Desulfovibrio	MALT	genus
Alouatta:Gorilla:Pan:Homo	Eikenella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Enterococcus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Haemophilus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Isoptericola	MALT	genus
Alouatta:Gorilla:Pan:Homo	Kocuria	MALT	genus
Alouatta:Gorilla:Pan:Homo	Lactobacillus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Leptotrichia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Micromonospora	MALT	genus
Alouatta:Gorilla:Pan:Homo	Neisseria	MALT	genus
Alouatta:Gorilla:Pan:Homo	Nocardia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Nocardiopsis	MALT	genus
Alouatta:Gorilla:Pan:Homo	Olsenella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Paenibacillus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Porphyromonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Prevotella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Propionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Rothia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Tannerella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Tessaracoccus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Treponema	MALT	genus
Alouatta:Gorilla:Pan:Homo	Veillonella	MALT	genus
Pan	Acidaminococcus	MALT	genus
Pan	Adlercreutzia	MALT	genus
Pan	Alistipes	MALT	genus
Pan	Aminobacterium	MALT	genus
Pan	Barnesiella	MALT	genus
Pan	Butyrivibrio	MALT	genus
Pan	Candidatus_Methanomethylophilus	MALT	genus
Pan	Candidatus_Methanoplasma	MALT	genus
Pan	Cloacibacillus	MALT	genus
Pan	Coriobacterium	MALT	genus
Pan	Cryptobacterium	MALT	genus
Pan	Dehalococcoides	MALT	genus
Pan	Denitrobacterium	MALT	genus
Pan	Desulfitobacterium	MALT	genus
Pan	Desulfotomaculum	MALT	genus
Pan	Dialister	MALT	genus
Pan	Eubacterium	MALT	genus
Pan	Fermentimonas	MALT	genus
Pan	Finegoldia	MALT	genus
Pan	Flavonifractor	MALT	genus
Pan	Intestinimonas	MALT	genus
Pan	Lawsonella	MALT	genus
Pan	Mageeibacillus	MALT	genus
Pan	Mycoplasma	MALT	genus
Pan	Ndongobacter	MALT	genus
Pan	Odoribacter	MALT	genus
Pan	Oscillibacter	MALT	genus
Pan	Oxalobacter	MALT	genus
Pan	Parabacteroides	MALT	genus
Pan	Petrimonas	MALT	genus
Pan	Pyramidobacter	MALT	genus
Pan	Ruminiclostridium	MALT	genus
Pan	Ruminococcus	MALT	genus
Pan	Streptobacillus	MALT	genus
Pan	Thermanaerovibrio	MALT	genus
Pan	Thermococcus	MALT	genus
Alouatta	Basfia	MALT	genus
Alouatta	Bibersteinia	MALT	genus
Alouatta	Cardiobacterium	MALT	genus
Alouatta	Dickeya	MALT	genus
Alouatta	Dyadobacter	MALT	genus
Alouatta	Elizabethkingia	MALT	genus
Alouatta	Gallibacterium	MALT	genus
Alouatta	Glaesserella	MALT	genus
Alouatta	Kingella	MALT	genus
Alouatta	Kosakonia	MALT	genus
Alouatta	Laribacter	MALT	genus
Alouatta	Listeria	MALT	genus
Alouatta	Pectobacterium	MALT	genus
Alouatta	Riemerella	MALT	genus
Alouatta	Yersinia	MALT	genus
Alouatta:Gorilla:Pan	Aeromonas	MALT	genus
Alouatta:Gorilla:Pan	Cellulosimicrobium	MALT	genus
Alouatta:Gorilla:Pan	Frankia	MALT	genus
Alouatta:Gorilla:Pan	Friedmanniella	MALT	genus
Alouatta:Gorilla:Pan	Halomonas	MALT	genus
Alouatta:Gorilla:Pan	Jiangella	MALT	genus
Alouatta:Gorilla:Pan	Microlunatus	MALT	genus
Alouatta:Gorilla:Pan	Nonomuraea	MALT	genus
Alouatta:Gorilla:Pan	Sanguibacter	MALT	genus
Alouatta:Gorilla:Pan	Sinomonas	MALT	genus
Alouatta:Gorilla	Actinobacillus	MALT	genus
Alouatta:Gorilla	Cronobacter	MALT	genus
Alouatta:Gorilla	Mannheimia	MALT	genus
Alouatta:Gorilla	Pasteurella	MALT	genus
Alouatta:Gorilla	Salmonella	MALT	genus
Alouatta:Gorilla	Vibrio	MALT	genus
Gorilla:Pan	Atopobium	MALT	genus
Gorilla:Pan	Eggerthella	MALT	genus
Gorilla:Pan	Faecalibacterium	MALT	genus
Gorilla:Pan	Libanicoccus	MALT	genus
Gorilla:Pan	Slackia	MALT	genus
Gorilla:Pan	Trueperella	MALT	genus
Gorilla:Pan:Homo	Clostridioides	MALT	genus
Gorilla:Pan:Homo	Fretibacterium	MALT	genus
Gorilla:Pan:Homo	Geobacter	MALT	genus
Gorilla:Pan:Homo	Gordonibacter	MALT	genus
Gorilla:Pan:Homo	Lachnoclostridium	MALT	genus
Gorilla:Pan:Homo	Mogibacterium	MALT	genus
Pan:Homo	Blautia	MALT	genus
Pan:Homo	Desulfobulbus	MALT	genus
Pan:Homo	Desulfomicrobium	MALT	genus
Pan:Homo	Filifactor	MALT	genus
Pan:Homo	Murdochiella	MALT	genus
Pan:Homo	Parvimonas	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Actinomyces	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Bordetella	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Corynebacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Mycobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Streptococcus	MALT	genus
Alouatta:Pan	Actinoalloteichus	MALT	genus
Alouatta:Pan	Chryseobacterium	MALT	genus
Alouatta:Pan	Histophilus	MALT	genus
Alouatta:Pan	Megasphaera	MALT	genus
Alouatta:Pan:Homo	Gemella	MALT	genus
Control	Methylotenera	MALT	genus
