Combination	Taxon	Software	Tax_Level
Pan	Adlercreutzia	MALT	genus
Pan	Alistipes	MALT	genus
Pan	Atopobium	MALT	genus
Pan	Bacteroides	MALT	genus
Pan	Candidatus_Methanomethylophilus	MALT	genus
Pan	Clostridioides	MALT	genus
Pan	Cryptobacterium	MALT	genus
Pan	Desulfobulbus	MALT	genus
Pan	Dialister	MALT	genus
Pan	Eggerthella	MALT	genus
Pan	Eubacterium	MALT	genus
Pan	Faecalibacterium	MALT	genus
Pan	Fermentimonas	MALT	genus
Pan	Gordonibacter	MALT	genus
Pan	Lachnoclostridium	MALT	genus
Pan	Lawsonella	MALT	genus
Pan	Libanicoccus	MALT	genus
Pan	Murdochiella	MALT	genus
Pan	Paenibacillus	MALT	genus
Pan	Petrimonas	MALT	genus
Pan	Pyramidobacter	MALT	genus
Pan	Slackia	MALT	genus
Alouatta:Gorilla	Acidipropionibacterium	MALT	genus
Alouatta:Gorilla	Actinobacillus	MALT	genus
Alouatta:Gorilla	Basfia	MALT	genus
Alouatta:Gorilla	Bordetella	MALT	genus
Alouatta:Gorilla	Brachybacterium	MALT	genus
Alouatta:Gorilla	Enterococcus	MALT	genus
Alouatta:Gorilla	Friedmanniella	MALT	genus
Alouatta:Gorilla	Haemophilus	MALT	genus
Alouatta:Gorilla	Kocuria	MALT	genus
Alouatta:Gorilla	Lactobacillus	MALT	genus
Alouatta:Gorilla	Mannheimia	MALT	genus
Alouatta:Gorilla	Pasteurella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Actinomyces	MALT	genus
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	MALT	genus
Alouatta:Gorilla:Pan:Homo	Clostridium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Corynebacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Prevotella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Propionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Tessaracoccus	MALT	genus
Alouatta	Actinoplanes	MALT	genus
Alouatta	Cellulomonas	MALT	genus
Alouatta	Chryseobacterium	MALT	genus
Alouatta	Glaesserella	MALT	genus
Alouatta	Histophilus	MALT	genus
Alouatta	Kingella	MALT	genus
Pan:Homo	Desulfomicrobium	MALT	genus
Pan:Homo	Filifactor	MALT	genus
Pan:Homo	Mogibacterium	MALT	genus
Pan:Homo	Parvimonas	MALT	genus
Pan:Homo	Porphyromonas	MALT	genus
Pan:Homo	Treponema	MALT	genus
Alouatta:Gorilla:Homo	Aggregatibacter	MALT	genus
Alouatta:Gorilla:Homo	Eikenella	MALT	genus
Alouatta:Gorilla:Homo	Neisseria	MALT	genus
Alouatta:Gorilla:Homo	Rothia	MALT	genus
Alouatta:Gorilla:Pan	Bacillus	MALT	genus
Alouatta:Gorilla:Pan	Bifidobacterium	MALT	genus
Alouatta:Gorilla:Pan	Micromonospora	MALT	genus
Alouatta:Gorilla:Pan	Nocardia	MALT	genus
Gorilla:Pan:Homo	Desulfovibrio	MALT	genus
Gorilla:Pan:Homo	Fretibacterium	MALT	genus
Gorilla:Pan:Homo	Olsenella	MALT	genus
Gorilla:Pan:Homo	Tannerella	MALT	genus
Alouatta:Homo	Leptotrichia	MALT	genus
Alouatta:Homo	Veillonella	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Mycobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Streptococcus	MALT	genus
Alouatta:Pan	Amycolatopsis	MALT	genus
Alouatta:Pan:Homo	Gemella	MALT	genus
