Combination	Taxon	Software	Tax_Level
Pan	Alloprevotella	MALT	genus
Pan	Aminobacterium	MALT	genus
Pan	Aminomonas	MALT	genus
Pan	Anaerococcus	MALT	genus
Pan	Anaerotruncus	MALT	genus
Pan	Arabia	MALT	genus
Pan	Bilophila	MALT	genus
Pan	Blautia	MALT	genus
Pan	Butyricicoccus	MALT	genus
Pan	Butyrivibrio	MALT	genus
Pan	Candidatus_Methanomethylophilus	MALT	genus
Pan	Cloacibacillus	MALT	genus
Pan	Cryptobacterium	MALT	genus
Pan	Denitrobacterium	MALT	genus
Pan	Dorea	MALT	genus
Pan	Emergencia	MALT	genus
Pan	Enterorhabdus	MALT	genus
Pan	Gemmiger	MALT	genus
Pan	Hungatella	MALT	genus
Pan	Intestinimonas	MALT	genus
Pan	Jonquetella	MALT	genus
Pan	Lachnoclostridium	MALT	genus
Pan	Lawsonella	MALT	genus
Pan	Mitsuokella	MALT	genus
Pan	Oscillibacter	MALT	genus
Pan	Parabacteroides	MALT	genus
Pan	Paraeggerthella	MALT	genus
Pan	Propionivibrio	MALT	genus
Pan	Pseudoramibacter	MALT	genus
Pan	Raoultibacter	MALT	genus
Pan	Ruminiclostridium	MALT	genus
Pan	Senegalimassilia	MALT	genus
Pan	Stomatobaculum	MALT	genus
Pan	Streptobacillus	MALT	genus
Pan	Subdoligranulum	MALT	genus
Pan	Thermanaerovibrio	MALT	genus
Pan	Tissierella	MALT	genus
Pan	Xylanimonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Atopobium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Bifidobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	MALT	genus
Alouatta:Gorilla:Pan:Homo	Cardiobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Cellulomonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Centipeda	MALT	genus
Alouatta:Gorilla:Pan:Homo	Eikenella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Leptotrichia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Paenibacillus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Porphyromonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Propionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Tannerella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Tessaracoccus	MALT	genus
Alouatta:Gorilla:Pan:Homo	Treponema	MALT	genus
Alouatta:Gorilla:Pan:Homo	Veillonella	MALT	genus
Alouatta	Alysiella	MALT	genus
Alouatta	Avibacterium	MALT	genus
Alouatta	Basfia	MALT	genus
Alouatta	Bibersteinia	MALT	genus
Alouatta	Chryseobacterium	MALT	genus
Alouatta	Conchiformibius	MALT	genus
Alouatta	Dickeya	MALT	genus
Alouatta	Gallibacterium	MALT	genus
Alouatta	Glaesserella	MALT	genus
Alouatta	Histophilus	MALT	genus
Alouatta	Mannheimia	MALT	genus
Alouatta	Necropsobacter	MALT	genus
Alouatta	Paenarthrobacter	MALT	genus
Alouatta	Riemerella	MALT	genus
Alouatta	Rodentibacter	MALT	genus
Pan:Homo	Catonella	MALT	genus
Pan:Homo	Desulfomicrobium	MALT	genus
Pan:Homo	Eggerthia	MALT	genus
Pan:Homo	Filifactor	MALT	genus
Pan:Homo	Lachnoanaerobaculum	MALT	genus
Pan:Homo	Mogibacterium	MALT	genus
Pan:Homo	Parvimonas	MALT	genus
Pan:Homo	Peptoanaerobacter	MALT	genus
Pan:Homo	Peptoniphilus	MALT	genus
Pan:Homo	Phocaeicola	MALT	genus
Pan:Homo	Ruminococcus	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Actinomyces	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Bacteroides	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Candidatus_Kryptonium	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Clostridium	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Corynebacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Neisseria	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Olsenella	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Prevotella	MALT	genus
Alouatta:Gorilla:Pan:Homo:Control	Streptococcus	MALT	genus
Gorilla:Pan:Homo	Collinsella	MALT	genus
Gorilla:Pan:Homo	Desulfobulbus	MALT	genus
Gorilla:Pan:Homo	Desulfovibrio	MALT	genus
Gorilla:Pan:Homo	Dialister	MALT	genus
