Combination	Taxon	Software	Tax_Level
Pan	[Clostridium]_saccharolyticum	MALT	species
Pan	Adlercreutzia_equolifaciens	MALT	species
Pan	Alistipes_shahii	MALT	species
Pan	Aminobacterium_colombiense	MALT	species
Pan	Atopobium_parvulum	MALT	species
Pan	Bacteroides_cellulosilyticus	MALT	species
Pan	Bacteroides_dorei	MALT	species
Pan	Bacteroides_fragilis	MALT	species
Pan	Bacteroides_helcogenes	MALT	species
Pan	Bacteroides_salanitronis	MALT	species
Pan	Bacteroides_thetaiotaomicron	MALT	species
Pan	Bacteroides_vulgatus	MALT	species
Pan	Barnesiella_viscericola	MALT	species
Pan	Bifidobacterium_animalis	MALT	species
Pan	Bifidobacterium_bifidum	MALT	species
Pan	Bifidobacterium_dentium	MALT	species
Pan	butyrate-producing_bacterium_SS3/4	MALT	species
Pan	Candidatus_Methanomethylophilus_alvus	MALT	species
Pan	Candidatus_Methanoplasma_termitum	MALT	species
Pan	Chryseobacterium_gallinarum	MALT	species
Pan	Cloacibacillus_porcorum	MALT	species
Pan	Clostridium_sp._SY8519	MALT	species
Pan	Coriobacteriaceae_bacterium_68-1-3	MALT	species
Pan	Coriobacterium_glomerans	MALT	species
Pan	Cryptobacterium_curtum	MALT	species
Pan	Dehalococcoides_mccartyi	MALT	species
Pan	Denitrobacterium_detoxificans	MALT	species
Pan	Desulfovibrio_fairfieldensis	MALT	species
Pan	Desulfovibrio_piger	MALT	species
Pan	Dialister_pneumosintes	MALT	species
Pan	Eggerthella_sp._YY7918	MALT	species
Pan	Eubacterium_limosum	MALT	species
Pan	Fermentimonas_caenicola	MALT	species
Pan	Finegoldia_magna	MALT	species
Pan	Flavonifractor_plautii	MALT	species
Pan	Gordonibacter_pamelaeae	MALT	species
Pan	Gordonibacter_urolithinfaciens	MALT	species
Pan	Intestinimonas_butyriciproducens	MALT	species
Pan	Lachnoclostridium_phocaeense	MALT	species
Pan	Lachnoclostridium_sp._YL32	MALT	species
Pan	Lawsonella_clevelandensis	MALT	species
Pan	Mageeibacillus_indolicus	MALT	species
Pan	methanogenic_archaeon_ISO4-H5	MALT	species
Pan	methanogenic_archaeon_mixed_culture_ISO4-G1	MALT	species
Pan	Ndongobacter_massiliensis	MALT	species
Pan	Odoribacter_splanchnicus	MALT	species
Pan	Oscillibacter_valericigenes	MALT	species
Pan	Pelobacter_acetylenicus	MALT	species
Pan	Prevotella_melaninogenica	MALT	species
Pan	Prevotella_sp._oral_taxon_299	MALT	species
Pan	Pyramidobacter_piscolens	MALT	species
Pan	Ruminococcaceae_bacterium_CPB6	MALT	species
Pan	Streptobacillus_moniliformis	MALT	species
Pan	Thermanaerovibrio_acidaminovorans	MALT	species
Pan	Thermoplasmatales_archaeon_BRNA1	MALT	species
Pan	Treponema_brennaborense	MALT	species
Pan	uncultured_archaeon	MALT	species
Alouatta:Gorilla	[Mannheimia]_succiniciproducens	MALT	species
Alouatta:Gorilla	Actinobacillus_pleuropneumoniae	MALT	species
Alouatta:Gorilla	Actinobacillus_succinogenes	MALT	species
Alouatta:Gorilla	Actinobacillus_suis	MALT	species
Alouatta:Gorilla	Arthrobacter_sp._YC-RL1	MALT	species
Alouatta:Gorilla	Bibersteinia_trehalosi	MALT	species
Alouatta:Gorilla	Enterococcus_faecalis	MALT	species
Alouatta:Gorilla	Gallibacterium_anatis	MALT	species
Alouatta:Gorilla	Glaesserella_parasuis	MALT	species
Alouatta:Gorilla	Haemophilus_influenzae	MALT	species
Alouatta:Gorilla	Haemophilus_pittmaniae	MALT	species
Alouatta:Gorilla	Kingella_kingae	MALT	species
Alouatta:Gorilla	Mannheimia_haemolytica	MALT	species
Alouatta:Gorilla	Mannheimia_varigena	MALT	species
Alouatta:Gorilla	Neisseria_sp._10022	MALT	species
Alouatta:Gorilla	Neisseria_sp._10023	MALT	species
Alouatta:Gorilla	Neisseria_weaveri	MALT	species
Alouatta:Gorilla	Neisseria_zoodegmatis	MALT	species
Alouatta:Gorilla	Pasteurella_dagmatis	MALT	species
Alouatta:Gorilla	Pasteurella_multocida	MALT	species
Alouatta:Gorilla	Pasteurellaceae_bacterium_NI1060	MALT	species
Alouatta:Gorilla	Rothia_dentocariosa	MALT	species
Alouatta:Gorilla	Rothia_mucilaginosa	MALT	species
Alouatta:Gorilla	Salmonella_enterica	MALT	species
Alouatta:Gorilla	Selenomonas_sp._oral_taxon_478	MALT	species
Alouatta:Gorilla	Streptococcus_acidominimus	MALT	species
Alouatta:Gorilla	Streptococcus_gallolyticus	MALT	species
Alouatta:Gorilla	Streptococcus_himalayensis	MALT	species
Alouatta:Gorilla	Streptococcus_marmotae	MALT	species
Alouatta:Gorilla	Streptococcus_merionis	MALT	species
Alouatta:Gorilla	Streptococcus_mutans	MALT	species
Alouatta:Gorilla	Streptococcus_pantholopis	MALT	species
Alouatta:Gorilla	Streptococcus_parasanguinis	MALT	species
Alouatta:Gorilla	Streptococcus_pseudopneumoniae	MALT	species
Alouatta:Gorilla	Streptococcus_sp._A12	MALT	species
Alouatta:Gorilla	Streptococcus_sp._I-G2	MALT	species
Alouatta:Gorilla	Streptococcus_sp._I-P16	MALT	species
Alouatta:Gorilla	Streptococcus_sp._oral_taxon_064	MALT	species
Alouatta:Gorilla	Streptococcus_sp._oral_taxon_431	MALT	species
Alouatta:Gorilla	Streptococcus_thermophilus	MALT	species
Alouatta:Gorilla	Streptococcus_troglodytae	MALT	species
Alouatta:Gorilla:Pan:Homo	Acidipropionibacterium_acidipropionici	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_hongkongensis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_meyeri	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_oris	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_radicidentis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._Chiba101	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_succiniciruminis	MALT	species
Alouatta:Gorilla:Pan:Homo	Campylobacter_gracilis	MALT	species
Alouatta:Gorilla:Pan:Homo	Capnocytophaga_gingivalis	MALT	species
Alouatta:Gorilla:Pan:Homo	Capnocytophaga_sputigena	MALT	species
Alouatta:Gorilla:Pan:Homo	Eikenella_corrodens	MALT	species
Alouatta:Gorilla:Pan:Homo	Fusobacterium_hwasookii	MALT	species
Alouatta:Gorilla:Pan:Homo	Fusobacterium_nucleatum	MALT	species
Alouatta:Gorilla:Pan:Homo	Fusobacterium_sp._oral_taxon_203	MALT	species
Alouatta:Gorilla:Pan:Homo	Ottowia_sp._oral_taxon_894	MALT	species
Alouatta:Gorilla:Pan:Homo	Porphyromonas_gingivalis	MALT	species
Alouatta:Gorilla:Pan:Homo	Prevotella_intermedia	MALT	species
Alouatta:Gorilla:Pan:Homo	Propionibacterium_freudenreichii	MALT	species
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium_propionicum	MALT	species
Alouatta:Gorilla:Pan:Homo	Selenomonas_sp._oral_taxon_126	MALT	species
Alouatta:Gorilla:Pan:Homo	Selenomonas_sp._oral_taxon_920	MALT	species
Alouatta:Gorilla:Pan:Homo	Selenomonas_sputigena	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_agalactiae	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_anginosus	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_constellatus	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_dysgalactiae	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_equi	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_gordonii	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_intermedius	MALT	species
Alouatta:Gorilla:Pan:Homo	Streptococcus_pyogenes	MALT	species
Alouatta:Gorilla:Pan:Homo	Tannerella_forsythia	MALT	species
Alouatta:Gorilla:Pan:Homo	Tannerella_sp._oral_taxon_HOT-286	MALT	species
Alouatta:Gorilla:Pan:Homo	Tessaracoccus_sp._T2.5-30	MALT	species
Alouatta	[Haemophilus]_ducreyi	MALT	species
Alouatta	Actinobacillus_equuli	MALT	species
Alouatta	Cardiobacterium_hominis	MALT	species
Alouatta	Dyadobacter_fermentans	MALT	species
Alouatta	Enterobacter_cloacae	MALT	species
Alouatta	Enterococcus_cecorum	MALT	species
Alouatta	Enterococcus_faecium	MALT	species
Alouatta	Lactococcus_garvieae	MALT	species
Alouatta	Lactococcus_raffinolactis	MALT	species
Alouatta	Laribacter_hongkongensis	MALT	species
Alouatta	Leptotrichia_sp._oral_taxon_498	MALT	species
Alouatta	Leptotrichia_sp._oral_taxon_847	MALT	species
Alouatta	Listeria_monocytogenes	MALT	species
Alouatta	Mannheimia_sp._USDA-ARS-USMARC-1261	MALT	species
Alouatta	Riemerella_anatipestifer	MALT	species
Alouatta	Streptococcus_canis	MALT	species
Alouatta	Streptococcus_criceti	MALT	species
Alouatta	Streptococcus_equinus	MALT	species
Alouatta	Streptococcus_infantarius	MALT	species
Alouatta	Streptococcus_lutetiensis	MALT	species
Alouatta	Streptococcus_macedonicus	MALT	species
Alouatta	Streptococcus_orisuis	MALT	species
Alouatta	Streptococcus_parauberis	MALT	species
Alouatta	Streptococcus_uberis	MALT	species
Alouatta	Veillonella_rodentium	MALT	species
Alouatta:Gorilla:Homo	Aggregatibacter_actinomycetemcomitans	MALT	species
Alouatta:Gorilla:Homo	Aggregatibacter_aphrophilus	MALT	species
Alouatta:Gorilla:Homo	Haemophilus_parainfluenzae	MALT	species
Alouatta:Gorilla:Homo	Neisseria_elongata	MALT	species
Alouatta:Gorilla:Homo	Neisseria_gonorrhoeae	MALT	species
Alouatta:Gorilla:Homo	Neisseria_lactamica	MALT	species
Alouatta:Gorilla:Homo	Neisseria_meningitidis	MALT	species
Alouatta:Gorilla:Homo	Neisseria_sicca	MALT	species
Alouatta:Gorilla:Homo	Neisseria_sp._KEM232	MALT	species
Alouatta:Gorilla:Homo	Rothia_aeria	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_cristatus	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_mitis	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_oralis	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_pneumoniae	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_salivarius	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_sanguinis	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_sp._NPS_308	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_sp._VT_162	MALT	species
Alouatta:Gorilla:Homo	Streptococcus_suis	MALT	species
Gorilla:Pan	Actinomyces_pacaensis	MALT	species
Gorilla:Pan	Actinomyces_radingae	MALT	species
Gorilla:Pan	Bifidobacterium_longum	MALT	species
Gorilla:Pan	Eggerthella_lenta	MALT	species
Gorilla:Pan	Faecalibacterium_prausnitzii	MALT	species
Gorilla:Pan	Gordonibacter_massiliensis	MALT	species
Gorilla:Pan	Libanicoccus_massiliensis	MALT	species
Gorilla:Pan	Prevotella_dentalis	MALT	species
Gorilla:Pan	Prevotella_denticola	MALT	species
Gorilla:Pan	Prevotella_enoeca	MALT	species
Gorilla:Pan	Prevotella_fusca	MALT	species
Gorilla:Pan	Slackia_heliotrinireducens	MALT	species
Gorilla:Pan	Trueperella_pyogenes	MALT	species
Gorilla:Pan:Homo	[Eubacterium]_sulci	MALT	species
Gorilla:Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439	MALT	species
Gorilla:Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x	MALT	species
Gorilla:Pan:Homo	Clostridioides_difficile	MALT	species
Gorilla:Pan:Homo	Fretibacterium_fastidiosum	MALT	species
Gorilla:Pan:Homo	Mogibacterium_pumilum	MALT	species
Gorilla:Pan:Homo	Olsenella_sp._oral_taxon_807	MALT	species
Gorilla:Pan:Homo	Olsenella_uli	MALT	species
Gorilla:Pan:Homo	Olsenella_umbonata	MALT	species
Pan:Homo	[Eubacterium]_minutum	MALT	species
Pan:Homo	Desulfobulbus_propionicus	MALT	species
Pan:Homo	Desulfomicrobium_orale	MALT	species
Pan:Homo	Filifactor_alocis	MALT	species
Pan:Homo	Murdochiella_vaginalis	MALT	species
Pan:Homo	Parvimonas_micra	MALT	species
Pan:Homo	Treponema_denticola	MALT	species
Pan:Homo	Treponema_putidum	MALT	species
Pan:Homo	Treponema_sp._OMZ_838	MALT	species
Alouatta:Gorilla:Pan	Cutibacterium_avidum	MALT	species
Alouatta:Gorilla:Pan	Histophilus_somni	MALT	species
Alouatta:Gorilla:Pan	Olsenella_sp._Marseille-P2300	MALT	species
Alouatta:Gorilla:Pan	Sanguibacter_keddieii	MALT	species
Alouatta:Gorilla:Pan	Selenomonas_sp._oral_taxon_136	MALT	species
Alouatta:Gorilla:Pan	Tessaracoccus_aquimaris	MALT	species
Alouatta:Gorilla:Pan	Tessaracoccus_flavescens	MALT	species
Alouatta:Gorilla:Pan	Tessaracoccus_flavus	MALT	species
Alouatta:Pan:Homo	Campylobacter_concisus	MALT	species
Alouatta:Pan:Homo	Campylobacter_curvus	MALT	species
Alouatta:Pan:Homo	Capnocytophaga_ochracea	MALT	species
Alouatta:Pan:Homo	Capnocytophaga_sp._oral_taxon_323	MALT	species
