Combination	Taxon	Software	Tax_Level
Alouatta	Actinobacillus_pleuropneumoniae	MALT	species
Alouatta	Avibacterium_endocarditidis	MALT	species
Alouatta	Basfia_succiniciproducens	MALT	species
Alouatta	Bibersteinia_trehalosi	MALT	species
Alouatta	Campylobacter_curvus	MALT	species
Alouatta	Capnocytophaga_sp._ChDC_OS43	MALT	species
Alouatta	Capnocytophaga_sp._oral_taxon_329	MALT	species
Alouatta	Capnocytophaga_sp._oral_taxon_332	MALT	species
Alouatta	Capnocytophaga_sp._oral_taxon_336	MALT	species
Alouatta	Capnocytophaga_sp._oral_taxon_338	MALT	species
Alouatta	Capnocytophaga_sp._oral_taxon_863	MALT	species
Alouatta	Capnocytophaga_sp._oral_taxon_878	MALT	species
Alouatta	Conchiformibius_kuhniae	MALT	species
Alouatta	Eikenella_sp._HMSC061C02	MALT	species
Alouatta	Ensifer_sp._ZNC0028	MALT	species
Alouatta	Enterococcus_faecalis	MALT	species
Alouatta	Fusobacterium_massiliense	MALT	species
Alouatta	Fusobacterium_sp._HMSC064B11	MALT	species
Alouatta	Fusobacterium_sp._HMSC064B12	MALT	species
Alouatta	Fusobacterium_sp._oral_taxon_203	MALT	species
Alouatta	Fusobacterium_sp._oral_taxon_370	MALT	species
Alouatta	Gallibacterium_anatis	MALT	species
Alouatta	Gemella_cuniculi	MALT	species
Alouatta	Gemella_haemolysans	MALT	species
Alouatta	Gemella_sanguinis	MALT	species
Alouatta	Glaesserella_parasuis	MALT	species
Alouatta	Haemophilus_haemoglobinophilus	MALT	species
Alouatta	Haemophilus_haemolyticus	MALT	species
Alouatta	Haemophilus_influenzae	MALT	species
Alouatta	Haemophilus_massiliensis	MALT	species
Alouatta	Haemophilus_paracuniculus	MALT	species
Alouatta	Haemophilus_pittmaniae	MALT	species
Alouatta	Histophilus_somni	MALT	species
Alouatta	Kingella_denitrificans	MALT	species
Alouatta	Kingella_kingae	MALT	species
Alouatta	Kingella_oralis	MALT	species
Alouatta	Kocuria_kristinae	MALT	species
Alouatta	Lactococcus_raffinolactis	MALT	species
Alouatta	Leptotrichia_goodfellowii	MALT	species
Alouatta	Leptotrichia_sp._oral_taxon_215	MALT	species
Alouatta	Leptotrichia_wadei	MALT	species
Alouatta	Mannheimia_haemolytica	MALT	species
Alouatta	Mannheimia_varigena	MALT	species
Alouatta	Megasphaera_micronuciformis	MALT	species
Alouatta	Necropsobacter_massiliensis	MALT	species
Alouatta	Neisseria_bacilliformis	MALT	species
Alouatta	Neisseria_gonorrhoeae	MALT	species
Alouatta	Neisseria_lactamica	MALT	species
Alouatta	Neisseria_macacae	MALT	species
Alouatta	Neisseria_meningitidis	MALT	species
Alouatta	Neisseria_shayeganii	MALT	species
Alouatta	Neisseria_sp._10023	MALT	species
Alouatta	Neisseria_sp._HMSC31F04	MALT	species
Alouatta	Neisseria_sp._KEM232	MALT	species
Alouatta	Neisseria_sp._oral_taxon_020	MALT	species
Alouatta	Neisseria_wadsworthii	MALT	species
Alouatta	Neisseria_zoodegmatis	MALT	species
Alouatta	Paenarthrobacter_nicotinovorans	MALT	species
Alouatta	Pasteurella_dagmatis	MALT	species
Alouatta	Pasteurella_multocida	MALT	species
Alouatta	Pasteurella_testudinis	MALT	species
Alouatta	Pasteurellaceae_bacterium_NI1060	MALT	species
Alouatta	Riemerella_anatipestifer	MALT	species
Alouatta	Rodentibacter_pneumotropicus	MALT	species
Alouatta	Rothia_dentocariosa	MALT	species
Alouatta	Rothia_mucilaginosa	MALT	species
Alouatta	Rothia_sp._HMSC068F09	MALT	species
Alouatta	Selenomonas_artemidis	MALT	species
Alouatta	Selenomonas_sp._F0473	MALT	species
Alouatta	Selenomonas_sp._oral_taxon_138	MALT	species
Alouatta	Streptococcus_agalactiae	MALT	species
Alouatta	Streptococcus_australis	MALT	species
Alouatta	Streptococcus_caballi	MALT	species
Alouatta	Streptococcus_canis	MALT	species
Alouatta	Streptococcus_castoreus	MALT	species
Alouatta	Streptococcus_devriesei	MALT	species
Alouatta	Streptococcus_didelphis	MALT	species
Alouatta	Streptococcus_entericus	MALT	species
Alouatta	Streptococcus_ferus	MALT	species
Alouatta	Streptococcus_gallolyticus	MALT	species
Alouatta	Streptococcus_halotolerans	MALT	species
Alouatta	Streptococcus_henryi	MALT	species
Alouatta	Streptococcus_infantis	MALT	species
Alouatta	Streptococcus_iniae	MALT	species
Alouatta	Streptococcus_macedonicus	MALT	species
Alouatta	Streptococcus_merionis	MALT	species
Alouatta	Streptococcus_mitis	MALT	species
Alouatta	Streptococcus_orisratti	MALT	species
Alouatta	Streptococcus_ovis	MALT	species
Alouatta	Streptococcus_pantholopis	MALT	species
Alouatta	Streptococcus_parasanguinis	MALT	species
Alouatta	Streptococcus_parauberis	MALT	species
Alouatta	Streptococcus_peroris	MALT	species
Alouatta	Streptococcus_pluranimalium	MALT	species
Alouatta	Streptococcus_plurextorum	MALT	species
Alouatta	Streptococcus_porci	MALT	species
Alouatta	Streptococcus_porcinus	MALT	species
Alouatta	Streptococcus_pseudopneumoniae	MALT	species
Alouatta	Streptococcus_pyogenes	MALT	species
Alouatta	Streptococcus_salivarius	MALT	species
Alouatta	Streptococcus_sobrinus	MALT	species
Alouatta	Streptococcus_sp._2_1_36FAA	MALT	species
Alouatta	Streptococcus_sp._400_SSPC	MALT	species
Alouatta	Streptococcus_sp._DD10	MALT	species
Alouatta	Streptococcus_sp._DD13	MALT	species
Alouatta	Streptococcus_sp._F0441	MALT	species
Alouatta	Streptococcus_sp._F0442	MALT	species
Alouatta	Streptococcus_sp._HMSC062B01	MALT	species
Alouatta	Streptococcus_sp._HMSC062D07	MALT	species
Alouatta	Streptococcus_sp._HMSC063B03	MALT	species
Alouatta	Streptococcus_sp._HMSC067H01	MALT	species
Alouatta	Streptococcus_sp._HMSC071D03	MALT	species
Alouatta	Streptococcus_sp._HMSC10A01	MALT	species
Alouatta	Streptococcus_sp._HPH0090	MALT	species
Alouatta	Streptococcus_sp._I-P16	MALT	species
Alouatta	Streptococcus_sp._NLAE-zl-C503	MALT	species
Alouatta	Streptococcus_sp._oral_taxon_058	MALT	species
Alouatta	Streptococcus_suis	MALT	species
Alouatta	Streptococcus_thermophilus	MALT	species
Alouatta	Streptococcus_thoraltensis	MALT	species
Alouatta	Streptococcus_uberis	MALT	species
Alouatta	Veillonella_rodentium	MALT	species
Pan	[Eubacterium]_sulci	MALT	species
Pan	Actinomyces_sp._HMSC035G02	MALT	species
Pan	Actinomyces_sp._oral_taxon_178	MALT	species
Pan	Actinomyces_turicensis	MALT	species
Pan	Alloprevotella_tannerae	MALT	species
Pan	Aminobacterium_colombiense	MALT	species
Pan	Aminomonas_paucivorans	MALT	species
Pan	Arabia_massiliensis	MALT	species
Pan	Atopobium_parvulum	MALT	species
Pan	Atopobium_sp._oral_taxon_810	MALT	species
Pan	Bacteroidales_bacterium_WCE2004	MALT	species
Pan	Bacteroides_pyogenes	MALT	species
Pan	Bifidobacterium_dentium	MALT	species
Pan	Bilophila_wadsworthia	MALT	species
Pan	Butyrivibrio_fibrisolvens	MALT	species
Pan	Candidatus_Methanomethylophilus_alvus	MALT	species
Pan	Coriobacteriaceae_bacterium_68-1-3	MALT	species
Pan	Cryptobacterium_curtum	MALT	species
Pan	Denitrobacterium_detoxificans	MALT	species
Pan	Desulfobulbus_elongatus	MALT	species
Pan	Eggerthella_lenta	MALT	species
Pan	Emergencia_timonensis	MALT	species
Pan	Enterorhabdus_caecimuris	MALT	species
Pan	Enterorhabdus_mucosicola	MALT	species
Pan	Eubacterium_pyruvativorans	MALT	species
Pan	Faecalibacterium_prausnitzii	MALT	species
Pan	Fusobacterium_naviforme	MALT	species
Pan	Fusobacterium_necrophorum	MALT	species
Pan	Gemella_bergeri	MALT	species
Pan	Gemmiger_formicilis	MALT	species
Pan	Gordonibacter_massiliensis	MALT	species
Pan	Gordonibacter_pamelaeae	MALT	species
Pan	Gordonibacter_urolithinfaciens	MALT	species
Pan	Hungatella_hathewayi	MALT	species
Pan	Intestinimonas_butyriciproducens	MALT	species
Pan	Jonquetella_anthropi	MALT	species
Pan	Lawsonella_clevelandensis	MALT	species
Pan	methanogenic_archaeon_ISO4-H5	MALT	species
Pan	Olsenella_phocaeensis	MALT	species
Pan	Olsenella_provencensis	MALT	species
Pan	Olsenella_sp._HMSC062G07	MALT	species
Pan	Olsenella_sp._Marseille-P2300	MALT	species
Pan	Olsenella_umbonata	MALT	species
Pan	Olsenella_urininfantis	MALT	species
Pan	Parabacteroides_merdae	MALT	species
Pan	Paraeggerthella_hongkongensis	MALT	species
Pan	Parvimonas_sp._KA00067	MALT	species
Pan	Peptostreptococcaceae_bacterium_pGA-8	MALT	species
Pan	Porphyromonas_gulae	MALT	species
Pan	Prevotella_enoeca	MALT	species
Pan	Prevotella_maculosa	MALT	species
Pan	Prevotella_micans	MALT	species
Pan	Prevotella_nigrescens	MALT	species
Pan	Prevotella_sp._KH2C16	MALT	species
Pan	Propionivibrio_dicarboxylicus	MALT	species
Pan	Pseudoramibacter_alactolyticus	MALT	species
Pan	Raoultibacter_massiliensis	MALT	species
Pan	Raoultibacter_timonensis	MALT	species
Pan	Ruminococcaceae_bacterium	MALT	species
Pan	Senegalimassilia_anaerobia	MALT	species
Pan	Slackia_heliotrinireducens	MALT	species
Pan	Slackia_isoflavoniconvertens	MALT	species
Pan	Stomatobaculum_longum	MALT	species
Pan	Thermoplasmatales_archaeon_BRNA1	MALT	species
Pan	Tissierella_praeacuta	MALT	species
Pan	Treponema_pedis	MALT	species
Pan	Treponema_putidum	MALT	species
Pan	Treponema_vincentii	MALT	species
Pan	Trueperella_pyogenes	MALT	species
Pan	Xylanimonas_cellulosilytica	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_dentalis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_gerencseriae	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_israelii	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_johnsonii	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_massiliensis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_oris	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_radicidentis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_ruminicola	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_slackii	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._HMSC075C01	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_170	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_448	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_849	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_timonensis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_urogenitalis	MALT	species
