Combination	Taxon	n	Bootstrap_Result
Alouatta	[Mannheimia] succiniciproducens	247	24.7
Alouatta	Acidipropionibacterium acidipropionici	5	0.5
Alouatta	Actinobacillus pleuropneumoniae	695	69.5
Alouatta	Actinobacillus succinogenes	247	24.7
Alouatta	Actinotignum schaalii	282	28.199999999999996
Alouatta	Aggregatibacter aphrophilus	1	0.1
Alouatta	Bibersteinia trehalosi	254	25.4
Alouatta	Bifidobacterium dentium	104	10.4
Alouatta	Campylobacter curvus	1000	100
Alouatta	Capnocytophaga gingivalis	1	0.1
Alouatta	Capnocytophaga leadbetteri	207	20.7
Alouatta	Capnocytophaga sp. ChDC OS43	105	10.5
Alouatta	Capnocytophaga sp. oral taxon 323	65	6.5
Alouatta	Capnocytophaga sputigena	2	0.2
Alouatta	Fusobacterium hwasookii	19	1.9
Alouatta	Fusobacterium sp. oral taxon 203	682	68.2
Alouatta	Gallibacterium anatis	254	25.4
Alouatta	Glaesserella parasuis	697	69.69999999999999
Alouatta	Haemophilus influenzae	158	15.8
Alouatta	Haemophilus parainfluenzae	283	28.299999999999997
Alouatta	Haemophilus pittmaniae	247	24.7
Alouatta	Histophilus somni	924	92.4
Alouatta	Kingella kingae	1000	100
Alouatta	Lactococcus raffinolactis	622	62.2
Alouatta	Leptotrichia buccalis	27	2.7
Alouatta	Leptotrichia sp. oral taxon 498	640	64
Alouatta	Leptotrichia sp. oral taxon 847	269	26.900000000000002
Alouatta	Mannheimia haemolytica	697	69.69999999999999
Alouatta	Mannheimia varigena	920	92
Alouatta	Megasphaera elsdenii	475	47.5
Alouatta	Myroides odoratimimus	280	28.000000000000004
Alouatta	Neisseria gonorrhoeae	27	2.7
Alouatta	Neisseria lactamica	116	11.600000000000001
Alouatta	Neisseria sp. 10022	127	12.7
Alouatta	Neisseria sp. 10023	127	12.7
Alouatta	Neisseria sp. KEM232	115	11.5
Alouatta	Neisseria weaveri	923	92.30000000000001
Alouatta	Neisseria zoodegmatis	366	36.6
Alouatta	Pasteurella dagmatis	254	25.4
Alouatta	Pasteurella multocida	247	24.7
Alouatta	Pasteurellaceae bacterium NI1060	247	24.7
Alouatta	Pseudopedobacter saltans	280	28.000000000000004
Alouatta	Rothia aeria	20	2
Alouatta	Rothia dentocariosa	73	7.3
Alouatta	Rothia mucilaginosa	25	2.5
Alouatta	Selenomonas sp. oral taxon 136	669	66.9
Alouatta	Selenomonas sp. oral taxon 478	640	64
Alouatta	Selenomonas sp. oral taxon 920	28	2.8000000000000003
Alouatta	Streptococcus acidominimus	969	96.89999999999999
Alouatta	Streptococcus agalactiae	212	21.2
Alouatta	Streptococcus criceti	622	62.2
Alouatta	Streptococcus dysgalactiae	677	67.7
Alouatta	Streptococcus equi	6	0.6
Alouatta	Streptococcus gallolyticus	725	72.5
Alouatta	Streptococcus himalayensis	461	46.1
Alouatta	Streptococcus infantarius	924	92.4
Alouatta	Streptococcus marmotae	969	96.89999999999999
Alouatta	Streptococcus merionis	755	75.5
Alouatta	Streptococcus mitis	54	5.4
Alouatta	Streptococcus mutans	27	2.7
Alouatta	Streptococcus pantholopis	899	89.9
Alouatta	Streptococcus parasanguinis	282	28.199999999999996
Alouatta	Streptococcus parauberis	605	60.5
Alouatta	Streptococcus pseudopneumoniae	1000	100
Alouatta	Streptococcus pyogenes	715	71.5
Alouatta	Streptococcus salivarius	725	72.5
Alouatta	Streptococcus sp. A12	899	89.9
Alouatta	Streptococcus sp. I-G2	1000	100
Alouatta	Streptococcus sp. I-P16	969	96.89999999999999
Alouatta	Streptococcus sp. NPS 308	159	15.9
Alouatta	Streptococcus sp. oral taxon 064	999	99.9
