Combination	Taxon	n	Bootstrap_Result
Alouatta	[Mannheimia] succiniciproducens	243	24.3
Alouatta	Acidipropionibacterium acidipropionici	2	0.2
Alouatta	Actinobacillus pleuropneumoniae	693	69.3
Alouatta	Actinobacillus succinogenes	243	24.3
Alouatta	Actinotignum schaalii	280	28.000000000000004
Alouatta	Aggregatibacter actinomycetemcomitans	3	0.3
Alouatta	Bibersteinia trehalosi	259	25.900000000000002
Alouatta	Bifidobacterium dentium	102	10.2
Alouatta	Campylobacter curvus	999	99.9
Alouatta	Capnocytophaga gingivalis	3	0.3
Alouatta	Capnocytophaga leadbetteri	211	21.099999999999998
Alouatta	Capnocytophaga sp. ChDC OS43	114	11.4
Alouatta	Capnocytophaga sp. oral taxon 323	77	7.7
Alouatta	Fusobacterium hwasookii	25	2.5
Alouatta	Fusobacterium sp. oral taxon 203	670	67
Alouatta	Gallibacterium anatis	259	25.900000000000002
Alouatta	Glaesserella parasuis	694	69.39999999999999
Alouatta	Haemophilus influenzae	162	16.2
Alouatta	Haemophilus parainfluenzae	274	27.400000000000002
Alouatta	Haemophilus pittmaniae	241	24.099999999999998
Alouatta	Histophilus somni	917	91.7
Alouatta	Kingella kingae	1000	100
Alouatta	Lactococcus raffinolactis	637	63.7
Alouatta	Leptotrichia buccalis	29	2.9000000000000004
Alouatta	Leptotrichia sp. oral taxon 498	646	64.60000000000001
Alouatta	Leptotrichia sp. oral taxon 847	273	27.3
Alouatta	Mannheimia haemolytica	694	69.39999999999999
Alouatta	Mannheimia varigena	909	90.9
Alouatta	Megasphaera elsdenii	488	48.8
Alouatta	Myroides odoratimimus	274	27.400000000000002
Alouatta	Neisseria gonorrhoeae	35	3.5000000000000004
Alouatta	Neisseria lactamica	94	9.4
Alouatta	Neisseria sp. 10022	113	11.3
Alouatta	Neisseria sp. 10023	112	11.200000000000001
Alouatta	Neisseria sp. KEM232	96	9.6
Alouatta	Neisseria weaveri	921	92.10000000000001
Alouatta	Neisseria zoodegmatis	352	35.199999999999996
Alouatta	Pasteurella dagmatis	259	25.900000000000002
Alouatta	Pasteurella multocida	243	24.3
Alouatta	Pasteurellaceae bacterium NI1060	243	24.3
Alouatta	Prevotella enoeca	2	0.2
Alouatta	Pseudopedobacter saltans	274	27.400000000000002
Alouatta	Rothia aeria	11	1.0999999999999999
Alouatta	Rothia dentocariosa	52	5.2
Alouatta	Rothia mucilaginosa	27	2.7
Alouatta	Selenomonas sp. oral taxon 136	646	64.60000000000001
Alouatta	Selenomonas sp. oral taxon 478	646	64.60000000000001
Alouatta	Selenomonas sp. oral taxon 920	37	3.6999999999999997
Alouatta	Streptococcus acidominimus	972	97.2
Alouatta	Streptococcus agalactiae	193	19.3
Alouatta	Streptococcus criceti	637	63.7
Alouatta	Streptococcus dysgalactiae	684	68.4
Alouatta	Streptococcus equi	2	0.2
Alouatta	Streptococcus gallolyticus	729	72.89999999999999
Alouatta	Streptococcus himalayensis	481	48.1
Alouatta	Streptococcus infantarius	917	91.7
Alouatta	Streptococcus marmotae	972	97.2
Alouatta	Streptococcus merionis	769	76.9
Alouatta	Streptococcus mitis	76	7.6
Alouatta	Streptococcus mutans	21	2.1
Alouatta	Streptococcus pantholopis	910	91
Alouatta	Streptococcus parasanguinis	271	27.1
Alouatta	Streptococcus parauberis	614	61.4
Alouatta	Streptococcus pseudopneumoniae	1000	100
Alouatta	Streptococcus pyogenes	714	71.39999999999999
Alouatta	Streptococcus salivarius	729	72.89999999999999
Alouatta	Streptococcus sp. A12	910	91
Alouatta	Streptococcus sp. I-G2	1000	100
Alouatta	Streptococcus sp. I-P16	972	97.2
Alouatta	Streptococcus sp. NPS 308	177	17.7
Alouatta	Streptococcus sp. oral taxon 064	997	99.7
Alouatta	Streptococcus sp. oral taxon 431	999	99.9
Alouatta	Streptococcus sp. VT 162	409	40.9
Alouatta	Streptococcus suis	111	11.1
Alouatta	Streptococcus thermophilus	830	83
Alouatta	Streptococcus troglodytae	34	3.4000000000000004
Alouatta	Streptococcus uberis	637	63.7
Alouatta	Tessaracoccus aquimaris	694	69.39999999999999
Alouatta	Tessaracoccus flavescens	694	69.39999999999999
Alouatta	Tessaracoccus flavus	694	69.39999999999999
Alouatta	Tessaracoccus sp. T2.5-30	672	67.2
Alouatta	Trueperella pyogenes	186	18.6
Alouatta	Veillonella rodentium	391	39.1
Pan	[Clostridium] saccharolyticum	65	6.5
Pan	[Eubacterium] sulci	292	29.2
Pan	Actinomyces pacaensis	201	20.1
Pan	Adlercreutzia equolifaciens	1000	100
Pan	Alistipes shahii	40	4
Pan	Atopobium parvulum	354	35.4
Pan	Bacteroides dorei	36	3.5999999999999996
Pan	Bacteroides fragilis	727	72.7
Pan	Bacteroides salanitronis	68	6.800000000000001
Pan	Bacteroides vulgatus	10	1
Pan	Bifidobacterium dentium	409	40.9
Pan	Candidatus Methanomethylophilus alvus	1000	100
Pan	Candidatus Methanoplasma termitum	56	5.6000000000000005
Pan	Capnocytophaga sp. oral taxon 323	9	0.8999999999999999
Pan	Cloacibacillus porcorum	122	12.2
Pan	Clostridioides difficile	914	91.4
Pan	Coriobacteriaceae bacterium 68-1-3	994	99.4
Pan	Cryptobacterium curtum	354	35.4
Pan	Denitrobacterium detoxificans	822	82.19999999999999
Pan	Desulfobulbus propionicus	527	52.7
Pan	Desulfovibrio fairfieldensis	18	1.7999999999999998
Pan	Dialister pneumosintes	970	97
Pan	Eggerthella lenta	1000	100
Pan	Eggerthella sp. YY7918	70	7.000000000000001
Pan	Eubacterium limosum	505	50.5
Pan	Faecalibacterium prausnitzii	998	99.8
Pan	Fermentimonas caenicola	651	65.10000000000001
Pan	Filifactor alocis	13	1.3
Pan	Flavonifractor plautii	469	46.9
Pan	Fusobacterium sp. oral taxon 203	20	2
Pan	Gordonibacter massiliensis	1000	100
Pan	Gordonibacter pamelaeae	1000	100
Pan	Gordonibacter urolithinfaciens	1000	100
Pan	Intestinimonas butyriciproducens	506	50.6
Pan	Lachnoclostridium phocaeense	63	6.3
Pan	Lawsonella clevelandensis	1000	100
Pan	Libanicoccus massiliensis	689	68.89999999999999
Pan	Megasphaera elsdenii	92	9.2
Pan	methanogenic archaeon ISO4-H5	1000	100
