Combination	Taxon	n	Bootstrap_Result
Alouatta:Gorilla:Pan:Homo	Actinomyces	1000	100
Alouatta:Gorilla:Pan:Homo	Campylobacter	993	99.3
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	716	71.6
Alouatta:Gorilla:Pan:Homo	Clostridium	46	4.6
Alouatta:Gorilla:Pan:Homo	Corynebacterium	1000	100
Alouatta:Gorilla:Pan:Homo	Desulfovibrio	75	7.5
Alouatta:Gorilla:Pan:Homo	Eikenella	38	3.8
Alouatta:Gorilla:Pan:Homo	Fusobacterium	1000	100
Alouatta:Gorilla:Pan:Homo	Leptotrichia	2	0.2
Alouatta:Gorilla:Pan:Homo	Mycobacterium	932	93.2
Alouatta:Gorilla:Pan:Homo	Neisseria	128	12.8
Alouatta:Gorilla:Pan:Homo	Olsenella	648	64.8
Alouatta:Gorilla:Pan:Homo	Ottowia	955	95.5
Alouatta:Gorilla:Pan:Homo	Parvimonas	205	20.5
Alouatta:Gorilla:Pan:Homo	Porphyromonas	359	35.9
Alouatta:Gorilla:Pan:Homo	Prevotella	915	91.5
Alouatta:Gorilla:Pan:Homo	Propionibacterium	3	0.3
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	1000	100
Alouatta:Gorilla:Pan:Homo	Rothia	178	17.8
Alouatta:Gorilla:Pan:Homo	Selenomonas	924	92.4
Alouatta:Gorilla:Pan:Homo	Streptococcus	1000	100
Alouatta:Gorilla:Pan:Homo	Tannerella	618	61.8
Alouatta:Gorilla:Pan:Homo	Tessaracoccus	11	1.0999999999999999
Alouatta:Gorilla:Pan:Homo	Treponema	229	22.900000000000002
Pan	Acidipropionibacterium	6	0.6
Pan	Actinoalloteichus	11	1.0999999999999999
Pan	Adlercreutzia	56	5.6000000000000005
Pan	Amycolatopsis	251	25.1
Pan	Atopobium	1000	100
Pan	Bacillus	130	13
Pan	Bacteroides	350	35
Pan	Bifidobacterium	1	0.1
Pan	Brachybacterium	1	0.1
Pan	Candidatus Methanomethylophilus	1000	100
Pan	Cloacibacillus	44	4.3999999999999995
Pan	Clostridioides	74	7.3999999999999995
Pan	Clostridium	243	24.3
Pan	Cryptobacterium	732	73.2
Pan	Denitrobacterium	234	23.400000000000002
Pan	Desulfobulbus	973	97.3
Pan	Desulfovibrio	107	10.7
Pan	Dialister	176	17.599999999999998
Pan	Eggerthella	1000	100
Pan	Eubacterium	214	21.4
Pan	Faecalibacterium	98	9.8
Pan	Filifactor	70	7.000000000000001
Pan	Gemella	304	30.4
Pan	Gordonibacter	991	99.1
Pan	Intestinimonas	103	10.299999999999999
Pan	Lachnoclostridium	704	70.39999999999999
Pan	Lawsonella	1000	100
