Combination	Taxon	n	Bootstrap_Result
Pan	Acidipropionibacterium	4	0.4
Pan	Actinoalloteichus	13	1.3
Pan	Adlercreutzia	75	7.5
Pan	Amycolatopsis	229	22.900000000000002
Pan	Atopobium	1000	100
Pan	Bacillus	141	14.099999999999998
Pan	Bacteroides	368	36.8
Pan	Bifidobacterium	3	0.3
Pan	Candidatus Methanomethylophilus	1000	100
Pan	Cloacibacillus	38	3.8
Pan	Clostridioides	85	8.5
Pan	Clostridium	243	24.3
Pan	Cryptobacterium	716	71.6
Pan	Denitrobacterium	248	24.8
Pan	Desulfobulbus	973	97.3
Pan	Desulfovibrio	112	11.200000000000001
Pan	Dialister	201	20.1
Pan	Eggerthella	1000	100
Pan	Eubacterium	192	19.2
Pan	Faecalibacterium	120	12
Pan	Filifactor	51	5.1
Pan	Gemella	324	32.4
Pan	Gordonibacter	989	98.9
Pan	Intestinimonas	132	13.200000000000001
Pan	Lachnoclostridium	718	71.8
Pan	Lawsonella	1000	100
Pan	Libanicoccus	201	20.1
Pan	Methanobrevibacter	10	1
Pan	Murdochiella	743	74.3
Pan	Nocardia	19	1.9
Pan	Nocardiopsis	7	0.7000000000000001
Pan	Petrimonas	746	74.6
Pan	Pyramidobacter	224	22.400000000000002
Pan	Slackia	1000	100
Pan	Trueperella	177	17.7
Alouatta:Gorilla:Pan:Homo	Actinomyces	523	52.300000000000004
Alouatta:Gorilla:Pan:Homo	Campylobacter	987	98.7
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	700	70
Alouatta:Gorilla:Pan:Homo	Clostridium	25	2.5
Alouatta:Gorilla:Pan:Homo	Corynebacterium	874	87.4
Alouatta:Gorilla:Pan:Homo	Desulfovibrio	73	7.3
Alouatta:Gorilla:Pan:Homo	Eikenella	29	2.9000000000000004
Alouatta:Gorilla:Pan:Homo	Fusobacterium	999	99.9
Alouatta:Gorilla:Pan:Homo	Leptotrichia	4	0.4
Alouatta:Gorilla:Pan:Homo	Mycobacterium	285	28.499999999999996
Alouatta:Gorilla:Pan:Homo	Neisseria	124	12.4
Alouatta:Gorilla:Pan:Homo	Olsenella	536	53.6
Alouatta:Gorilla:Pan:Homo	Ottowia	804	80.4
Alouatta:Gorilla:Pan:Homo	Parvimonas	208	20.8
Alouatta:Gorilla:Pan:Homo	Porphyromonas	360	36
Alouatta:Gorilla:Pan:Homo	Prevotella	904	90.4
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	750	75
Alouatta:Gorilla:Pan:Homo	Rothia	182	18.2
Alouatta:Gorilla:Pan:Homo	Selenomonas	922	92.2
Alouatta:Gorilla:Pan:Homo	Streptococcus	312	31.2
Alouatta:Gorilla:Pan:Homo	Tannerella	582	58.199999999999996
Alouatta:Gorilla:Pan:Homo	Tessaracoccus	21	2.1
Alouatta:Gorilla:Pan:Homo	Treponema	224	22.400000000000002
Alouatta:Gorilla	Acidipropionibacterium	475	47.5
Alouatta:Gorilla	Actinobacillus	734	73.4
Alouatta:Gorilla	Aeromonas	69	6.9
Alouatta:Gorilla	Bacillus	72	7.199999999999999
Alouatta:Gorilla	Basfia	287	28.7
Alouatta:Gorilla	Bordetella	448	44.800000000000004
Alouatta:Gorilla	Brachybacterium	534	53.400000000000006
Alouatta:Gorilla	Eikenella	1	0.1
Alouatta:Gorilla	Enterococcus	361	36.1
Alouatta:Gorilla	Haemophilus	128	12.8
Alouatta:Gorilla	Kocuria	924	92.4
Alouatta:Gorilla	Lactobacillus	650	65
Alouatta:Gorilla	Mannheimia	287	28.7
Alouatta:Gorilla	Micromonospora	563	56.3
Alouatta:Gorilla	Pasteurella	734	73.4
Alouatta:Gorilla	Propionibacterium	4	0.4
Alouatta:Gorilla	Rothia	87	8.7
Alouatta:Gorilla	Tessaracoccus	77	7.7
Alouatta:Gorilla	Veillonella	136	13.600000000000001
Alouatta	Acidipropionibacterium	53	5.3
Alouatta	Actinobacillus	266	26.6
Alouatta	Actinoplanes	932	93.2
Alouatta	Aeromonas	203	20.3
Alouatta	Amycolatopsis	215	21.5
Alouatta	Bacillus	205	20.5
Alouatta	Basfia	713	71.3
Alouatta	Bordetella	259	25.900000000000002
Alouatta	Brachybacterium	345	34.5
Alouatta	Cellulomonas	284	28.4
Alouatta	Cellulosimicrobium	267	26.700000000000003
Alouatta	Chryseobacterium	258	25.8
Alouatta	Desulfovibrio	2	0.2
Alouatta	Enterococcus	639	63.9
Alouatta	Gemella	5	0.5
Alouatta	Glaesserella	272	27.200000000000003
Alouatta	Haemophilus	26	2.6
Alouatta	Kingella	1000	100
Alouatta	Kocuria	76	7.6
Alouatta	Lactobacillus	270	27
Alouatta	Mannheimia	713	71.3
Alouatta	Megasphaera	632	63.2
Alouatta	Micromonospora	378	37.8
Alouatta	Nitrosomonas	258	25.8
Alouatta	Nocardiopsis	256	25.6
Alouatta	Pasteurella	266	26.6
Alouatta	Pseudopedobacter	258	25.8
Alouatta	Rothia	2	0.2
Alouatta	Veillonella	74	7.3999999999999995
Alouatta:Pan:Homo	Campylobacter	13	1.3
