Combination	Taxon	Bootstrap_Result	Controls	n	"paste0(Combination, collapse = ""|"")"
Alouatta:Homo	Leptotrichia	84	FALSE	4	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo|Alouatta:Pan:Homo
Alouatta:Homo	Leptotrichia	83.2	TRUE	4	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo
Alouatta:Pan:Homo	Gemella_sp._oral_taxon_928	91.8	FALSE	2	Alouatta:Pan:Homo|Alouatta:Pan
Alouatta:Pan:Homo	Gemella_sp._oral_taxon_928	93.4	TRUE	2	Alouatta:Pan|Alouatta:Pan:Homo
Alouatta:Gorilla:Homo	Eikenella	92.7	FALSE	4	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo|Alouatta:Pan:Homo
Alouatta:Gorilla:Homo	Neisseria	87.1	FALSE	3	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo
Alouatta:Gorilla:Homo	Neisseria	73.7	TRUE	6	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo|Alouatta:Gorilla:Pan:Homo:Control|Alouatta:Gorilla:Homo:Control|Alouatta:Homo:Control
Alouatta:Gorilla:Homo	Aggregatibacter	90.9	TRUE	4	Alouatta:Gorilla:Homo|Alouatta:Homo|Alouatta:Gorilla:Homo:Control|Alouatta:Homo:Control
Alouatta:Gorilla:Homo	Eikenella	94.6	TRUE	5	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla|Alouatta:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo
Alouatta:Gorilla:Homo	Aggregatibacter	99.8	FALSE	3	Alouatta:Gorilla|Alouatta:Gorilla:Homo|Alouatta:Homo
Homo	Veillonella	8.7	FALSE	7	Alouatta:Gorilla|Alouatta|Alouatta:Gorilla:Homo|Alouatta:Homo|Gorilla|Homo|Gorilla:Homo
Homo	Veillonella	10.9	TRUE	7	Alouatta:Gorilla|Alouatta|Alouatta:Gorilla:Homo|Homo|Alouatta:Homo|Gorilla|Gorilla:Homo
Pan:Homo	Parvimonas	25.7	TRUE	4	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Pan:Homo|Gorilla:Pan:Homo
Pan:Homo	Parvimonas	24	FALSE	5	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan|Pan:Homo|Gorilla:Pan:Homo|Alouatta:Pan:Homo
Pan:Homo	Mogibacterium	68.2	TRUE	2	Pan:Homo|Gorilla:Pan:Homo
Pan:Homo	Porphyromonas	16.1	TRUE	5	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control|Gorilla:Pan:Homo
Pan:Homo	Mogibacterium	68.5	FALSE	2	Pan:Homo|Gorilla:Pan:Homo
Pan:Homo	Porphyromonas	13.900000000000002	FALSE	4	Alouatta:Gorilla:Pan:Homo|Pan:Homo|Gorilla:Pan:Homo|Alouatta:Pan:Homo
Pan:Homo	Treponema	22.8	FALSE	4	Alouatta:Gorilla:Pan:Homo|Pan:Homo|Gorilla:Pan:Homo|Alouatta:Pan:Homo
Pan:Homo	Treponema	24.099999999999998	TRUE	4	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Pan:Homo|Gorilla:Pan:Homo
Pan:Homo	Filifactor_alocis	76.7	FALSE	4	Pan|Pan:Homo|Gorilla:Pan:Homo|Gorilla:Pan
Pan:Homo	Filifactor_alocis	77.2	TRUE	3	Pan|Pan:Homo|Gorilla:Pan:Homo
Pan:Homo	Desulfomicrobium	100	FALSE	1	Pan:Homo
Pan:Homo	Desulfomicrobium	100	TRUE	1	Pan:Homo
Gorilla:Pan:Homo	Fretibacterium	84.5	FALSE	2	Pan:Homo|Gorilla:Pan:Homo
Gorilla:Pan:Homo	Tannerella	34	FALSE	4	Alouatta:Gorilla:Pan:Homo|Pan:Homo|Gorilla:Pan:Homo|Alouatta:Pan:Homo
Gorilla:Pan:Homo	Olsenella	35	FALSE	3	Alouatta:Gorilla:Pan:Homo|Gorilla:Pan:Homo|Alouatta:Pan:Homo
Gorilla:Pan:Homo	Olsenella	31.4	TRUE	7	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control|Gorilla:Pan:Homo|Gorilla:Pan:Homo:Control|Alouatta:Pan:Homo:Control
Gorilla:Pan:Homo	Tannerella	33.5	TRUE	7	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control|Gorilla:Pan:Homo|Gorilla:Pan:Homo:Control|Alouatta:Pan:Homo:Control
Gorilla:Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439	76.7	FALSE	2	Pan:Homo|Gorilla:Pan:Homo
Gorilla:Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439	58.599999999999994	TRUE	4	Pan:Homo|Gorilla:Pan:Homo|Pan:Homo:Control|Gorilla:Pan:Homo:Control
Gorilla:Pan:Homo	Fretibacterium	84.2	TRUE	3	Pan:Homo|Gorilla:Pan:Homo|Gorilla:Pan:Homo:Control
Alouatta:Gorilla:Pan:Homo	Corynebacterium	87.4	TRUE	2	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control
Alouatta:Gorilla:Pan:Homo	Corynebacterium	100	FALSE	1	Alouatta:Gorilla:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Prevotella	91.5	FALSE	5	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan|Pan:Homo|Gorilla:Pan:Homo|Alouatta:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Ottowia	95.5	FALSE	3	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan|Alouatta:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Ottowia	80.4	TRUE	5	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Alouatta:Gorilla:Pan|Alouatta:Gorilla:Pan:Homo:Control|Alouatta:Pan:Homo:Control
Alouatta:Gorilla:Pan:Homo	Prevotella	90.4	TRUE	6	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Pan:Homo|Alouatta:Gorilla:Pan|Alouatta:Gorilla:Pan:Homo:Control|Gorilla:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Campylobacter	99.3	FALSE	2	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Selenomonas	92.4	FALSE	2	Alouatta:Gorilla:Pan:Homo|Gorilla:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Campylobacter	98.7	TRUE	2	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	70	TRUE	4	Alouatta:Gorilla:Pan:Homo|Alouatta:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	71.6	FALSE	4	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Homo|Alouatta:Homo|Alouatta:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Fusobacterium	100	FALSE	1	Alouatta:Gorilla:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Fusobacterium	99.9	TRUE	2	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	100	FALSE	1	Alouatta:Gorilla:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	75	TRUE	3	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control|Alouatta:Pan:Homo:Control
Alouatta:Gorilla:Pan:Homo	Selenomonas	92.2	TRUE	2	Alouatta:Gorilla:Pan:Homo|Gorilla:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Actinomyces	52.300000000000004	TRUE	2	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control
Alouatta:Gorilla:Pan:Homo	Streptococcus	31.2	TRUE	2	Alouatta:Gorilla:Pan:Homo|Alouatta:Gorilla:Pan:Homo:Control
Alouatta:Gorilla:Pan:Homo	Actinomyces	100	FALSE	1	Alouatta:Gorilla:Pan:Homo
Alouatta:Gorilla:Pan:Homo	Streptococcus	100	FALSE	1	Alouatta:Gorilla:Pan:Homo
