Combination	Taxon	n	Bootstrap_Result
Gorilla	[Eubacterium] infirmum	8	0.8
Gorilla	Actinobacillus pleuropneumoniae	3	0.3
Gorilla	Actinomyces georgiae	4	0.4
Gorilla	Actinomyces glycerinitolerans	7	0.7000000000000001
Gorilla	Actinomyces radicidentis	9	0.8999999999999999
Gorilla	Actinomyces sp. HMSC075C01	369	36.9
Gorilla	Actinomyces sp. HMSC08A09	305	30.5
Gorilla	Actinomyces sp. oral taxon 171	9	0.8999999999999999
Gorilla	Actinomyces sp. oral taxon 849	141	14.099999999999998
Gorilla	Actinomyces urogenitalis	39	3.9
Gorilla	Actinomyces viscosus	315	31.5
Gorilla	Avibacterium endocarditidis	1	0.1
Gorilla	Bacillus cereus	1	0.1
Gorilla	Bacteroides heparinolyticus	7	0.7000000000000001
Gorilla	Basfia succiniciproducens	3	0.3
Gorilla	Candidatus Dorea massiliensis	3	0.3
Gorilla	Candidatus Kryptonium thompsoni	167	16.7
Gorilla	Centipeda periodontii	4	0.4
Gorilla	Clostridium neonatale	1	0.1
Gorilla	Conchiformibius kuhniae	5	0.5
Gorilla	Corynebacterium diphtheriae	1	0.1
Gorilla	Corynebacterium durum	26	2.6
Gorilla	Enterococcus faecalis	4	0.4
Gorilla	Enterococcus sp. 6C8_DIV0013	1	0.1
Gorilla	Filifactor alocis	1	0.1
Gorilla	Haemophilus haemolyticus	8	0.8
Gorilla	Haemophilus influenzae	3	0.3
Gorilla	Haemophilus pittmaniae	8	0.8
Gorilla	Jeotgalicoccus halotolerans	1	0.1
Gorilla	Kingella denitrificans	7	0.7000000000000001
Gorilla	Klebsiella aerogenes	1	0.1
Gorilla	Lactobacillus rossiae	1	0.1
Gorilla	Lysinibacillus sp. AR18-8	1	0.1
Gorilla	Lysinibacillus sphaericus	1	0.1
Gorilla	Mannheimia haemolytica	3	0.3
Gorilla	Morganella morganii	4	0.4
Gorilla	Morococcus cerebrosus	8	0.8
Gorilla	Neisseria cinerea	7	0.7000000000000001
Gorilla	Neisseria gonorrhoeae	279	27.900000000000002
Gorilla	Neisseria iguanae	8	0.8
Gorilla	Neisseria lactamica	378	37.8
Gorilla	Neisseria macacae	8	0.8
Gorilla	Neisseria meningitidis	133	13.3
Gorilla	Neisseria mucosa	5	0.5
Gorilla	Neisseria polysaccharea	8	0.8
Gorilla	Neisseria sicca	8	0.8
Gorilla	Neisseria sp. 10022	8	0.8
Gorilla	Neisseria sp. 10023	132	13.200000000000001
Gorilla	Neisseria sp. GT4A_CT1	8	0.8
Gorilla	Neisseria sp. HMSC03D10	7	0.7000000000000001
Gorilla	Neisseria sp. HMSC055F11	5	0.5
Gorilla	Neisseria sp. HMSC055H02	8	0.8
