Combination	Taxon	n	Bootstrap_Result
Alouatta	[Eubacterium] brachy	10	1
Alouatta	Actinobacillus pleuropneumoniae	279	27.900000000000002
Alouatta	Actinobaculum sp. oral taxon 183	673	67.30000000000001
Alouatta	Actinomyces radicidentis	47	4.7
Alouatta	Actinomyces slackii	709	70.89999999999999
Alouatta	Actinomyces sp. oral taxon 171	19	1.9
Alouatta	Actinomyces sp. oral taxon 848	219	21.9
Alouatta	Actinomyces sp. oral taxon 849	13	1.3
Alouatta	Actinomyces timonensis	351	35.099999999999994
Alouatta	Actinomyces urogenitalis	172	17.2
Alouatta	Aggregatibacter actinomycetemcomitans	18	1.7999999999999998
Alouatta	Aggregatibacter aphrophilus	33	3.3000000000000003
Alouatta	Aggregatibacter segnis	53	5.3
Alouatta	Aggregatibacter sp. oral taxon 458	626	62.6
Alouatta	Avibacterium endocarditidis	279	27.900000000000002
Alouatta	Bacteroides pyogenes	255	25.5
Alouatta	Basfia succiniciproducens	279	27.900000000000002
Alouatta	Bifidobacterium dentium	226	22.6
Alouatta	Campylobacter concisus	273	27.3
Alouatta	Campylobacter curvus	1000	100
Alouatta	Candidatus Gracilibacteria bacterium HOT-871	273	27.3
Alouatta	Capnocytophaga gingivalis	52	5.2
Alouatta	Capnocytophaga granulosa	113	11.3
Alouatta	Capnocytophaga sp. ChDC OS43	883	88.3
Alouatta	Capnocytophaga sp. oral taxon 332	276	27.6
Alouatta	Capnocytophaga sp. oral taxon 336	658	65.8
Alouatta	Capnocytophaga sp. oral taxon 338	276	27.6
Alouatta	Capnocytophaga sp. oral taxon 863	268	26.8
Alouatta	Capnocytophaga sputigena	30	3
Alouatta	Cardiobacterium hominis	10	1
Alouatta	Centipeda periodontii	478	47.8
Alouatta	Corynebacterium durum	99	9.9
Alouatta	Fusobacterium hwasookii	796	79.60000000000001
Alouatta	Fusobacterium massiliense	634	63.4
Alouatta	Fusobacterium periodonticum	940	94
Alouatta	Fusobacterium sp. oral taxon 203	271	27.1
Alouatta	Fusobacterium sp. oral taxon 370	273	27.3
Alouatta	Gemella cuniculi	271	27.1
Alouatta	Gemella haemolysans	273	27.3
Alouatta	Gemella morbillorum	7	0.7000000000000001
Alouatta	Gemella sanguinis	273	27.3
Alouatta	Haemophilus influenzae	279	27.900000000000002
Alouatta	Haemophilus massiliensis	629	62.9
Alouatta	Haemophilus parainfluenzae	491	49.1
Alouatta	Kingella kingae	280	28.000000000000004
Alouatta	Kingella oralis	882	88.2
Alouatta	Kocuria kristinae	276	27.6
Alouatta	Leptotrichia goodfellowii	1000	100
Alouatta	Megasphaera micronuciformis	634	63.4
Alouatta	Necropsobacter massiliensis	639	63.9
Alouatta	Neisseria bacilliformis	623	62.3
Alouatta	Neisseria elongata	54	5.4
Alouatta	Neisseria gonorrhoeae	171	17.1
Alouatta	Neisseria meningitidis	400	40
Alouatta	Neisseria shayeganii	994	99.4
Alouatta	Neisseria sp. 10023	421	42.1
Alouatta	Neisseria sp. oral taxon 014	253	25.3
Alouatta	Paenarthrobacter nicotinovorans	655	65.5
Alouatta	Pasteurella multocida	626	62.6
Alouatta	Pasteurella testudinis	992	99.2
Alouatta	Pasteurellaceae bacterium NI1060	279	27.900000000000002
Alouatta	Peptoanaerobacter stomatis	61	6.1
Alouatta	Porphyromonas gulae	631	63.1
Alouatta	Prevotella intermedia	6	0.6
Alouatta	Prevotella maculosa	273	27.3
Alouatta	Prevotella oralis	255	25.5
Alouatta	Propionivibrio dicarboxylicus	273	27.3
Alouatta	Pseudochrobactrum asaccharolyticum	276	27.6
Alouatta	Rothia aeria	63	6.3
Alouatta	Rothia dentocariosa	623	62.3
Alouatta	Rothia mucilaginosa	588	58.8
Alouatta	Selenomonas artemidis	930	93
Alouatta	Selenomonas sp. F0473	930	93
Alouatta	Selenomonas sp. oral taxon 126	271	27.1
Alouatta	Streptococcus agalactiae	1000	100
Alouatta	Streptococcus anginosus	988	98.8
Alouatta	Streptococcus caballi	934	93.4
Alouatta	Streptococcus canis	638	63.800000000000004
Alouatta	Streptococcus constellatus	635	63.5
Alouatta	Streptococcus devriesei	1000	100
Alouatta	Streptococcus entericus	634	63.4
Alouatta	Streptococcus equi	624	62.4
Alouatta	Streptococcus ferus	1000	100
Alouatta	Streptococcus gallolyticus	1000	100
Alouatta	Streptococcus gordonii	7	0.7000000000000001
Alouatta	Streptococcus halotolerans	638	63.800000000000004
Alouatta	Streptococcus henryi	254	25.4
Alouatta	Streptococcus infantis	638	63.800000000000004
Alouatta	Streptococcus iniae	638	63.800000000000004
Alouatta	Streptococcus intermedius	593	59.3
Alouatta	Streptococcus macedonicus	1000	100
Alouatta	Streptococcus merionis	1000	100
Alouatta	Streptococcus mitis	1000	100
Alouatta	Streptococcus mutans	219	21.9
Alouatta	Streptococcus oralis	3	0.3
Alouatta	Streptococcus orisratti	638	63.800000000000004
Alouatta	Streptococcus ovis	633	63.3
Alouatta	Streptococcus parasanguinis	996	99.6
Alouatta	Streptococcus pluranimalium	638	63.800000000000004
Alouatta	Streptococcus plurextorum	254	25.4
Alouatta	Streptococcus pneumoniae	1000	100
Alouatta	Streptococcus porci	254	25.4
Alouatta	Streptococcus pseudopneumoniae	1000	100
Alouatta	Streptococcus pyogenes	992	99.2
Alouatta	Streptococcus salivarius	622	62.2
Alouatta	Streptococcus sobrinus	992	99.2
Alouatta	Streptococcus sp. 2_1_36FAA	254	25.4
Alouatta	Streptococcus sp. DD04	10	1
Alouatta	Streptococcus sp. DD10	1000	100
Alouatta	Streptococcus sp. DD13	634	63.4
Alouatta	Streptococcus sp. HMSC071D03	638	63.800000000000004
Alouatta	Streptococcus suis	992	99.2
Alouatta	Streptococcus thermophilus	1000	100
Alouatta	Streptococcus uberis	254	25.4
Alouatta	Veillonella rodentium	428	42.8
Pan	[Eubacterium] brachy	27	2.7
Pan	[Eubacterium] infirmum	232	23.200000000000003
Pan	[Eubacterium] saphenum	392	39.2
Pan	[Eubacterium] sulci	340	34
Pan	Actinomyces cardiffensis	3	0.3
Pan	Actinomyces culturomici	173	17.299999999999997
Pan	Actinomyces georgiae	828	82.8
Pan	Actinomyces odontolyticus	31	3.1
Pan	Actinomyces provencensis	344	34.4
Pan	Actinomyces radicidentis	111	11.1
Pan	Actinomyces sp. oral taxon 172	5	0.5
Pan	Actinomyces sp. oral taxon 877	120	12
Pan	Actinomyces turicensis	5	0.5
Pan	Actinomyces urogenitalis	3	0.3
Pan	Alloprevotella tannerae	5	0.5
Pan	Aminomonas paucivorans	1	0.1
Pan	Anaeroglobus geminatus	19	1.9
Pan	Arabia massiliensis	1	0.1
Pan	Asaccharobacter celatus	1	0.1
Pan	Atopobium parvulum	97	9.700000000000001
Pan	Atopobium rimae	1000	100
Pan	Atopobium sp. HMSC064B08	1000	100
Pan	Atopobium sp. oral taxon 199	366	36.6
Pan	Bacillus cereus	1	0.1
Pan	Bacteroides heparinolyticus	5	0.5
Pan	Bacteroides pyogenes	5	0.5
Pan	Bacteroides zoogleoformans	773	77.3
Pan	Bifidobacterium dentium	123	12.3
Pan	Butyrivibrio fibrisolvens	1	0.1
Pan	Candidatus Methanomethylophilus alvus	1000	100
Pan	Capnocytophaga leadbetteri	1	0.1
Pan	Centipeda periodontii	63	6.3
Pan	Clostridium novyi	1	0.1
Pan	Clostridium perfringens	1	0.1
Pan	Coriobacteriaceae bacterium 68-1-3	1000	100
Pan	Cryptobacterium curtum	1000	100
Pan	Denitrobacterium detoxificans	1	0.1
Pan	Desulfomicrobium orale	338	33.800000000000004
Pan	Dialister invisus	58	5.800000000000001
Pan	Eggerthella lenta	999	99.9
Pan	Eggerthia catenaformis	907	90.7
Pan	Enterorhabdus caecimuris	1	0.1
Pan	Enterorhabdus mucosicola	1	0.1
Pan	Filifactor alocis	426	42.6
Pan	Fusobacterium hwasookii	1	0.1
Pan	Fusobacterium naviforme	100	10
Pan	Fusobacterium necrophorum	5	0.5
Pan	Fusobacterium sp. oral taxon 203	3	0.3
Pan	Gemella bergeri	400	40
Pan	Gemella cuniculi	3	0.3
Pan	Gordonibacter massiliensis	233	23.3
Pan	Gordonibacter pamelaeae	1	0.1
Pan	Gordonibacter urolithinfaciens	1	0.1
Pan	Johnsonella ignava	1	0.1
Pan	Jonquetella anthropi	373	37.3
Pan	Lachnoanaerobaculum saburreum	376	37.6
Pan	Lawsonella clevelandensis	1000	100
Pan	Libanicoccus massiliensis	1	0.1
Pan	Methanobrevibacter oralis	36	3.5999999999999996
Pan	methanogenic archaeon ISO4-H5	977	97.7
Pan	Mogibacterium diversum	1000	100
Pan	Mogibacterium pumilum	331	33.1
Pan	Olsenella phocaeensis	1	0.1
Pan	Olsenella provencensis	1	0.1
Pan	Olsenella sp. DNF00959	1	0.1
Pan	Olsenella sp. HMSC062G07	1	0.1
Pan	Olsenella sp. kh2p3	1	0.1
Pan	Olsenella sp. KH3B4	1	0.1
Pan	Olsenella sp. Marseille-P2300	1	0.1
Pan	Olsenella sp. oral taxon 809	1	0.1
Pan	Olsenella umbonata	1	0.1
Pan	Olsenella urininfantis	1	0.1
Pan	Oribacterium sp. oral taxon 078	648	64.8
Pan	Oxalobacter formigenes	5	0.5
Pan	Parabacteroides merdae	2	0.2
Pan	Paraeggerthella hongkongensis	1000	100
Pan	Parvimonas micra	3	0.3
Pan	Parvimonas sp. KA00067	5	0.5
Pan	Peptoanaerobacter stomatis	490	49
