Combination	Taxon	n	Bootstrap_Result
Pan	Anaeroglobus	63	6.3
Pan	Arabia	1	0.1
Pan	Atopobium	148	14.799999999999999
Pan	Bacteroides	27	2.7
Pan	Bifidobacterium	141	14.099999999999998
Pan	Butyrivibrio	1	0.1
Pan	Candidatus Kryptonium	289	28.9
Pan	Candidatus Methanomethylophilus	1000	100
Pan	Cloacibacillus	1	0.1
Pan	Clostridium	79	7.9
Pan	Collinsella	880	88
Pan	Cryptobacterium	1000	100
Pan	Denitrobacterium	1	0.1
Pan	Desulfomicrobium	366	36.6
Pan	Dialister	58	5.800000000000001
Pan	Eggerthella	998	99.8
Pan	Eggerthia	982	98.2
Pan	Enterorhabdus	1	0.1
Pan	Eubacterium	1	0.1
Pan	Filifactor	790	79
Pan	Gordonibacter	1000	100
Pan	Johnsonella	23	2.3
Pan	Jonquetella	6	0.6
Pan	Lachnoanaerobaculum	278	27.800000000000004
Pan	Lawsonella	1000	100
Pan	Methanobrevibacter	3	0.3
Pan	Mogibacterium	532	53.2
Pan	Oribacterium	648	64.8
Pan	Oxalobacter	2	0.2
Pan	Parabacteroides	756	75.6
Pan	Paraeggerthella	998	99.8
Pan	Parvimonas	10	1
Pan	Peptoanaerobacter	30	3
Pan	Peptoniphilus	2	0.2
Pan	Phocaeicola	5	0.5
Pan	Pseudoramibacter	673	67.30000000000001
Pan	Raoultibacter	1	0.1
Pan	Ruminococcus	2	0.2
Pan	Shuttleworthia	5	0.5
Pan	Slackia	19	1.9
Pan	Solobacterium	6	0.6
Pan	Subdoligranulum	1	0.1
Pan	Tissierella	2	0.2
Pan	Trueperella	1	0.1
Alouatta	Actinobacillus	632	63.2
Alouatta	Actinobaculum	987	98.7
Alouatta	Basfia	623	62.3
Alouatta	Bifidobacterium	196	19.6
Alouatta	Candidatus Kryptonium	106	10.6
Alouatta	Catonella	351	35.099999999999994
Alouatta	Centipeda	621	62.1
Alouatta	Chryseobacterium	262	26.200000000000003
Alouatta	Desulfovibrio	259	25.900000000000002
Alouatta	Gemella	16	1.6
Alouatta	Haemophilus	152	15.2
Alouatta	Kingella	556	55.60000000000001
Alouatta	Lautropia	1	0.1
Alouatta	Mannheimia	274	27.400000000000002
Alouatta	Megasphaera	624	62.4
Alouatta	Necropsobacter	624	62.4
Alouatta	Paenarthrobacter	259	25.900000000000002
Alouatta	Pasteurella	644	64.4
Alouatta	Rothia	107	10.7
Alouatta	Tessaracoccus	1000	100
Alouatta	Veillonella	210	21
Alouatta:Gorilla:Pan:Homo	Actinomyces	1000	100
Alouatta:Gorilla:Pan:Homo	Campylobacter	1000	100
Alouatta:Gorilla:Pan:Homo	Candidatus Kryptonium	2	0.2
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	272	27.200000000000003
Alouatta:Gorilla:Pan:Homo	Clostridium	53	5.3
Alouatta:Gorilla:Pan:Homo	Corynebacterium	947	94.69999999999999
Alouatta:Gorilla:Pan:Homo	Eikenella	168	16.8
Alouatta:Gorilla:Pan:Homo	Fusobacterium	997	99.7
Alouatta:Gorilla:Pan:Homo	Olsenella	622	62.2
Alouatta:Gorilla:Pan:Homo	Ottowia	742	74.2
Alouatta:Gorilla:Pan:Homo	Parvimonas	197	19.7
Alouatta:Gorilla:Pan:Homo	Porphyromonas	401	40.1
Alouatta:Gorilla:Pan:Homo	Prevotella	919	91.9
Alouatta:Gorilla:Pan:Homo	Propionibacterium	429	42.9
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	1000	100
Alouatta:Gorilla:Pan:Homo	Selenomonas	973	97.3
Alouatta:Gorilla:Pan:Homo	Streptococcus	1000	100
