Combination	Taxon	n	Bootstrap_Result
Pan	Anaeroglobus	57	5.7
Pan	Arabia	1	0.1
Pan	Atopobium	123	12.3
Pan	Bacteroides	19	1.9
Pan	Bifidobacterium	140	14.000000000000002
Pan	Butyrivibrio	1	0.1
Pan	Candidatus Methanomethylophilus	1000	100
Pan	Cloacibacillus	2	0.2
Pan	Clostridium	77	7.7
Pan	Collinsella	901	90.10000000000001
Pan	Cryptobacterium	1000	100
Pan	Denitrobacterium	1	0.1
Pan	Desulfomicrobium	345	34.5
Pan	Dialister	58	5.800000000000001
Pan	Eggerthella	999	99.9
Pan	Eggerthia	974	97.39999999999999
Pan	Enterorhabdus	1	0.1
Pan	Eubacterium	1	0.1
Pan	Filifactor	795	79.5
Pan	Gordonibacter	1000	100
Pan	Johnsonella	35	3.5000000000000004
Pan	Jonquetella	2	0.2
Pan	Lachnoanaerobaculum	312	31.2
Pan	Lawsonella	1000	100
Pan	Methanobrevibacter	11	1.0999999999999999
Pan	Mogibacterium	584	58.4
Pan	Oribacterium	629	62.9
Pan	Parabacteroides	725	72.5
Pan	Paraeggerthella	999	99.9
Pan	Parvimonas	5	0.5
Pan	Peptoanaerobacter	31	3.1
Pan	Peptoniphilus	2	0.2
Pan	Phocaeicola	4	0.4
Pan	Pseudoramibacter	687	68.7
Pan	Raoultibacter	1	0.1
Pan	Ruminococcus	2	0.2
Pan	Shuttleworthia	2	0.2
Pan	Slackia	12	1.2
Pan	Solobacterium	2	0.2
Pan	Subdoligranulum	1	0.1
Pan	Tissierella	2	0.2
Pan	Trueperella	2	0.2
Alouatta:Gorilla:Pan:Homo	Actinomyces	313	31.3
Alouatta:Gorilla:Pan:Homo	Anaeroglobus	1	0.1
Alouatta:Gorilla:Pan:Homo	Campylobacter	997	99.7
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	261	26.1
Alouatta:Gorilla:Pan:Homo	Clostridium	54	5.4
Alouatta:Gorilla:Pan:Homo	Corynebacterium	147	14.7
Alouatta:Gorilla:Pan:Homo	Eikenella	151	15.1
Alouatta:Gorilla:Pan:Homo	Fusobacterium	996	99.6
Alouatta:Gorilla:Pan:Homo	Olsenella	458	45.800000000000004
Alouatta:Gorilla:Pan:Homo	Ottowia	625	62.5
Alouatta:Gorilla:Pan:Homo	Parvimonas	209	20.9
Alouatta:Gorilla:Pan:Homo	Porphyromonas	416	41.6
Alouatta:Gorilla:Pan:Homo	Prevotella	728	72.8
Alouatta:Gorilla:Pan:Homo	Propionibacterium	453	45.300000000000004
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	664	66.4
Alouatta:Gorilla:Pan:Homo	Selenomonas	968	96.8
Alouatta:Gorilla:Pan:Homo	Streptococcus	528	52.800000000000004
Alouatta:Gorilla:Pan:Homo	Tannerella	519	51.9
Alouatta:Gorilla:Pan:Homo	Treponema	226	22.6
Alouatta:Gorilla:Homo	Aggregatibacter	817	81.69999999999999
Alouatta:Gorilla:Homo	Capnocytophaga	90	9
Alouatta:Gorilla:Homo	Cardiobacterium	843	84.3
Alouatta:Gorilla:Homo	Corynebacterium	14	1.4000000000000001
Alouatta:Gorilla:Homo	Eikenella	816	81.6
Alouatta:Gorilla:Homo	Haemophilus	268	26.8
Alouatta:Gorilla:Homo	Kingella	46	4.6
Alouatta:Gorilla:Homo	Lautropia	348	34.8
Alouatta:Gorilla:Homo	Leptotrichia	218	21.8
Alouatta:Gorilla:Homo	Neisseria	817	81.69999999999999
Alouatta:Gorilla:Homo	Ottowia	13	1.3
Alouatta:Gorilla:Homo	Parvimonas	5	0.5
Alouatta:Gorilla:Homo	Propionibacterium	11	1.0999999999999999
Alouatta:Gorilla:Homo	Rothia	280	28.000000000000004
Alouatta:Gorilla:Homo	Selenomonas	32	3.2
Alouatta:Gorilla:Homo	Veillonella	99	9.9
Alouatta	Actinobacillus	642	64.2
Alouatta	Actinobaculum	991	99.1
Alouatta	Basfia	635	63.5
Alouatta	Bifidobacterium	216	21.6
Alouatta	Catonella	380	38
Alouatta	Centipeda	649	64.9
Alouatta	Chryseobacterium	274	27.400000000000002
Alouatta	Desulfovibrio	282	28.199999999999996
Alouatta	Gemella	15	1.5
Alouatta	Haemophilus	123	12.3
Alouatta	Kingella	573	57.3
Alouatta	Mannheimia	256	25.6
Alouatta	Megasphaera	654	65.4
Alouatta	Necropsobacter	637	63.7
Alouatta	Paenarthrobacter	283	28.299999999999997
Alouatta	Parvimonas	1	0.1
Alouatta	Pasteurella	654	65.4
Alouatta	Rothia	91	9.1
Alouatta	Tessaracoccus	1000	100
Alouatta	Veillonella	228	22.8
Pan:Homo	Catonella	1	0.1
Pan:Homo	Clostridium	21	2.1
Pan:Homo	Desulfobulbus	100	10
Pan:Homo	Desulfomicrobium	280	28.000000000000004
Pan:Homo	Eubacterium	930	93
Pan:Homo	Filifactor	179	17.9
Pan:Homo	Johnsonella	361	36.1
Pan:Homo	Methanobrevibacter	73	7.3
Pan:Homo	Mogibacterium	416	41.6
Pan:Homo	Oribacterium	4	0.4
Pan:Homo	Parvimonas	203	20.3
Pan:Homo	Peptoanaerobacter	339	33.900000000000006
Pan:Homo	Phocaeicola	996	99.6
Pan:Homo	Porphyromonas	120	12
Pan:Homo	Pseudoramibacter	11	1.0999999999999999
Pan:Homo	Slackia	16	1.6
Pan:Homo	Tannerella	57	5.7
Pan:Homo	Treponema	210	21
Alouatta:Gorilla:Pan:Homo:Control	Actinomyces	687	68.7
Alouatta:Gorilla:Pan:Homo:Control	Campylobacter	3	0.3
Alouatta:Gorilla:Pan:Homo:Control	Clostridium	14	1.4000000000000001
Alouatta:Gorilla:Pan:Homo:Control	Corynebacterium	794	79.4
Alouatta:Gorilla:Pan:Homo:Control	Olsenella	194	19.400000000000002
Alouatta:Gorilla:Pan:Homo:Control	Ottowia	104	10.4
Alouatta:Gorilla:Pan:Homo:Control	Prevotella	194	19.400000000000002
Alouatta:Gorilla:Pan:Homo:Control	Propionibacterium	13	1.3
Alouatta:Gorilla:Pan:Homo:Control	Pseudopropionibacterium	336	33.6
Alouatta:Gorilla:Pan:Homo:Control	Streptococcus	472	47.199999999999996
Alouatta:Gorilla:Pan:Homo:Control	Tannerella	39	3.9
Alouatta:Pan:Homo	Capnocytophaga	511	51.1
Alouatta:Pan:Homo	Catonella	1	0.1
Alouatta:Pan:Homo	Clostridium	9	0.8999999999999999
Alouatta:Pan:Homo	Eikenella	7	0.7000000000000001
Alouatta:Pan:Homo	Fusobacterium	4	0.4
Alouatta:Pan:Homo	Gemella	378	37.8
Alouatta:Pan:Homo	Ottowia	205	20.5
Alouatta:Pan:Homo	Parvimonas	403	40.300000000000004
Alouatta:Pan:Homo	Porphyromonas	238	23.799999999999997
Alouatta:Pan:Homo	Propionibacterium	1	0.1
Alouatta:Pan:Homo	Rothia	1	0.1
Alouatta:Pan:Homo	Tannerella	90	9
Alouatta:Pan:Homo	Treponema	428	42.8
Alouatta:Gorilla	Actinobacillus	357	35.699999999999996
Alouatta:Gorilla	Basfia	5	0.5
Alouatta:Gorilla	Bifidobacterium	8	0.8
Alouatta:Gorilla	Cardiobacterium	3	0.3
Alouatta:Gorilla	Centipeda	5	0.5
Alouatta:Gorilla	Desulfovibrio	3	0.3
Alouatta:Gorilla	Eikenella	2	0.2
Alouatta:Gorilla	Haemophilus	89	8.9
Alouatta:Gorilla	Kingella	299	29.9
Alouatta:Gorilla	Leptotrichia	1	0.1
Alouatta:Gorilla	Mannheimia	1	0.1
Alouatta:Gorilla	Necropsobacter	3	0.3
Alouatta:Gorilla	Paenarthrobacter	2	0.2
Alouatta:Gorilla	Parvimonas	1	0.1
Alouatta:Gorilla	Pasteurella	345	34.5
Alouatta:Gorilla	Propionibacterium	2	0.2
Alouatta:Gorilla	Rothia	62	6.2
Alouatta:Gorilla	Veillonella	131	13.100000000000001
Alouatta:Gorilla:Pan	Anaeroglobus	547	54.7
Alouatta:Gorilla:Pan	Atopobium	403	40.300000000000004
Alouatta:Gorilla:Pan	Bacteroides	623	62.3
Alouatta:Gorilla:Pan	Bifidobacterium	6	0.6
Alouatta:Gorilla:Pan	Clostridium	128	12.8
Alouatta:Gorilla:Pan	Eikenella	1	0.1
Alouatta:Gorilla:Pan	Ottowia	1	0.1
Alouatta:Gorilla:Pan	Parvimonas	5	0.5
Alouatta:Gorilla:Pan	Propionibacterium	153	15.299999999999999
Gorilla:Pan:Homo	Clostridium	127	12.7
