Combination	Taxon	Software	Tax_Level	n	Bootstrap_Result
Alouatta	Actinobacillus_pleuropneumoniae	MALT	species	NA	NA
Alouatta	Campylobacter_curvus	MALT	species	NA	NA
Alouatta	Capnocytophaga_sp._ChDC_OS43	MALT	species	NA	NA
Alouatta	Fusobacterium_sp._oral_taxon_203	MALT	species	NA	NA
Alouatta	Glaesserella_parasuis	MALT	species	NA	NA
Alouatta	Haemophilus_parainfluenzae	MALT	species	NA	NA
Alouatta	Histophilus_somni	MALT	species	NA	NA
Alouatta	Kingella_kingae	MALT	species	NA	NA
Alouatta	Mannheimia_haemolytica	MALT	species	NA	NA
Alouatta	Mannheimia_varigena	MALT	species	NA	NA
Alouatta	Neisseria_weaveri	MALT	species	NA	NA
Alouatta	Neisseria_zoodegmatis	MALT	species	NA	NA
Alouatta	Selenomonas_sp._oral_taxon_136	MALT	species	NA	NA
Alouatta	Selenomonas_sp._oral_taxon_920	MALT	species	NA	NA
Alouatta	Streptococcus_acidominimus	MALT	species	NA	NA
Alouatta	Streptococcus_dysgalactiae	MALT	species	NA	NA
Alouatta	Streptococcus_gallolyticus	MALT	species	NA	NA
Alouatta	Streptococcus_himalayensis	MALT	species	NA	NA
Alouatta	Streptococcus_infantarius	MALT	species	NA	NA
Alouatta	Streptococcus_marmotae	MALT	species	NA	NA
Alouatta	Streptococcus_merionis	MALT	species	NA	NA
Alouatta	Streptococcus_pantholopis	MALT	species	NA	NA
Alouatta	Streptococcus_pseudopneumoniae	MALT	species	NA	NA
Alouatta	Streptococcus_pyogenes	MALT	species	NA	NA
Alouatta	Streptococcus_salivarius	MALT	species	NA	NA
Alouatta	Streptococcus_sp._A12	MALT	species	NA	NA
Alouatta	Streptococcus_sp._I-G2	MALT	species	NA	NA
Alouatta	Streptococcus_sp._I-P16	MALT	species	NA	NA
Alouatta	Streptococcus_sp._NPS_308	MALT	species	NA	NA
Alouatta	Streptococcus_sp._oral_taxon_064	MALT	species	NA	NA
Alouatta	Streptococcus_sp._oral_taxon_431	MALT	species	NA	NA
Alouatta	Streptococcus_sp._VT_162	MALT	species	NA	NA
Alouatta	Streptococcus_thermophilus	MALT	species	NA	NA
Alouatta	Tessaracoccus_aquimaris	MALT	species	NA	NA
Alouatta	Tessaracoccus_flavescens	MALT	species	NA	NA
Alouatta	Tessaracoccus_flavus	MALT	species	NA	NA
Alouatta	Tessaracoccus_sp._T2.5-30	MALT	species	NA	NA
Alouatta	Veillonella_rodentium	MALT	species	NA	NA
Pan	[Eubacterium]_sulci	MALT	species	NA	NA
Pan	Adlercreutzia_equolifaciens	MALT	species	NA	NA
Pan	Atopobium_parvulum	MALT	species	NA	NA
Pan	Bacteroides_fragilis	MALT	species	NA	NA
Pan	Candidatus_Methanomethylophilus_alvus	MALT	species	NA	NA
Pan	Clostridioides_difficile	MALT	species	NA	NA
Pan	Coriobacteriaceae_bacterium_68-1-3	MALT	species	NA	NA
Pan	Cryptobacterium_curtum	MALT	species	NA	NA
Pan	Desulfobulbus_propionicus	MALT	species	NA	NA
Pan	Dialister_pneumosintes	MALT	species	NA	NA
Pan	Eggerthella_lenta	MALT	species	NA	NA
Pan	Faecalibacterium_prausnitzii	MALT	species	NA	NA
Pan	Fermentimonas_caenicola	MALT	species	NA	NA
Pan	Gordonibacter_massiliensis	MALT	species	NA	NA
Pan	Gordonibacter_pamelaeae	MALT	species	NA	NA
Pan	Gordonibacter_urolithinfaciens	MALT	species	NA	NA
Pan	Lawsonella_clevelandensis	MALT	species	NA	NA
Pan	Libanicoccus_massiliensis	MALT	species	NA	NA
