Combination	Taxon	Software	Tax_Level	n	Bootstrap_Result
Pan	Amycolatopsis	MALT	genus	251	25.1
Pan	Atopobium	MALT	genus	1000	100
Pan	Bacteroides	MALT	genus	350	35
Pan	Candidatus_Methanomethylophilus	MALT	genus	NA	NA
Pan	Clostridium	MALT	genus	243	24.3
Pan	Cryptobacterium	MALT	genus	732	73.2
Pan	Desulfobulbus	MALT	genus	973	97.3
Pan	Desulfovibrio	MALT	genus	107	10.7
Pan	Eggerthella	MALT	genus	1000	100
Pan	Filifactor	MALT	genus	70	7.000000000000001
Pan	Gemella	MALT	genus	304	30.4
Pan	Gordonibacter	MALT	genus	991	99.1
Pan	Lawsonella	MALT	genus	1000	100
Pan	Murdochiella	MALT	genus	752	75.2
Pan	Petrimonas	MALT	genus	715	71.5
Pan	Slackia	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Actinomyces	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus	993	99.3
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	MALT	genus	716	71.6
Alouatta:Gorilla:Pan:Homo	Corynebacterium	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Mycobacterium	MALT	genus	932	93.2
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus	955	95.5
Alouatta:Gorilla:Pan:Homo	Prevotella	MALT	genus	915	91.5
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus	924	92.4
Alouatta:Gorilla:Pan:Homo	Streptococcus	MALT	genus	1000	100
Alouatta:Gorilla	Actinobacillus	MALT	genus	740	74
Alouatta:Gorilla	Brachybacterium	MALT	genus	555	55.50000000000001
Alouatta:Gorilla	Haemophilus	MALT	genus	146	14.6
Alouatta:Gorilla	Kocuria	MALT	genus	919	91.9
Alouatta:Gorilla	Lactobacillus	MALT	genus	680	68
Alouatta:Gorilla	Micromonospora	MALT	genus	591	59.099999999999994
Alouatta:Gorilla	Pasteurella	MALT	genus	740	74
Alouatta:Gorilla	Rothia	MALT	genus	105	10.5
Alouatta	Actinoplanes	MALT	genus	913	91.3
Alouatta	Basfia	MALT	genus	721	72.1
Alouatta	Bordetella	MALT	genus	248	24.8
Alouatta	Enterococcus	MALT	genus	619	61.9
Alouatta	Kingella	MALT	genus	999	99.9
Alouatta	Mannheimia	MALT	genus	721	72.1
Pan:Homo	Desulfomicrobium	MALT	genus	1000	100
Pan:Homo	Mogibacterium	MALT	genus	685	68.5
Pan:Homo	Parvimonas	MALT	genus	240	24
Pan:Homo	Porphyromonas	MALT	genus	139	13.900000000000002
Pan:Homo	Treponema	MALT	genus	228	22.8
Alouatta:Gorilla:Homo	Aggregatibacter	MALT	genus	998	99.8
Alouatta:Gorilla:Homo	Eikenella	MALT	genus	927	92.7
Alouatta:Gorilla:Homo	Neisseria	MALT	genus	871	87.1
Gorilla:Pan:Homo	Fretibacterium	MALT	genus	845	84.5
Gorilla:Pan:Homo	Olsenella	MALT	genus	350	35
Gorilla:Pan:Homo	Tannerella	MALT	genus	340	34
Alouatta:Gorilla:Pan	Propionibacterium	MALT	genus	989	98.9
Alouatta:Gorilla:Pan	Tessaracoccus	MALT	genus	913	91.3
Alouatta:Homo	Leptotrichia	MALT	genus	840	84
Gorilla	Acidipropionibacterium	MALT	genus	298	29.799999999999997
Gorilla:Pan	Bifidobacterium	MALT	genus	729	72.89999999999999
Homo	Veillonella	MALT	genus	87	8.7
