Combination	Taxon	Software	Tax_Level	n	Bootstrap_Result
Pan	Amycolatopsis	MALT	genus	229	22.900000000000002
Pan	Atopobium	MALT	genus	1000	100
Pan	Bacteroides	MALT	genus	368	36.8
Pan	Candidatus_Methanomethylophilus	MALT	genus	NA	NA
Pan	Clostridium	MALT	genus	243	24.3
Pan	Cryptobacterium	MALT	genus	716	71.6
Pan	Desulfobulbus	MALT	genus	973	97.3
Pan	Desulfovibrio	MALT	genus	112	11.200000000000001
Pan	Eggerthella	MALT	genus	1000	100
Pan	Filifactor	MALT	genus	51	5.1
Pan	Gemella	MALT	genus	324	32.4
Pan	Gordonibacter	MALT	genus	989	98.9
Pan	Lawsonella	MALT	genus	1000	100
Pan	Murdochiella	MALT	genus	743	74.3
Pan	Petrimonas	MALT	genus	746	74.6
Pan	Slackia	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Actinomyces	MALT	genus	523	52.300000000000004
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus	987	98.7
Alouatta:Gorilla:Pan:Homo	Capnocytophaga	MALT	genus	700	70
Alouatta:Gorilla:Pan:Homo	Corynebacterium	MALT	genus	874	87.4
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus	999	99.9
Alouatta:Gorilla:Pan:Homo	Mycobacterium	MALT	genus	285	28.499999999999996
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus	804	80.4
Alouatta:Gorilla:Pan:Homo	Prevotella	MALT	genus	904	90.4
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus	750	75
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus	922	92.2
Alouatta:Gorilla:Pan:Homo	Streptococcus	MALT	genus	312	31.2
Alouatta:Gorilla	Actinobacillus	MALT	genus	734	73.4
Alouatta:Gorilla	Brachybacterium	MALT	genus	534	53.400000000000006
Alouatta:Gorilla	Haemophilus	MALT	genus	128	12.8
Alouatta:Gorilla	Kocuria	MALT	genus	924	92.4
Alouatta:Gorilla	Lactobacillus	MALT	genus	650	65
Alouatta:Gorilla	Micromonospora	MALT	genus	563	56.3
Alouatta:Gorilla	Pasteurella	MALT	genus	734	73.4
Alouatta:Gorilla	Rothia	MALT	genus	87	8.7
Alouatta	Actinoplanes	MALT	genus	932	93.2
Alouatta	Basfia	MALT	genus	713	71.3
Alouatta	Bordetella	MALT	genus	259	25.900000000000002
Alouatta	Enterococcus	MALT	genus	639	63.9
Alouatta	Kingella	MALT	genus	1000	100
Alouatta	Mannheimia	MALT	genus	713	71.3
Pan:Homo	Desulfomicrobium	MALT	genus	1000	100
Pan:Homo	Mogibacterium	MALT	genus	682	68.2
Pan:Homo	Parvimonas	MALT	genus	257	25.7
Pan:Homo	Porphyromonas	MALT	genus	161	16.1
Pan:Homo	Treponema	MALT	genus	241	24.099999999999998
Alouatta:Gorilla:Homo	Aggregatibacter	MALT	genus	909	90.9
Alouatta:Gorilla:Homo	Eikenella	MALT	genus	946	94.6
Alouatta:Gorilla:Homo	Neisseria	MALT	genus	737	73.7
Gorilla:Pan:Homo	Fretibacterium	MALT	genus	842	84.2
Gorilla:Pan:Homo	Olsenella	MALT	genus	314	31.4
Gorilla:Pan:Homo	Tannerella	MALT	genus	335	33.5
Alouatta:Gorilla:Pan	Propionibacterium	MALT	genus	987	98.7
Alouatta:Gorilla:Pan	Tessaracoccus	MALT	genus	899	89.9
Alouatta:Homo	Leptotrichia	MALT	genus	832	83.2
Gorilla	Acidipropionibacterium	MALT	genus	267	26.700000000000003
Gorilla:Pan	Bifidobacterium	MALT	genus	713	71.3
Homo	Veillonella	MALT	genus	109	10.9
