Combination	Taxon	Software	Tax_Level	n	Bootstrap_Result
Pan	Atopobium	MALT	genus	148	14.799999999999999
Pan	Candidatus_Methanomethylophilus	MALT	genus	NA	NA
Pan	Collinsella	MALT	genus	880	88
Pan	Cryptobacterium	MALT	genus	1000	100
Pan	Desulfomicrobium	MALT	genus	366	36.6
Pan	Eggerthella	MALT	genus	998	99.8
Pan	Eggerthia	MALT	genus	982	98.2
Pan	Filifactor	MALT	genus	790	79
Pan	Gordonibacter	MALT	genus	1000	100
Pan	Lawsonella	MALT	genus	1000	100
Pan	Mogibacterium	MALT	genus	532	53.2
Pan	Oribacterium	MALT	genus	648	64.8
Pan	Parabacteroides	MALT	genus	756	75.6
Pan	Paraeggerthella	MALT	genus	998	99.8
Pan	Pseudoramibacter	MALT	genus	673	67.30000000000001
Alouatta:Gorilla:Pan:Homo	Actinomyces	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Corynebacterium	MALT	genus	947	94.69999999999999
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus	997	99.7
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus	742	74.2
Alouatta:Gorilla:Pan:Homo	Prevotella	MALT	genus	919	91.9
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus	1000	100
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus	973	97.3
Alouatta:Gorilla:Pan:Homo	Streptococcus	MALT	genus	1000	100
Alouatta	Actinobacillus	MALT	genus	632	63.2
Alouatta	Actinobaculum	MALT	genus	987	98.7
Alouatta	Haemophilus	MALT	genus	152	15.2
Alouatta	Kingella	MALT	genus	556	55.60000000000001
Alouatta	Pasteurella	MALT	genus	644	64.4
Alouatta	Rothia	MALT	genus	107	10.7
Alouatta	Tessaracoccus	MALT	genus	1000	100
Gorilla:Pan	Anaeroglobus	MALT	genus	312	31.2
Gorilla:Pan	Bacteroides	MALT	genus	349	34.9
Gorilla:Pan	Clostridium	MALT	genus	466	46.6
Gorilla:Pan	Dialister	MALT	genus	939	93.89999999999999
Gorilla:Pan	Propionibacterium	MALT	genus	112	11.200000000000001
Gorilla:Pan	Slackia	MALT	genus	489	48.9
Pan:Homo	Eubacterium	MALT	genus	939	93.89999999999999
Pan:Homo	Johnsonella	MALT	genus	347	34.699999999999996
Pan:Homo	Parvimonas	MALT	genus	234	23.400000000000002
Pan:Homo	Phocaeicola	MALT	genus	995	99.5
Pan:Homo	Porphyromonas	MALT	genus	141	14.099999999999998
Pan:Homo	Treponema	MALT	genus	248	24.8
Alouatta:Gorilla:Homo	Aggregatibacter	MALT	genus	980	98
Alouatta:Gorilla:Homo	Cardiobacterium	MALT	genus	844	84.39999999999999
Alouatta:Gorilla:Homo	Eikenella	MALT	genus	806	80.60000000000001
Alouatta:Gorilla:Homo	Neisseria	MALT	genus	980	98
Alouatta:Homo	Gemella	MALT	genus	624	62.4
Alouatta:Homo	Lautropia	MALT	genus	631	63.1
Alouatta:Homo	Leptotrichia	MALT	genus	773	77.3
Gorilla:Pan:Homo	Desulfobulbus	MALT	genus	859	85.9
Gorilla:Pan:Homo	Olsenella	MALT	genus	375	37.5
Gorilla:Pan:Homo	Tannerella	MALT	genus	302	30.2
Homo	Abiotrophia	MALT	genus	996	99.6
Homo	Peptoanaerobacter	MALT	genus	614	61.4
Alouatta:Pan:Homo	Capnocytophaga	MALT	genus	501	50.1
Control	Candidatus_Kryptonium	MALT	genus	NA	NA
