#SampleID	BarcodeSequence	LinkerPrimerSequence	Study	Accession_ID	SourceSink	Env	Description	Host_General	Host_Genus	Host_Common	Code	Is_Oral	Age	Location	Site	ToothSource	Type	LabProtocol	ScreeningDeepData	NCBI Project ID	individual_id	SumSampleWeight_mg	SumExtractionConcentration_ng_ul	SumLibraryConcentration_copies_ul	Sample_or_Control	Individual_Seq_Depth	Individual_Seq_Depth_NonHuman	Percentage_Hits	Percentage_Hits_with_Taxonomy	Min_Support_Reads_Threshold_MALT	Min_Support_Reads_Threshold_MALT_refseq	Min_Support_Reads_Threshold_MP2	Proportion_EnvironmentalControl	Proportion_SD_EnvironmentalControl	Proportion_ruralGut	Proportion_SD_ruralGut	Proportion_sediment	Proportion_SD_sediment	Proportion_skin	Proportion_SD_skin	Proportion_subPlaque	Proportion_SD_subPlaque	Proportion_supPlaque	Proportion_SD_supPlaque	Proportion_urbanGut	Proportion_SD_urbanGut	Proportion_Unknown	Proportion_SD_Unknown	Proportion_This_Env	Proportion_SD_This_Env
CDC005.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.2	Screening	NA	CDC005	0	0	99490750	Sample	4550438	4526782	16.2143217853	16.2116708956	73	104	21	0.0078	0.0135630216233535	0	0	0.6469	0.0139797472557029	0.0497	0.0110358003284261	0.069	0.00787400787401181	0	0	0	0	0.2266	0.0119182399893795	NA	NA
CDC006.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Premolar	Calculus	B.3	Screening	NA	CDC006	0	0.452	189500000	Sample	15210915	15120313	20.6454324061	20.6329194376	312	473	113	0.0241	0.0215944951833152	0.0042	0.00897898781724434	0.4656	0.0317951778314469	0.0022	0.00473286382647969	0.2822	0.0154545929886375	0	0	0.0026	0.00693140998963735	0.2191	0.0157370758260725	NA	NA
CDC007.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.3	Screening	NA	CDC007	0	0.129	26650000	Sample	15965860	15878673	16.5712966065	16.5650996151	263	377	100	0.2504	0.023013039781828	0	0	0.4044	0.0184161764640643	0.158	0.0129271462864435	0.021	0.0118883696667513	1e-04	0.000316227766016838	0	0	0.1661	0.0106817601545813	NA	NA
CDC008.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Molar	Calculus	B.3	Screening	NA	CDC008	0	0.104	21600000	Sample	15191052	15094966	12.7285612965	12.7283758042	192	257	74	0	0	0.1024	0.0110975472765632	0.4017	0.0172307864010903	1e-04	0.000316227766016838	0.2386	0.0127993055367165	0	0	1e-04	0.000316227766016838	0.2571	0.0105456678835962	NA	NA
CDC009.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.3	Screening	NA	CDC009	0	2.38	142600000	Sample	14434761	14286106	11.0280576107	11.0278756157	157	234	63	0	0	0.1372	0.00752477389841197	0.4509	0.016515649144574	0	0	0.1346	0.00604060335470629	3e-04	0.000948683298050514	0	0	0.277	0.0118415464455544	NA	NA
CDC010.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Premolar	Calculus	B.3	Screening	NA	CDC010	0	0.1	17840000	Sample	15143701	15031925	16.2730521873	16.2728326545	244	369	95	0	0	0.1072	0.0200432864903272	0.3656	0.0132178330716919	3e-04	0.000674948557710553	0.298	0.0121472447721924	0	0	0.0017	0.00537587202228625	0.2272	0.0130367003323523	NA	NA
CDC011.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.2	Screening	NA	CDC011	0	0	176300000	Sample	9180039	9141614	17.9039609417	17.903731223	163	264	57	0.0903	0.0230267959849679	0.0989	0.0091098237572902	0.4746	0.0226578414192036	1e-04	0.000316227766016838	0.1612	0.0114678293984133	0	0	0	0	0.1749	0.0082791572303251	NA	NA
KNP001.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Both	NA	KNP001	12.4	43.3548387097	6934000000	Sample	94897020	16260023	16.7932542285	16.7929959263	273	475	154	0	0	0.1319	0.0214240259729326	0.2565	0.0208073170890541	6e-04	0.00189736659610103	0.4453	0.0158047109713809	0	0	0	0	0.1657	0.00945221902224258	NA	NA
KNP003.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Screening	NA	KNP003	3.3	157.0909090909	3244000000	Sample	16902026	10394445	20.1743046406	20.1741218507	209	345	93	0	0	0.0859	0.0112787903212672	0.2019	0.0110699794238492	0	0	0.5404	0.0107620733235851	0	0	0	0	0.1718	0.0135137789763716	NA	NA
KNP005.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Multiple	Calculus	A.1	Both	NA	KNP005	13.1	22.7175572519	3601000000	Sample	188197	11095033	16.0298486719	16.0294520981	177	296	100	0	0	0.1803	0.014996666296214	0.1638	0.0126736822676846	0	0	0.364	0.0177325814376939	0	0	0	0	0.2919	0.011855144218627	NA	NA
