genus	organism_name	Organism Name (Genus, Species)	# assembly_accession	refseq_category	taxid	version_status	assembly_level	release_type	genome_rep	seq_rel_date	ftp_path	Oral Taxon ID	HOMD Sequence ID	Culture Collection Entry Number	Sequencing Status	NCBI Genome Survey Sequence Accession ID	species_taxid	infraspecific_name	Assembly_Level_Score	Refseq_Category_Score	Sequencing_Status_Score	Organism
Streptococcus	Streptococcus agalactiae 2603V/R	Streptococcus agalactiae	GCA_000007265.1	reference genome	208435	latest	Complete Genome	Major	Full	2002/08/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/265/GCA_000007265.1_ASM726v1	537	SEQF1332	2603V/R	Complete	AE009948	1311	strain=2603V/R	4	2	3	Streptococcus agalactiae
Streptococcus	Streptococcus anginosus C238	Streptococcus anginosus	GCA_000463505.1	representative genome	862971	latest	Complete Genome	Major	Full	2013/09/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/505/GCA_000463505.1_ASM46350v1	543	SEQF2588	C238	Complete	CP003861	1328	strain=C238	4	1	3	Streptococcus anginosus
Streptococcus	Streptococcus australis	NA	GCA_900476055.1	na	113107	latest	Complete Genome	Major	Full	2018/06/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/055/GCA_900476055.1_53750_F01	NA	NA	NA	NA	NA	113107	strain=NCTC13166	4	0	0	Streptococcus australis
Streptococcus	Streptococcus azizii	NA	GCA_001984705.1	na	1579424	latest	Contig	Major	Full	2017/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/984/705/GCA_001984705.1_ASM198470v1	NA	NA	NA	NA	NA	1579424	strain=12-5291	1	0	0	Streptococcus azizii
Streptococcus	Streptococcus bovimastitidis	NA	GCA_001885095.1	na	1856638	latest	Contig	Major	Full	2016/11/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/885/095/GCA_001885095.1_ASM188509v1	NA	NA	NA	NA	NA	1856638	strain=NZ1587	1	0	0	Streptococcus bovimastitidis
Streptococcus	Streptococcus caballi DSM 19004	NA	GCA_000379985.1	representative genome	1123298	latest	Scaffold	Major	Full	2013/04/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/379/985/GCA_000379985.1_ASM37998v1	NA	NA	NA	NA	NA	439220	strain=DSM 19004	2	1	0	Streptococcus caballi DSM 19004
Streptococcus	Streptococcus canis	NA	GCA_002770555.1	na	1329	latest	Scaffold	Major	Full	2017/11/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/770/555/GCA_002770555.1_ASM277055v1	NA	NA	NA	NA	NA	1329	strain=TA4	2	0	0	Streptococcus canis
Streptococcus	Streptococcus castoreus DSM 17536	NA	GCA_000425025.1	na	1123299	latest	Scaffold	Major	Full	2013/07/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/425/025/GCA_000425025.1_ASM42502v1	NA	NA	NA	NA	NA	254786	strain=DSM 17536	2	0	0	Streptococcus castoreus DSM 17536
Streptococcus	Streptococcus constellatus subsp. pharyngis C1050	Streptococcus constellatus	GCA_000463425.1	na	862969	latest	Complete Genome	Major	Full	2013/09/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/425/GCA_000463425.1_ASM46342v1	576	SEQF2589	subsp. pharyngis C1050	Complete	CP003859	76860	strain=C1050	4	0	3	Streptococcus constellatus
Streptococcus	Streptococcus criceti HS-6	NA	GCA_000187975.3	representative genome	873449	latest	Contig	Major	Full	2011/11/13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/975/GCA_000187975.3_ASM18797v3	NA	NA	NA	NA	NA	1333	strain=HS-6	1	1	0	Streptococcus criceti HS-6
Streptococcus	Streptococcus cristatus AS 1.3089	Streptococcus cristatus clade 578	GCA_000385925.1	representative genome	1302863	latest	Complete Genome	Major	Full	2013/05/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/925/GCA_000385925.1_ASM38592v1	578	SEQF2520	AS 1.3089	Complete	CP004409	45634	strain=AS 1.3089	4	1	3	Streptococcus cristatus clade 578
Streptococcus	Streptococcus cuniculi	NA	GCA_001921845.1	na	1432788	latest	Contig	Major	Full	2016/12/24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/921/845/GCA_001921845.1_ASM192184v1	NA	NA	NA	NA	NA	1432788	strain=CCUG 65085	1	0	0	Streptococcus cuniculi
Streptococcus	Streptococcus devriesei DSM 19639	NA	GCA_000423725.1	na	1123300	latest	Scaffold	Major	Full	2013/07/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/725/GCA_000423725.1_ASM42372v1	NA	NA	NA	NA	NA	231233	strain=DSM 19639	2	0	0	Streptococcus devriesei DSM 19639
Streptococcus	Streptococcus didelphis DSM 15616	NA	GCA_000380005.1	representative genome	1123301	latest	Scaffold	Major	Full	2013/04/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/380/005/GCA_000380005.1_ASM38000v1	NA	NA	NA	NA	NA	102886	strain=DSM 15616	2	1	0	Streptococcus didelphis DSM 15616
Streptococcus	Streptococcus downei MFe28	NA	GCA_900459175.1	na	764290	latest	Contig	Major	Full	2018/08/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/459/175/GCA_900459175.1_52087_B01	NA	NA	NA	NA	NA	1317	strain=NCTC 11391	1	0	0	Streptococcus downei MFe28
Streptococcus	Streptococcus dysgalactiae subsp. equisimilis AC-2713	NA	GCA_000317855.1	representative genome	759913	latest	Complete Genome	Major	Full	2012/10/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/855/GCA_000317855.1_ASM31785v1	NA	NA	NA	NA	NA	1334	strain=AC-2713	4	1	0	Streptococcus dysgalactiae subsp. equisimilis AC-2713
Streptococcus	Streptococcus entericus DSM 14446	NA	GCA_000380025.1	representative genome	1123302	latest	Scaffold	Major	Full	2013/04/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/380/025/GCA_000380025.1_ASM38002v1	NA	NA	NA	NA	NA	155680	strain=DSM 14446	2	1	0	Streptococcus entericus DSM 14446
Streptococcus	Streptococcus equi subsp. zooepidemicus	NA	GCA_000026605.1	representative genome	40041	latest	Complete Genome	Major	Full	2009/03/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/605/GCA_000026605.1_ASM2660v1	NA	NA	NA	NA	NA	1336	strain=H70	4	1	0	Streptococcus equi subsp. zooepidemicus
Streptococcus	Streptococcus equinus	NA	GCA_000964315.1	representative genome	1335	latest	Contig	Major	Full	2015/03/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/964/315/GCA_000964315.1_ASM96431v1	NA	NA	NA	NA	NA	1335	strain=AG46	1	1	0	Streptococcus equinus
Streptococcus	Streptococcus ferus DSM 20646	NA	GCA_000372425.1	representative genome	1123303	latest	Contig	Major	Full	2013/04/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/425/GCA_000372425.1_ASM37242v1	NA	NA	NA	NA	NA	1345	strain=DSM 20646	1	1	0	Streptococcus ferus DSM 20646
Streptococcus	Streptococcus gallolyticus subsp. gallolyticus DSM 16831	NA	GCA_002000985.1	representative genome	1258574	latest	Complete Genome	Major	Full	2017/02/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/000/985/GCA_002000985.1_ASM200098v1	NA	NA	NA	NA	NA	315405	strain=DSM 16831	4	1	0	Streptococcus gallolyticus subsp. gallolyticus DSM 16831
Streptococcus	Streptococcus gordonii str. Challis substr. CH1	Streptococcus gordonii	GCA_000017005.1	representative genome	467705	latest	Complete Genome	Major	Full	2007/09/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/005/GCA_000017005.1_ASM1700v1	622	SEQF1066	Challis CH1, ATCC 35105, NCTC7868	Complete	CP000725	1302	strain=Challis substr. CH1	4	1	3	Streptococcus gordonii
Streptococcus	Streptococcus halotolerans	NA	GCA_001598035.1	representative genome	1814128	latest	Complete Genome	Major	Full	2016/03/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/035/GCA_001598035.1_ASM159803v1	NA	NA	NA	NA	NA	1814128	strain=HTS9	4	1	0	Streptococcus halotolerans
Streptococcus	Streptococcus henryi DSM 19005	NA	GCA_000376985.1	representative genome	1123304	latest	Contig	Major	Full	2013/04/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/376/985/GCA_000376985.1_ASM37698v1	NA	NA	NA	NA	NA	439219	strain=DSM 19005	1	1	0	Streptococcus henryi DSM 19005
Streptococcus	Streptococcus himalayensis	NA	GCA_001708305.1	representative genome	1888195	latest	Complete Genome	Major	Full	2016/08/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/305/GCA_001708305.1_ASM170830v1	NA	NA	NA	NA	NA	1888195	strain=HTS2	4	1	0	Streptococcus himalayensis
Streptococcus	Streptococcus hongkongensis	NA	GCA_000785845.1	na	910939	latest	Contig	Major	Full	2014/11/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/845/GCA_000785845.1_CAIM1895T_spades_scaffold	NA	NA	NA	NA	NA	910939	strain=CAIM 1895	1	0	0	Streptococcus hongkongensis
Streptococcus	Streptococcus hyointestinalis	NA	GCA_900459405.1	na	1337	latest	Contig	Major	Full	2018/08/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/459/405/GCA_900459405.1_41965_B01	NA	NA	NA	NA	NA	1337	strain=NCTC12224	1	0	0	Streptococcus hyointestinalis
Streptococcus	Streptococcus hyovaginalis DSM 12219	NA	GCA_000420785.1	na	1123305	latest	Scaffold	Major	Full	2013/07/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/785/GCA_000420785.1_ASM42078v1	NA	NA	NA	NA	NA	149015	strain=DSM 12219	2	0	0	Streptococcus hyovaginalis DSM 12219
Streptococcus	Streptococcus ictaluri 707-05	NA	GCA_000188015.3	representative genome	764299	latest	Contig	Major	Full	2011/11/10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/015/GCA_000188015.3_ASM18801v3	NA	NA	NA	NA	NA	380397	strain=707-05	1	1	0	Streptococcus ictaluri 707-05
Streptococcus	Streptococcus infantarius subsp. infantarius CJ18	NA	GCA_000246835.1	na	1069533	latest	Complete Genome	Major	Full	2012/02/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/835/GCA_000246835.1_ASM24683v1	NA	NA	NA	NA	NA	102684	strain=CJ18	4	0	0	Streptococcus infantarius subsp. infantarius CJ18
