seed_id	PC1	PC2	PC3	enzyme
SEED;Carbohydrates;Chitin and N-acetylglucosamine utilization;Beta-hexosaminidase (EC 3.2.1.52);	-0.0204976870122456	-0.130410016629816	-0.073690943553909	Beta-hexosaminidase (EC 3.2.1.52)
SEED;Carbohydrates;Fructooligosaccharides(FOS) and Raffinose Utilization;Alpha-galactosidase (EC 3.2.1.22);	0.00980954290408194	-0.128919745771383	-0.0301129025182587	Alpha-galactosidase (EC 3.2.1.22)
SEED;Carbohydrates;Glycolysis and Gluconeogenesis;Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase;	-0.065105734271931	-0.418049348420571	0.0140342041205116	Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase
SEED;Carbohydrates;Maltose and Maltodextrin Utilization;Pullulanase (EC 3.2.1.41);	-0.128590177053333	-0.292961986255264	0.0163836845627063	Pullulanase (EC 3.2.1.41)
SEED;Carbohydrates;Mannose Metabolism;Alpha-1,2-mannosidase;	0.0220821990965369	-0.112373271467144	-0.177959623169755	Alpha-1,2-mannosidase
SEED;Cell Wall and Capsule;Sialic Acid Metabolism;Sialidase (EC 3.2.1.18);	-0.00440100415996958	-0.224383071601336	-0.0860295481867895	Sialidase (EC 3.2.1.18)
SEED;DNA Metabolism;ATP-dependent Nuclease;ATP-dependent nuclease, subunit B;	-0.0570552010860396	-0.140759445689408	-0.0307373778553814	ATP-dependent nuclease, subunit B
SEED;Membrane Transport;ESAT-6 proteins secretion system in Firmicutes;FtsK/SpoIIIE family protein, putative EssC component of Type VII secretion system;	-0.0893961168567217	-0.149314453267499	0.0015906468788024	FtsK/SpoIIIE family protein, putative EssC component of Type VII secretion system
SEED;Stress Response;Choline and Betaine Uptake and Betaine Biosynthesis;Choline binding protein A;	0.0189655413850922	-0.228887006751069	-0.028375210845082	Choline binding protein A
SEED;Virulence, Disease and Defense;Streptococcus pyogenes Virulome;Serine endopeptidase ScpC (EC 3.4.21.-);	-0.158869359539197	-0.368030645940997	-0.0241162662698347	Serine endopeptidase ScpC (EC 3.4.21.-)
