seed_id	PC1	PC2	PC3	enzyme
SEED;Amino Acids and Derivatives;Methionine Degradation;Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-);	0.117900393146303	-0.0186530710090661	-0.0439945323030244	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)
SEED;Cofactors, Vitamins, Prosthetic Groups, Pigments;Riboflavin, FMN and FAD metabolism Extended;Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps;	0.109986040013511	0.0204090910497732	-0.0307803453291762	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps
SEED;DNA Metabolism;DNA processing cluster;DNA topoisomerase III (EC 5.99.1.2);	0.112784184025589	-0.0538507069600051	-0.0439372158995142	DNA topoisomerase III (EC 5.99.1.2)
SEED;Membrane Transport;ECF class transporters;Duplicated ATPase component BL0693 of energizing module of predicted ECF transporter;	0.21573068567112	0.0231633801494446	-0.0563265027037245	Duplicated ATPase component BL0693 of energizing module of predicted ECF transporter
SEED;Nucleotide sugars;UDP-glucose and UDP-galactose biosynthesis in plants;Pyrophosphate-energized proton pump (EC 3.6.1.1);	0.114635981802915	0.0427666631996274	-0.0428211093997006	Pyrophosphate-energized proton pump (EC 3.6.1.1)
SEED;Phages, Prophages, Transposable elements, Plasmids;Conjugative transposon, Bacteroidales;Conjugative transposon protein TraG;	0.141931167144307	-0.148938868595213	-0.18843811235075	Conjugative transposon protein TraG
SEED;Phages, Prophages, Transposable elements, Plasmids;Conjugative transposon, Bacteroidales;Putative mobilization protein BF0133;	0.150202149551889	-0.156496314299902	-0.185447950096994	Putative mobilization protein BF0133
SEED;Respiration;ATP Synthases HGM;V-type ATP synthase subunit A (EC 3.6.3.14);	0.0941263610355555	0.0886462478713948	-0.0425489410739597	V-type ATP synthase subunit A (EC 3.6.3.14)
SEED;Respiration;ATP Synthases HGM;V-type ATP synthase subunit B (EC 3.6.3.14);	0.0833389574402515	0.0765308187024119	-0.0488515694967736	V-type ATP synthase subunit B (EC 3.6.3.14)
SEED;Respiration;Terminal cytochrome d ubiquinol oxidases;Transport ATP-binding protein CydC;	0.110961752539444	0.0132323593630765	-0.042351626289143	Transport ATP-binding protein CydC
