seed_id	PC1	PC2	PC3	enzyme
SEED;Carbohydrates;Glycolysis and Gluconeogenesis in plants;Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49);	0.00547205359889109	-0.0790631318241099	-0.0531494400101145	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)
SEED;Cell Wall and Capsule;KDO2-Lipid A biosynthesis;Lipid-A-disaccharide synthase (EC 2.4.1.182);	-0.0416126137014054	-0.0768936144790671	-0.0517050856843349	Lipid-A-disaccharide synthase (EC 2.4.1.182)
SEED;Fatty Acids, Lipids, and Isoprenoids;Fatty Acid Biosynthesis FASII;3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41);	-0.0661045795147708	-0.0791299821938407	-0.0067364377434568	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)
SEED;Iron acquisition and metabolism;Campylobacter Iron Metabolism;Ferric iron ABC transporter, permease protein;	0.0334023434914609	-0.0840424685214734	-0.0800887919611795	Ferric iron ABC transporter, permease protein
SEED;Nucleosides and Nucleotides;Purine de novo biosynthesis in plants;Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1);	-0.0529103627500656	-0.0879499941034341	-0.021846671843587	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)
SEED;Phages, Prophages, Transposable elements, Plasmids;Conjugative transposon, Bacteroidales;Conjugative transposon protein TraG;	0.141931167144307	-0.148938868595213	-0.18843811235075	Conjugative transposon protein TraG
SEED;Phages, Prophages, Transposable elements, Plasmids;Conjugative transposon, Bacteroidales;Putative mobilization protein BF0133;	0.150202149551889	-0.156496314299902	-0.185447950096994	Putative mobilization protein BF0133
SEED;Regulation and Cell signaling;Stringent Response, (p)ppGpp metabolism;GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II;	-0.0414306832258148	-0.0794728268587826	-0.0326700529823183	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II
SEED;Respiration;Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes;Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-);	-0.0782768194605302	-0.099469068018604	-0.052711979603815	Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)
SEED;Virulence;Multidrug Resistance Efflux Pumps;Acriflavin resistance protein;	-0.0245159882622346	-0.0891786460940789	-0.00978198234634299	Acriflavin resistance protein
