seed_id	PC1	PC2	PC3	enzyme
SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2);	-0.21156376541551	0.0280387933409009	0.00236942824464698	Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)
SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2);	-0.167580552678492	0.0566237960831855	-0.0126642391178393	Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)
SEED;Carbohydrates;Glycogen metabolism;Maltodextrin phosphorylase (EC 2.4.1.1);	-0.167901851396232	-0.060823097963677	0.0711991419985256	Maltodextrin phosphorylase (EC 2.4.1.1)
SEED;Cofactors, Vitamins, Prosthetic Groups, Pigments;Fe-S cluster assembly;Chaperone protein HscA;	-0.143277078245074	0.0539435981455668	0.00848473489217009	Chaperone protein HscA
SEED;DNA Metabolism;DNA repair, bacterial RecBCD pathway;Exodeoxyribonuclease V gamma chain (EC 3.1.11.5);	-0.184934110793475	0.0713238471140279	0.0398939926548004	Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)
SEED;Membrane Transport;Ton and Tol transport systems;Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid;	-0.203067517934957	0.0223494732994551	-0.082001892325158	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
SEED;Phages, Prophages, Transposable elements, Plasmids;Tn552;Beta-lactamase (EC 3.5.2.6);	-0.139073546683447	-0.0657235218668717	-0.0141080075633398	Beta-lactamase (EC 3.5.2.6)
SEED;Protein Metabolism;Protein degradation;Oligopeptidase A (EC 3.4.24.70);	-0.162453515148355	0.0495218108821067	0.01909642062191	Oligopeptidase A (EC 3.4.24.70)
SEED;Stress Response;Glutathione: Biosynthesis and gamma-glutamyl cycle;Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3);	-0.183878612132392	-0.0822076239389883	0.0877914438614245	Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3)
SEED;Virulence, Disease and Defense;Streptococcus pyogenes Virulome;Serine endopeptidase ScpC (EC 3.4.21.-);	-0.158869359539197	-0.368030645940997	-0.0241162662698347	Serine endopeptidase ScpC (EC 3.4.21.-)
