Sample_Name	Extra_lib_2	Extra_lib_3	Extra_lib_4	Extra_lib_5	ERR_Accession	ERR_Accession_Extra_lib_2	ERR_Accession_Extra_lib_3	ERR_Accession_Extra_lib_4	ERR_Accession_Extra_lib_5	NonHuman_Reads_Lib_1	NonHuman_Reads_Lib_2	NonHuman_Reads_Lib_3	NonHuman_Reads_Lib_4	NonHuman_Reads_Lib_5	Final NonHuman Reads
ABM006.A0101	NA	NA	NA	NA						8057367	0	0	0	0	8057367
ABM007.A0101	ABM007.A0101.171215	NA	NA	NA						4239292	8742065	0	0	0	12981357
ABM008.A0101	ABM008.A0101.171215	NA	NA	NA						2508884	2523473	0	0	0	5032357
BAN001.A0101	NA	NA	NA	NA						10106625	0	0	0	0	10106625
BIT001.A0101	BIT001.A0101.171215	NA	NA	NA						7460523	15779438	0	0	0	23239961
BSQ001.A0101	NA	NA	NA	NA						10866912	0	0	0	0	10866912
CDC005.A0101	CDC005.A0101.170817	NA	NA	NA						1918126	2608656	0	0	0	4526782
CDC006.A0101	NA	NA	NA	NA						15120313	0	0	0	0	15120313
CDC007.A0101	NA	NA	NA	NA						15878673	0	0	0	0	15878673
CDC008.A0101	NA	NA	NA	NA						15094966	0	0	0	0	15094966
CDC009.A0101	NA	NA	NA	NA						14286106	0	0	0	0	14286106
CDC010.A0101	NA	NA	NA	NA						15031925	0	0	0	0	15031925
CDC011.A0101	CDC011.A0101.170817	NA	NA	NA						3931089	5210525	0	0	0	9141614
DJA002.A0101	NA	NA	NA	NA						11978137	0	0	0	0	11978137
DJA006.A0101	DJA006.A0101.171215	NA	NA	NA						3653404	10101303	0	0	0	13754707
DJA007.A0101	DJA007.A0101.171215	NA	NA	NA						5759759	11635908	0	0	0	17395667
EBO001.A0101	NA	NA	NA	NA						15767290	0	0	0	0	15767290
EBO003.A0101	NA	NA	NA	NA						20549945	0	0	0	0	20549945
EBO008.A0101	EBO008.A0101.171215	NA	NA	NA						3681373	7911451	0	0	0	11592824
EBO009.A0101	EBO009.A0101.171215	NA	NA	NA						1774899	1893507	0	0	0	3668406
ECO002.B0101	ECO002.C0101	NA	NA	NA						12873675	11788609	0	0	0	24662284
ECO004.B0101	ECO004.C0101	NA	NA	NA						10695785	9704386	0	0	0	20400171
ECO006.B0101	NA	NA	NA	NA						10488914	0	0	0	0	10488914
ECO010.B0101	NA	NA	NA	NA						12246134	0	0	0	0	12246134
EMN001.A0101	NA	NA	NA	NA						12579489	0	0	0	0	12579489
ESA003.A0101	NA	NA	NA	NA						10129501	0	0	0	0	10129501
ESA004.A0101	NA	NA	NA	NA						7824141	0	0	0	0	7824141
ESA006.A0101	NA	NA	NA	NA						11233426	0	0	0	0	11233426
ESA007.A0101	NA	NA	NA	NA						9903431	0	0	0	0	9903431
ESA008.A0101	NA	NA	NA	NA						9119930	0	0	0	0	9119930
FDM001.A0101	FDM001.A0101.171215	NA	NA	NA						2429706	2460045	0	0	0	4889751
FUM001.A0101	NA	NA	NA	NA						10808498	0	0	0	0	10808498
FUM002.A0101	NA	NA	NA	NA						17157534	0	0	0	0	17157534
FUM003.A0101	NA	NA	NA	NA						15708618	0	0	0	0	15708618
GDC002.A0101	NA	NA	NA	NA						11300654	0	0	0	0	11300654
GDC004.A0101	NA	NA	NA	NA						12302652	0	0	0	0	12302652
GDC005.A0101	NA	NA	NA	NA						9931068	0	0	0	0	9931068
GDN001.A0101	GDN001.B0101	NA	NA	NA						15653942	15181528	0	0	0	30835470
GDN001.C0101	NA	NA	NA	NA						20505644	0	0	0	0	20505644
GOY005.A0101	NA	NA	NA	NA						9163118	0	0	0	0	9163118
GOY006.A0101	NA	NA	NA	NA						3799236	0	0	0	0	3799236
GUE001.A0101	NA	NA	NA	NA						11156331	0	0	0	0	11156331
IBA001.A0101	IBA001.A0101.171215	NA	NA	NA						4124522	8863142	0	0	0	12987664
IBA002.A0101	IBA002.A0101.171215	NA	NA	NA						6947309	12074706	0	0	0	19022015
JAE006.A0101	NA	NA	NA	NA	ERR3149835					87883942	0	0	0	0	87883942
JAE007.A0101	NA	NA	NA	NA	ERR3149836					66419551	0	0	0	0	66419551
JAE008.A0101	NA	NA	NA	NA	ERR3149837					65296039	0	0	0	0	65296039
