File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
ABM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8057367	1931778	18951132	1931239	193	23.97530111	23.96861158
BAN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10106625	990656	17047981	990641	99	9.802045688	9.80189727
CDC005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4526782	733987	10855675	733867	73	16.21432179	16.2116709
CDC006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15120313	3121654	28409112	3119762	312	20.64543241	20.63291944
CDC007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15878673	2631302	37091522	2630318	263	16.57129661	16.56509962
CDC008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15094966	1921372	14625912	1921344	192	12.7285613	12.7283758
CDC009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14286106	1575480	9958632	1575454	157	11.02805761	11.02787562
CDC010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15031925	2446153	14172298	2446120	244	16.27305219	16.27283265
CDC011.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9141614	1636711	15234657	1636690	163	17.90396094	17.90373122
DAN021.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	5939762	2117644	19484440	2117632	211	35.65200087	35.65179884
DAN023.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	60930703	33122197	520400019	33122112	3312	54.36043796	54.36029845
DAN024.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	49928157	24421822	332969285	24421725	2442	48.91392646	48.91373219
DAN025.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	40529378	24216555	342968135	24216442	2421	59.7506209	59.75034209
DAN027.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	37303385	17292698	215017611	17292551	1729	46.35691372	46.35651966
DAN028.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	67853494	28416474	160340354	28416359	2841	41.87916101	41.87899152
DAN034.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	44082830	17388449	113689626	17388063	1738	39.44494716	39.44407154
DAN038.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	33506406	20914956	308727136	20914861	2091	62.42076814	62.42048461
DAN039.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	52441147	30276712	329661581	30276596	3027	57.73464871	57.73442751
DAN044.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	67812319	48049055	489238440	48048806	4804	70.85593843	70.85557124
DAN045.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	48862209	27484002	251333368	27483890	2748	56.24797274	56.24774353
DAN046.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	32565845	26024738	635492352	26024686	2602	79.91421073	79.91405106
DAN048.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	43264627	18677082	138578824	18676983	1867	43.16940488	43.16917606
DAN049.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10137	5213	40442	5213	1	51.42547105	51.42547105
DJA002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11978137	2097148	17869133	2097131	209	17.50813169	17.50798977
EBO001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15767290	3376300	30977561	3376240	337	21.41331833	21.4129378
EBO003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	20549945	3648883	26274269	3648834	364	17.75616918	17.75593073
ECO002.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	24662284	5654203	30448609	5654026	565	22.92651808	22.92580038
ECO004.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	20400171	4394541	27392245	4394207	439	21.54168708	21.54004984
ECO006.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10488914	839566	11025888	839110	83	8.004317702	7.999970254
ECO010.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12246134	2200147	8250645	2200121	220	17.96605361	17.9658413
EMN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12579489	2476475	24797582	2476440	247	19.68661048	19.68633225
GDC002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11300654	2849487	53731584	2849431	284	25.21523976	25.21474421
GDC004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12302652	6996111	47191086	6996079	699	56.86669021	56.8664301
GDC005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9931068	4049229	80291879	4049168	404	40.77334885	40.77273461
GDN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	30835470	7794472	76038872	7794291	779	25.27761698	25.27702999
GOY005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9163118	1947893	25025675	1947857	194	21.25797136	21.25757848
GOY006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3799236	877299	12677192	877265	87	23.09145839	23.09056347
GUE001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11156331	956339	15384511	955913	95	8.572164092	8.568345633
JAE006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	87883942	60530165	752947543	60530007	6053	68.87511373	68.87493394
JAE007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66419551	49018126	756375828	49018005	4901	73.80074882	73.80056664
JAE008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	65296039	33945834	307286112	33945742	3394	51.98758534	51.98744445
JAE009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66062410	29316590	244803612	29316487	2931	44.37711249	44.37695658
JAE010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	60027336	37498994	302875109	37498932	3749	62.46986206	62.46975878
JAE012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	62752277	25702076	316507223	25701806	2570	40.95799743	40.95756717
JAE013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	38954329	23080544	419570241	23080470	2308	59.25026715	59.25007719
JAE014.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	68620482	27348695	211848429	27348552	2734	39.85500277	39.85479437
JAE015.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	57512281	27652170	136629858	27652090	2765	48.08046128	48.08032218
JAE016.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	94564553	38392047	187126412	38391967	3839	40.59877172	40.59868712
LOB001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8770905	1996879	36154264	1996564	199	22.76708048	22.76348906
MOA001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15176910	4792477	12779680	4792453	479	31.57742255	31.57726441
MTK001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8268804	2144694	33490141	2144666	214	25.93717302	25.9368344
